utility_a,utility_b,n_samples,seed,a_team,bidder,decl_id,bid_value,team_a_pts,team_b_pts,margin,n_decisions_a,n_decisions_b
ev,p_make,10,3308805556,0,0,2,30,6,36,-30,14,14
ev,p_make,10,2928198925,0,2,5,30,31,11,20,14,14
ev,p_make,10,300769759,0,2,4,30,18,24,-6,14,14
ev,p_make,10,2067646776,0,0,4,30,30,12,18,14,14
ev,p_make,10,3735184906,0,3,8,30,25,17,8,14,14
ev,p_make,10,3354578275,0,2,3,30,42,0,42,14,14
ev,p_make,10,2973971644,0,0,7,30,16,26,-10,14,14
ev,p_make,10,2494026126,0,1,5,30,19,23,-4,14,14
ev,p_make,10,2113419495,0,0,5,30,36,6,30,14,14
ev,p_make,10,3780957625,0,0,1,30,17,25,-8,14,14
ev,p_make,10,3400350994,0,0,7,30,17,25,-8,14,14
ev,p_make,10,2920405476,0,0,6,30,34,8,26,14,14
ev,p_make,10,2539798845,0,1,6,30,19,23,-4,14,14
ev,p_make,10,2159192214,0,2,4,30,25,17,8,14,14
ev,p_make,10,3826730344,0,0,3,30,41,1,40,14,14
ev,p_make,10,1298640065,0,2,5,30,17,25,-8,14,14
ev,p_make,10,2966178195,0,2,6,30,42,0,42,14,14
ev,p_make,10,2585571564,0,1,2,30,19,23,-4,14,14
ev,p_make,10,4253109694,0,1,8,30,25,17,8,14,14
ev,p_make,10,1725019415,0,3,8,30,17,25,-8,14,14
ev,p_make,10,1344412784,0,1,1,30,23,19,4,14,14
ev,p_make,10,3011950914,0,0,8,30,8,34,-26,14,14
ev,p_make,10,2631344283,0,0,9,30,34,8,26,14,14
ev,p_make,10,3915117,0,0,8,30,6,36,-30,14,14
ev,p_make,10,1770792134,0,3,0,30,42,0,42,14,14
ev,p_make,10,1390185503,0,0,2,30,33,9,24,14,14
ev,p_make,10,3057723633,0,0,9,30,34,8,26,14,14
ev,p_make,10,2677117002,0,1,2,30,41,1,40,14,14
ev,p_make,10,2197171484,0,1,8,30,21,21,0,14,14
ev,p_make,10,1816564853,0,1,2,30,28,14,14,14,14
ev,p_make,10,3484102983,0,2,1,30,24,18,6,14,14
ev,p_make,10,3103496352,0,0,0,30,2,40,-38,14,14
ev,p_make,10,575406073,0,2,9,30,0,42,-42,14,14
ev,p_make,10,2242944203,0,0,4,30,17,25,-8,14,14
ev,p_make,10,1862337572,0,2,6,30,35,7,28,14,14
ev,p_make,10,3529875702,0,1,5,30,35,7,28,14,14
ev,p_make,10,1001785423,0,0,6,30,29,13,16,14,14
ev,p_make,10,2669323553,0,1,3,30,15,27,-12,14,14
ev,p_make,10,2288716922,0,1,9,30,29,13,16,14,14
ev,p_make,10,1908110291,0,0,9,30,7,35,-28,14,14
ev,p_make,10,1428164773,0,2,1,30,23,19,4,14,14
ev,p_make,10,1047558142,0,2,9,30,14,28,-14,14,14
ev,p_make,10,2715096272,0,0,7,30,24,18,6,14,14
ev,p_make,10,2334489641,0,1,5,30,17,25,-8,14,14
ev,p_make,10,1953883010,0,2,1,30,17,25,-8,14,14
ev,p_make,10,1473937492,0,2,2,30,22,20,2,14,14
ev,p_make,10,1093330861,0,1,8,30,33,9,24,14,14
ev,p_make,10,2760868991,0,2,7,30,25,17,8,14,14
ev,p_make,10,2380262360,0,0,6,30,30,12,18,14,14
ev,p_make,10,1900316842,0,1,7,30,24,18,6,14,14
ev,p_make,10,1519710211,0,2,0,30,29,13,16,14,14
ev,p_make,10,1139103580,0,0,7,30,20,22,-2,14,14
ev,p_make,10,2806641710,0,0,6,30,28,14,14,14,14
ev,p_make,10,278551431,0,0,5,30,35,7,28,14,14
ev,p_make,10,1946089561,0,1,7,30,39,3,36,14,14
ev,p_make,10,1565482930,0,1,3,30,28,14,14,14,14
ev,p_make,10,3233021060,0,0,1,30,24,18,6,14,14
ev,p_make,10,704930781,0,2,5,30,34,8,26,14,14
ev,p_make,10,324324150,0,0,8,30,33,9,24,14,14
ev,p_make,10,1991862280,0,1,2,30,1,41,-40,14,14
ev,p_make,10,1611255649,0,1,8,30,9,33,-24,14,14
ev,p_make,10,1131310131,0,0,3,30,40,2,38,14,14
