utility_a,utility_b,n_hands,n_samples,fp_dtype,elapsed_s,mean_margin,margin_ci_lo_95,margin_ci_hi_95,ci_excludes_zero,a_win_rate,decisive_rate,a_pts_mean,b_pts_mean,a_wins,n_decisive
ev,p_make,250,10,fp32,20.92,6.184,3.1916,9.104199999999999,1,0.596,1.0,24.092,17.908,149,250
ev,p_make,250,50,fp32,26.58,4.536,1.2872000000000001,7.656399999999998,1,0.592,1.0,23.268,18.732,148,250
ev,p_make,250,100,fp32,58.4,3.128,0.08760000000000001,6.3363999999999985,1,0.528,0.996,22.564,19.436,132,249
