group_type,group,action_n,actual_action_rate,top_mean_rate,top_threshold_rate,safest_tail_rate,scalar_omission_rate,hidden_large_impact_rate,mean,std,threshold_mass,lower_tail_mass,mean_gap_to_best,threshold_gap_to_best,lower_tail_gap_to_safest,top_hidden_impact_score,max_hidden_impact_score,top_hidden_downside_score,max_hidden_downside_score,top_hidden_upside_score,max_hidden_upside_score
all,all,748305,0.3741789778232138,0.3741789778232138,0.3741789778232138,0.3741789778232138,0.18311918268620417,0.8515765630324533,-2.216542092699878,15.787300080348906,0.44525404318212375,0.2931159594281618,3.7369095486219903,0.054684777950350844,0.05549406214319534,17.461359079813718,85.0433349609375,10.854307849242394,72.5683364868164,16.02661869847133,80.3714599609375
claim_detector,bidder_first_lead_plan,70000,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.13974285714285714,0.9976142857142857,-3.5896396503359163,22.870240305038863,0.2505089885242782,0.3443679546892046,6.309369922810196,0.07544265902316796,0.10277870162976906,22.88450901722908,58.450965881347656,12.84427709266969,34.26103210449219,21.56133132064002,55.78042984008789
claim_detector,defender_damage_lead_class,93909,0.30210097008806397,0.30210097008806397,0.30210097008806397,0.30210097008806397,0.1881395819357037,0.8510046960355238,0.28986507726170124,15.942368879395294,0.737300390188983,0.24699211872750376,4.299486867065426,0.0706387149869257,0.06788465407548953,17.938161262446698,73.23207092285156,10.879666224389855,60.074668884277344,16.629968260637035,68.9779052734375
claim_detector,doubles_regime_plan,75330,0.3716978627372893,0.3716978627372893,0.3716978627372893,0.3716978627372893,0.17708748174697994,0.8653258993760786,-2.3855393223103003,15.052716712947765,0.4444649561066007,0.27303713437002836,2.78911237147962,0.04357712436282656,0.0402929788997439,17.696268721450192,71.28873443603516,10.970626358001768,64.36417388916016,16.351877398071835,66.83404541015625
claim_detector,first_setter_pounce_window,24798,0.40325832728445843,0.40325832728445843,0.40325832728445843,0.40325832728445843,0.23667231228324864,0.9895959351560609,-6.75993996373452,21.690421026960497,0.5863153433112455,0.40123921136900736,4.7713086594322345,0.06600452257445798,0.06471492745257855,21.015704565989854,55.694095611572266,13.94774286627183,44.87071990966797,19.346351327434817,52.84201431274414
claim_detector,first_trick_public_belief_update,604192,0.3972247232667761,0.3972247232667761,0.3972247232667761,0.3972247232667761,0.18398952650812986,0.8200737513902865,-2.002789051126773,14.48052921012141,0.45882856679704764,0.2802226117930382,3.3539116827419786,0.05142015326521935,0.04983805600094644,16.605820432716044,85.0433349609375,10.486399500346394,72.5683364868164,15.143071376435444,80.3714599609375
claim_detector,last_to_act_closure_policy,155132,0.4512286311012557,0.4512286311012557,0.4512286311012557,0.4512286311012557,0.1735360853982415,0.7716718665394632,-6.732987892797636,12.398620475826402,0.4347502890680413,0.3524204959287214,3.4323262145552293,0.04955390996939141,0.048466006769193486,14.335519452639653,71.820068359375,8.868289453708845,59.85443878173828,13.072234098782172,67.3653793334961
claim_detector,late_trick_threshold_closure,208636,0.5751644011579976,0.5751644011579976,0.5751644011579976,0.5751644011579976,0.18267221380778007,0.5907082190992925,-1.2312957208813835,8.23107452668575,0.4687911827215737,0.18844127249727713,1.7539203993846442,0.028383934065470125,0.02603009856844965,11.352807654125314,81.80814361572266,7.58244807441201,72.5683364868164,9.937703568058744,77.07115173339844
claim_detector,no_trump_lead_control_and_support,74085,0.3779442532226497,0.3779442532226497,0.3779442532226497,0.3779442532226497,0.17686441249915638,0.8541945063103192,-3.2085973219990143,15.966467447628167,0.43096098165276303,0.3221628775673894,4.874437297684637,0.06669209301305655,0.0815135100981548,19.305197640995818,81.21697998046875,11.309055634140726,66.6924057006836,17.727545398078508,77.07115173339844
claim_detector,partner_forcedness_and_safety,30446,0.41463574853839585,0.4227156276686593,0.4123694409774683,0.4026801550285752,0.19831833409971752,0.833442816790383,-0.156818327993149,14.397759446349676,0.28147885337136463,0.28939251476262673,4.324881224656792,0.06779578470913081,0.06252024556491059,16.266962863672518,82.86575317382812,10.356484722345822,59.45310592651367,14.86556923460402,78.87616729736328
