driver_kind,decl_id,decl_name,seat_role,holder_role,hidden_domino,action_n,mean_score,max_score,mean_q_delta,tail_low_mass_delta,shelf_high_mass_delta,conditioned_mass
downside,7,doubles,bidder_partner,bidder,5-0,176,8.97052478654818,25.964645385742188,-7.688146168535406,0.08842131737368288,-0.07879685078197243,0.31617437770562773
downside,6,sixes,left_setter,right_setter,2-0,138,8.951573333878448,21.814517974853516,-7.208189333694569,0.11448729718508928,-0.11970221553591714,0.285774089889579
downside,6,sixes,bidder_partner,right_setter,6-0,85,8.946788740859311,24.385557174682617,-7.481838139365701,0.09897078228566576,-0.09504855259814683,0.4332093487394955
downside,2,twos,right_setter,bidder,6-5,61,8.942789841382229,25.613454818725586,-7.026003790683434,0.12468884062770082,-0.1339795255621315,0.3961646174863388
downside,1,ones,bidder,right_setter,6-4,60,8.939994323253632,28.269912719726562,-7.379083712895711,0.08882231200307918,-0.1321925824508071,0.26430868055555556
downside,3,threes,bidder_partner,right_setter,6-5,69,8.939240669858629,26.79419708251953,-7.218513474948164,0.11379629370176057,-0.1165528603259177,0.400790157004831
downside,0,blanks,bidder,right_setter,6-5,51,8.938542160333371,25.96831512451172,-7.219863573710124,0.10698579945236299,-0.12172799886320718,0.28799591503267974
downside,0,blanks,bidder,left_setter,4-4,372,8.937002153486334,29.121732711791992,-7.375874699443899,0.10827327056693085,-0.09567718327185327,0.34226779313876105
downside,5,fives,bidder_partner,bidder,4-1,422,8.933532719787264,38.86073303222656,-7.476914753846082,0.08628979475503364,-0.11859736064729232,0.28826343164635526
downside,0,blanks,bidder,right_setter,5-3,18,8.930501739184061,23.797067642211914,-6.787064287397596,0.1515265485892693,-0.12563439582784972,0.2358154761904762
downside,9,no-trump,right_setter,left_setter,4-1,242,8.929118958386509,48.1526985168457,-7.520386715565831,0.09091902329850546,-0.0998815430774669,0.30311200068870525
downside,6,sixes,left_setter,right_setter,2-1,144,8.920946654346254,37.54180145263672,-7.314500176244312,0.10727487552988653,-0.10673954989761114,0.3098899429563493
downside,4,fours,bidder,bidder_partner,3-0,202,8.919440120753675,38.296607971191406,-7.356736040351414,0.10126198825237945,-0.11001374234392372,0.305812573668081
downside,8,doubles-suit,right_setter,left_setter,6-3,20,8.916972160339355,43.70091247558594,-6.770517444610595,0.13756920099258424,-0.1541525311768055,0.31183035714285723
downside,0,blanks,bidder_partner,left_setter,6-6,228,8.914903126264873,25.336875915527344,-7.203936748337328,0.1273713817410457,-0.08745050764557898,0.28733185829156205
downside,7,doubles,bidder_partner,bidder,3-2,165,8.914495908491539,44.75639724731445,-7.464585987365607,0.1030089466326348,-0.08396106775511394,0.2975741161616161
downside,9,no-trump,bidder_partner,right_setter,6-2,80,8.908425649255515,35.49946975708008,-7.301286130398512,0.11655970273423008,-0.08830848797224462,0.42841090029761897
downside,5,fives,bidder_partner,right_setter,5-1,176,8.903459040278738,20.95575523376465,-7.434277778322047,0.08160972117829343,-0.13044438706591874,0.40093643465909085
downside,3,threes,right_setter,bidder,6-4,194,8.900083529580499,34.713294982910156,-7.346165787313402,0.10185339642339386,-0.10707546807057464,0.37096921023564067
