contrast_id,paired_decision_n,mean_delta,mean_delta_ci95_low,mean_delta_ci95_high,threshold_mass_delta,threshold_mass_delta_ci95_low,threshold_mass_delta_ci95_high,lower_tail_mass_delta,lower_tail_mass_delta_ci95_low,lower_tail_mass_delta_ci95_high,hidden_downside_score_delta,hidden_downside_score_delta_ci95_low,hidden_downside_score_delta_ci95_high,hidden_impact_score_delta,hidden_impact_score_delta_ci95_low,hidden_impact_score_delta_ci95_high
actual_vs_safest_tail_hidden_downside_decisions,42624,1.685568680791345,1.6457128273064838,1.726094048563092,0.0413221674734609,0.04032109684686805,0.04234516322656511,0.022063740271058358,0.021587169488885494,0.022509067426573034,0.37335238422514655,0.3375676594016561,0.4116949407163948,0.8301410710948797,0.7728772764710161,0.8901711554925326
low_hidden_downside_vs_high_hidden_downside_close_mean,4619,-0.02142820986370171,-0.053590387218752984,0.009338112446690397,-0.009268156155799151,-0.011634250970521329,-0.0070464878957812935,-0.03316679708245932,-0.03501880594926272,-0.03104275274572629,-7.491927613326999,-7.581097515164422,-7.408730069050676,-7.577373172256319,-7.761792468277947,-7.413005800284107
safest_tail_vs_top_mean_hidden_downside_decisions,42536,-2.5137489237022566,-2.5510378050007154,-2.475556877343444,-0.03071550049705776,-0.03174497813719483,-0.029799103831801628,-0.0105055038288695,-0.01077001620675535,-0.01024791811055139,-0.07274664671261698,-0.10966973311746155,-0.035561923612223045,-0.05682149416058891,-0.10704727179398583,-0.004857958276852115
top_threshold_vs_top_mean_hidden_threat_decisions,40435,-1.764616175912396,-1.7917046682207476,-1.7372380969708452,0.011772169694757056,0.011488958397588156,0.012048785113432723,0.019138063002351536,0.018451660289152627,0.019809137105689982,0.227838230134715,0.19449063989921483,0.25744930767727947,0.7745281020261617,0.7226904660094075,0.8271783256919276
