seed,game_idx,d_idx,current_player,decl_id,drama_score,outcome_variance,action_fragility,belief_sharpness,action_taken,gus_pi_action,mode_action,gus_matches_mode,e_q_taken,e_q_max
7719,7519,1,1,9,4.946874602310136,33.957855224609375,7,0.027354419231414795,2,0,1,0,4.120434761047363,4.138530731201172
7965,7765,0,0,5,4.911661999853699,32.58763122558594,7,0.005602002143859863,2,0,0,1,-10.46577262878418,-4.531402587890625
4145,3645,1,1,5,4.859873293851872,33.01443862915039,7,0.023850321769714355,2,5,6,0,-8.010490417480469,-6.727474689483643
8585,8485,0,0,5,4.849006021165505,32.064308166503906,7,0.0062898993492126465,5,0,3,0,-6.799121379852295,1.5611428022384644
8834,8734,0,0,4,4.79933917965664,31.703662872314453,7,0.007950007915496826,4,0,0,1,-12.460951805114746,-3.099320411682129
4655,4155,0,0,5,4.796353429104566,31.52019500732422,7,0.004721343517303467,3,0,1,0,-8.411879539489746,1.2481555938720703
9045,9045,0,0,5,4.796011446315115,31.561466217041016,7,0.005632936954498291,3,0,0,1,-7.363702774047852,0.6781231760978699
5525,5125,0,0,5,4.793126398273262,31.684057235717773,7,0.008682429790496826,2,0,1,0,-4.270915985107422,3.965841054916382
6385,6085,0,0,5,4.788278970210432,31.436445236206055,7,0.004474461078643799,3,6,6,1,-7.302919387817383,1.8911924362182617
1605,805,0,0,5,4.784654794633132,31.53078269958496,7,0.007077813148498535,3,6,0,0,-4.852903366088867,4.89810037612915
6476,6176,0,0,6,4.783556529270672,31.395469665527344,7,0.004494786262512207,6,3,6,0,-2.6792232990264893,-2.6792232990264893
4145,3645,0,0,5,4.782766404434346,31.485858917236328,7,0.006498813629150391,4,4,3,0,-11.970246315002441,-3.4736404418945312
4715,4215,0,0,5,4.77859266153396,31.517959594726562,7,0.007922232151031494,3,0,2,0,-10.02514362335205,-1.2672914266586304
4535,4035,0,0,5,4.7749955675791105,31.450681686401367,7,0.007195711135864258,4,0,0,1,-5.588632583618164,3.565624475479126
7255,7055,0,0,5,4.761688650269124,31.250520706176758,7,0.005510449409484863,3,6,6,1,-11.691883087158203,-3.209627389907837
6969,6669,1,1,9,4.760903219650554,32.58271408081055,7,0.033061325550079346,1,0,1,0,0.4066254198551178,0.4066254198551178
7065,6865,0,0,5,4.760772719640887,31.260648727416992,7,0.005886256694793701,4,0,0,1,-5.192668437957764,2.446946620941162
4285,3785,0,0,5,4.758410791186846,31.243444442749023,7,0.005964100360870361,2,6,6,1,-11.59864616394043,-4.569316387176514
7045,6845,0,0,5,4.756796582315055,31.259069442749023,7,0.006580650806427002,4,4,3,0,-12.618471145629883,-2.590242624282837
4045,3545,0,0,5,4.7533922236748545,31.29092025756836,7,0.0078582763671875,4,6,1,0,-8.64828872680664,-2.5797455310821533
