archetype,beta_doubles_mean,beta_doubles_ci_low,beta_doubles_ci_high,beta_trumps_mean,beta_trumps_ci_low,beta_trumps_ci_high
control,8.20789255341607,5.2744427987481695,11.19668773851871,2.9993982650184825,0.8261186220852998,4.956623105636056
balanced,6.25909040415309,3.5587379293401464,8.909821775663657,4.290655030811523,2.3868106711385506,6.59348394182411
volatile,5.736709611017188,2.5977437649508426,8.923054017764452,2.6555793702411146,-0.24461286964084558,5.083465827124184
