,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
M2_Plus_Voids,0,-822.4001081683386,4.776988388903192,0.0,0.6745186403327751,10.342399648895508,0.0,False,log
M1_Napkin,1,-822.8270613927284,3.872231077071774,0.4269532243896794,0.2875127720332026,10.527596564134043,1.5764945957620802,False,log
M3_Plus_TrumpDouble,2,-822.8665465394398,5.49670092614042,0.4664383711010931,0.0,10.227596970496057,0.8700167785927001,False,log
M4_Core5,3,-823.9089179457087,6.438630929929559,1.5088097773700042,1.6670196242830025e-14,10.257867625112457,0.8659345332181769,False,log
M5_Full,4,-828.0839032459444,11.80072239373726,5.683795077605673,2.621278980549993e-14,10.038987832526681,1.9340956819496897,False,log
M0_Intercept,5,-847.310692713424,1.8082686504385492,24.910584545085413,0.03796858763399656,9.290047779910719,7.034100685382149,False,log
