d_id,domino,n_plays,mean_depth,std_depth,early_rate,mid_rate,late_rate,is_double,max_pip
25,6-4,9014,9.83081872642556,2.665281856567887,0.00022187708009762592,0.8380297315287331,0.16174839139116928,False,6
20,5-5,9276,9.745364381198792,2.7341717968840564,0.0,0.8179172056921087,0.18208279430789134,True,5
23,6-2,6864,9.7370337995338,2.7786006378544394,0.0007284382284382285,0.8046328671328671,0.19463869463869463,False,6
22,6-1,8885,9.708159819921216,2.7127797017020896,0.0003376477208778841,0.8245357343837929,0.1751266178953292,False,6
26,6-5,6174,9.701328150307742,2.7169472900298772,0.00048590864917395527,0.8138969873663752,0.18561710398445092,False,6
27,6-6,4726,9.609606432501058,2.7093951001487784,0.00021159542953872197,0.7888277613203555,0.2109606432501058,True,6
8,3-2,11831,9.603921900092976,2.8149170071362626,0.00042261854450173275,0.7940157214098554,0.2055616600456428,False,3
5,2-2,7965,9.592718141870684,2.7760245537353287,0.0010043942247332078,0.7956057752667922,0.2033898305084746,True,2
7,3-1,9948,9.576799356654604,2.6815338470304626,0.00030156815440289503,0.8010655408122236,0.19863289103337353,False,3
6,3-0,14219,9.56740980378367,2.635299198178385,0.00021098530135733878,0.802166115760602,0.19762289893804064,False,3
21,6-0,5844,9.556297056810404,2.8165589812605503,0.00034223134839151266,0.7749828884325805,0.22467488021902807,False,6
16,5-1,7567,9.53125412977402,2.7251128494184127,0.0006607638430025109,0.7843266816439805,0.21501255451301704,False,5
3,2-0,15407,9.462452132147725,2.6858640475147215,0.00038943337444018953,0.7915233335496852,0.2080872330758746,False,2
11,4-1,11015,9.441761234679982,2.7366544052586925,0.0009078529278256923,0.7830231502496595,0.21606899682251476,False,4
12,4-2,11826,9.440131912734653,2.6757852941053004,0.00016911889058007779,0.7906308134618637,0.20920006764755622,False,4
18,5-3,6675,9.412734082397003,2.6486069436633874,0.000149812734082397,0.7811235955056179,0.21872659176029963,False,5
9,3-3,8783,9.381532505977457,2.724482274311722,0.00022771262666514857,0.755550495274963,0.24422179209837186,True,3
24,6-3,7105,9.38085855031668,2.7871070602605865,0.00014074595355383532,0.7611541168191415,0.23870513722730471,False,6
0,0-0,13955,9.367610175564314,2.6639055306849446,0.0004299534217126478,0.7568613400214976,0.2427087065567897,True,0
15,5-0,7415,9.359811193526635,2.7320930188676296,0.00026972353337828726,0.7615643964935941,0.23816587997302766,False,5
10,4-0,6426,9.34967320261438,2.8189281832557915,0.00046685340802987864,0.7503890445066915,0.24914410208527857,False,4
1,1-0,10304,9.337150621118013,2.674368263300337,0.00019409937888198756,0.7679541925465838,0.23185170807453417,False,1
19,5-4,6517,9.291852079177536,2.7429068578057048,0.00015344483658124905,0.755408930489489,0.2444376246739297,False,5
17,5-2,6121,9.289658552524097,2.743081341055871,0.001143603986276752,0.761966998856396,0.23688939715732724,False,5
14,4-4,8262,9.193778746066327,2.718201205877958,0.00036310820624546115,0.7480029048656499,0.25163398692810457,True,4
4,2-1,10617,9.186964302533672,2.6958096455163987,0.00047094282754073653,0.750682867099934,0.2488461900725252,False,2
2,1-1,10110,9.016617210682492,2.6486883137214994,0.0002967359050445104,0.7260138476755688,0.27368941641938677,True,1
13,4-3,7149,8.941530283955798,2.6974433857844566,0.000419639110365086,0.7056931039306197,0.29388725695901524,False,4
