base_seed,decl_id,V_mean,V_std,V_spread,p_capture_3-2,p_capture_4-1,p_capture_5-0,p_capture_5-5,p_capture_6-4
71,1,9.333333333333334,23.11324776447962,50.0,0.488095238095238,0.3,0.6111111111111112,0.2142857142857143,0.21904761904761905
72,2,16.666666666666668,33.038697848970315,72.0,0.6984126984126985,0.3,0.1619047619047619,0.3063492063492063,0.3063492063492063
73,3,1.3333333333333333,23.907228102721476,58.0,0.09682539682539681,0.5158730158730159,0.28095238095238095,0.5158730158730159,0.3
74,4,-29.333333333333332,9.843215373488935,24.0,0.20238095238095238,0.16666666666666669,0.1277777777777778,0.16666666666666669,0.16984126984126985
75,5,18.0,16.97056274847714,36.0,0.538095238095238,0.24761904761904763,0.05714285714285714,0.7142857142857143,0.05714285714285714
76,6,16.666666666666668,13.299958228840003,30.0,0.5523809523809523,0.3,0.4452380952380952,0.29047619047619044,0.6984126984126985
77,7,36.0,5.887840577551898,14.0,0.6015873015873016,0.9,0.3,0.9,0.014285714285714285
78,8,6.666666666666667,14.267289706021797,34.0,0.34523809523809523,0.23809523809523808,0.08412698412698413,0.5793650793650793,0.29523809523809524
79,9,10.666666666666666,5.2493385826745405,12.0,0.626984126984127,0.45238095238095244,0.0746031746031746,0.2523809523809524,0.0746031746031746
80,0,39.333333333333336,0.9428090415820634,2.0,0.3063492063492063,0.006349206349206344,0.9,0.6015873015873016,0.30317460317460315
81,1,13.333333333333334,20.677416559027762,48.0,0.6587301587301587,0.530952380952381,0.3,0.6587301587301587,0.24285714285714288
82,2,33.333333333333336,10.873004286866726,24.0,0.5738095238095238,0.896825396825397,0.30317460317460315,0.30317460317460315,0.2761904761904762
83,3,-14.666666666666666,23.79542439676633,58.0,0.2738095238095238,0.3253968253968254,0.1349206349206349,0.2714285714285714,0.1349206349206349
84,4,22.0,2.8284271247461903,6.0,0.5166666666666667,0.29047619047619044,0.047619047619047616,0.7619047619047619,0.7619047619047619
85,5,-10.0,23.03620339089466,56.0,0.38095238095238093,0.28095238095238095,0.21904761904761905,0.2714285714285714,0.1634920634920635
86,6,0.6666666666666666,31.93048003954146,78.0,0.5079365079365079,0.5079365079365079,0.24285714285714288,0.24285714285714288,0.3063492063492063
87,7,3.3333333333333335,31.084115271666047,76.0,0.38095238095238093,0.09206349206349207,0.5396825396825398,0.38095238095238093,0.30317460317460315
88,8,2.6666666666666665,0.9428090415820634,2.0,0.5317460317460317,0.24285714285714288,0.5317460317460317,0.23809523809523808,0.23809523809523808
89,9,27.333333333333332,16.67999467092907,38.0,0.530952380952381,0.24285714285714288,0.03492063492063493,0.30952380952380953,0.8253968253968254
90,0,-20.666666666666668,12.684198393626966,30.0,0.20238095238095238,0.1492063492063492,0.1492063492063492,0.2142857142857143,0.16031746031746033
91,1,20.666666666666668,18.354533197248273,44.0,0.6023809523809524,0.746031746031746,0.050793650793650794,0.30317460317460315,0.050793650793650794
92,2,-8.666666666666666,28.5345794120436,68.0,0.30476190476190473,0.39682539682539686,0.16031746031746033,0.39682539682539686,0.1904761904761905
93,3,8.0,4.320493798938574,10.0,0.4309523809523809,0.26666666666666666,0.08095238095238096,0.5952380952380952,0.24761904761904763
94,4,-0.6666666666666666,30.5650490302604,70.0,0.19523809523809527,0.10158730158730159,0.10158730158730159,0.3,0.10158730158730159
95,5,-10.0,33.0252428706689,76.0,0.13095238095238096,0.17142857142857143,0.12380952380952381,0.30952380952380953,0.12380952380952381
96,6,34.666666666666664,10.370899457402697,22.0,0.017460317460317464,0.28095238095238095,0.28095238095238095,0.9,0.017460317460317464
97,7,38.666666666666664,0.9428090415820634,2.0,0.6023809523809524,0.007936507936507941,0.9,0.9,0.007936507936507941
98,8,7.333333333333333,16.519348924485154,36.0,0.5873015873015873,0.37380952380952376,0.08253968253968254,0.2761904761904762,0.08253968253968254
99,9,9.333333333333334,13.59738536958076,32.0,0.4809523809523809,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.3
100,0,22.666666666666668,14.817407180595247,36.0,0.7698412698412699,0.046031746031746035,0.7698412698412699,0.3,0.7698412698412699
101,1,18.0,16.97056274847714,36.0,0.7142857142857143,0.05714285714285714,0.05714285714285714,0.7142857142857143,0.7142857142857143
102,2,32.666666666666664,6.79869268479038,16.0,0.6063492063492063,0.022222222222222227,0.8888888888888887,0.8888888888888887,0.022222222222222227
103,3,34.666666666666664,10.370899457402697,22.0,0.9,0.017460317460317464,0.017460317460317464,0.3,0.3
104,4,22.0,14.966629547095765,36.0,0.7619047619047619,0.047619047619047616,0.047619047619047616,0.3,0.7619047619047619
105,5,18.0,5.656854249492381,12.0,0.7142857142857143,0.05714285714285714,0.05714285714285714,0.7142857142857143,0.29523809523809524
106,6,4.0,33.34666400106613,78.0,0.34523809523809523,0.16666666666666669,0.28095238095238095,0.5476190476190477,0.5476190476190477
107,7,36.666666666666664,4.988876515698588,12.0,0.30476190476190473,0.012698412698412704,0.012698412698412704,0.9,0.012698412698412704
108,8,29.333333333333332,9.843215373488935,24.0,0.5809523809523809,0.3,0.5809523809523809,0.3,0.3
109,9,24.666666666666668,24.51303508113365,52.0,0.4809523809523809,0.7936507936507937,0.04126984126984127,0.3,0.20952380952380953
110,0,20.666666666666668,3.7712361663282534,8.0,0.2761904761904762,0.5238095238095238,0.2761904761904762,0.29523809523809524,0.2761904761904762
111,1,26.666666666666668,21.684607956387456,46.0,0.8174603174603176,0.6,0.22380952380952382,0.6,0.3
112,2,36.666666666666664,6.182412330330469,14.0,0.9,0.012698412698412704,0.012698412698412704,0.9,0.012698412698412704
113,3,11.333333333333334,14.079141387961917,34.0,0.22380952380952382,0.38095238095238093,0.07301587301587302,0.30476190476190473,0.07301587301587302
114,4,24.666666666666668,15.69146972791976,38.0,0.3,0.04126984126984127,0.04126984126984127,0.3,0.7936507936507937
115,5,34.0,11.313708498984761,24.0,0.5809523809523809,0.2761904761904762,0.5809523809523809,0.9,0.01904761904761905
116,6,12.666666666666666,21.24983660067897,52.0,0.6507936507936508,0.6507936507936508,0.26666666666666666,0.3063492063492063,0.6507936507936508
117,7,28.0,1.632993161855452,4.0,0.8333333333333334,0.03333333333333333,0.8333333333333334,0.8333333333333334,0.03333333333333333
118,8,-26.0,19.79898987322333,42.0,0.1634920634920635,0.13174603174603175,0.1634920634920635,0.23809523809523808,0.23809523809523808
119,9,12.0,29.97776954122282,68.0,0.3952380952380953,0.6428571428571429,0.6428571428571429,0.6023809523809524,0.3
120,0,41.333333333333336,0.9428090415820634,2.0,0.6007936507936508,0.0015873015873015817,0.9,0.30317460317460315,0.0015873015873015817
121,1,-0.6666666666666666,6.182412330330469,14.0,0.4920634920634921,0.38095238095238093,0.4920634920634921,0.21904761904761905,0.21904761904761905
122,2,14.666666666666666,23.79542439676633,58.0,0.45952380952380956,0.06507936507936508,0.19523809523809527,0.3,0.06507936507936508
123,3,29.333333333333332,16.519348924485154,36.0,0.30317460317460315,0.8492063492063492,0.30317460317460315,0.8492063492063492,0.3
124,4,-29.333333333333332,16.519348924485154,36.0,0.21904761904761905,0.16984126984126985,0.16984126984126985,0.1507936507936508,0.16984126984126985
125,5,36.0,4.320493798938574,10.0,0.6063492063492063,0.3063492063492063,0.6023809523809524,0.9,0.30317460317460315
126,6,0.6666666666666666,14.079141387961918,34.0,0.1904761904761905,0.5079365079365079,0.1904761904761905,0.4380952380952381,0.2714285714285714
127,7,-14.666666666666666,29.31817790306136,68.0,0.1277777777777778,0.3253968253968254,0.1349206349206349,0.29523809523809524,0.29523809523809524
128,8,-8.0,3.265986323710904,8.0,0.20476190476190476,0.11904761904761905,0.11904761904761905,0.2142857142857143,0.22380952380952382
129,9,16.0,13.366625103842281,32.0,0.28095238095238095,0.6904761904761905,0.2285714285714286,0.30476190476190473,0.30476190476190473
130,0,29.333333333333332,16.519348924485154,36.0,0.24761904761904763,0.530952380952381,0.8492063492063492,0.6007936507936508,0.3
131,1,2.0,5.887840577551898,14.0,0.21904761904761905,0.09523809523809523,0.5238095238095238,0.5238095238095238,0.24285714285714288
132,2,-6.666666666666667,34.42221504913489,82.0,0.11587301587301586,0.42063492063492064,0.42063492063492064,0.1904761904761905,0.42063492063492064
133,3,11.333333333333334,29.227080289043965,70.0,0.4166666666666667,0.28095238095238095,0.07301587301587302,0.3,0.634920634920635
134,4,42.0,0.0,0.0,0.6,0.9,0.3,0.3,0.9
135,5,4.666666666666667,16.110727964792762,36.0,0.1904761904761905,0.35238095238095235,0.26666666666666666,0.4809523809523809,0.2761904761904762
136,6,8.666666666666666,6.599663291074444,14.0,0.6031746031746031,0.07936507936507937,0.07936507936507937,0.6031746031746031,0.6031746031746031
137,7,36.666666666666664,0.9428090415820634,2.0,0.30952380952380953,0.6047619047619047,0.012698412698412704,0.9,0.3063492063492063
138,8,29.333333333333332,9.285592184789413,22.0,0.6063492063492063,0.28095238095238095,0.6063492063492063,0.29523809523809524,0.030158730158730163
139,9,15.333333333333334,22.939534045447004,56.0,0.2,0.06349206349206349,0.6825396825396826,0.3,0.2761904761904762
140,0,26.666666666666668,20.28683207293725,44.0,0.5023809523809524,0.30317460317460315,0.8174603174603176,0.3,0.03650793650793651
141,1,16.666666666666668,19.618585292749547,48.0,0.4023809523809524,0.6984126984126985,0.06031746031746032,0.6984126984126985,0.06031746031746032
142,2,4.666666666666667,17.98765008430939,40.0,0.30952380952380953,0.0888888888888889,0.20952380952380953,0.20952380952380953,0.0888888888888889
143,3,17.333333333333332,10.624918300339486,26.0,0.7063492063492063,0.7063492063492063,0.05873015873015874,0.24285714285714288,0.7063492063492063
144,4,5.333333333333333,8.219218670625303,20.0,0.0873015873015873,0.5634920634920635,0.0873015873015873,0.5634920634920635,0.2714285714285714
145,5,1.3333333333333333,29.044027881055953,70.0,0.4023809523809524,0.21904761904761905,0.09682539682539681,0.30317460317460315,0.1619047619047619
146,6,18.0,14.966629547095765,36.0,0.26666666666666666,0.05714285714285714,0.7142857142857143,0.7142857142857143,0.3063492063492063
147,7,11.333333333333334,13.097921802925667,32.0,0.2571428571428571,0.07301587301587302,0.07301587301587302,0.3,0.634920634920635
148,8,0.0,10.198039027185569,24.0,0.4166666666666667,0.2,0.1,0.24285714285714288,0.1
149,9,42.0,0.0,0.0,0.6,0.0,0.3,0.3,0.9
150,0,29.333333333333332,9.843215373488935,24.0,0.8492063492063492,0.030158730158730163,0.030158730158730163,0.2761904761904762,0.3
151,1,14.666666666666666,15.173075568988056,36.0,0.6746031746031745,0.06507936507936508,0.06507936507936508,0.5452380952380952,0.30476190476190473
152,2,15.333333333333334,37.712361663282536,80.0,0.6825396825396826,0.06349206349206349,0.6825396825396826,0.3,0.06349206349206349
153,3,14.0,35.364765892999586,76.0,0.3063492063492063,0.6666666666666666,0.06666666666666667,0.30317460317460315,0.6666666666666666
154,4,8.666666666666666,4.109609335312651,10.0,0.4452380952380952,0.4309523809523809,0.24285714285714288,0.6031746031746031,0.26666666666666666
155,5,13.333333333333334,20.677416559027762,48.0,0.24285714285714288,0.06825396825396825,0.3,0.3,0.06825396825396825
156,6,1.3333333333333333,32.71425105702746,80.0,0.5158730158730159,0.09682539682539681,0.09682539682539681,0.5158730158730159,0.09682539682539681
157,7,19.333333333333332,18.785337071473826,46.0,0.05396825396825398,0.05396825396825398,0.4238095238095238,0.28095238095238095,0.3
158,8,28.0,10.708252269472673,26.0,0.6055555555555555,0.8333333333333334,0.03333333333333333,0.30317460317460315,0.26666666666666666
159,9,28.666666666666668,17.46106780494506,38.0,0.8412698412698413,0.8412698412698413,0.24285714285714288,0.5238095238095238,0.30317460317460315
160,0,4.666666666666667,9.843215373488935,24.0,0.5555555555555556,0.35952380952380947,0.0888888888888889,0.5555555555555556,0.2714285714285714
161,1,4.666666666666667,10.624918300339486,26.0,0.5555555555555556,0.35238095238095235,0.2142857142857143,0.24285714285714288,0.0888888888888889
162,2,37.333333333333336,5.2493385826745405,12.0,0.6047619047619047,0.9,0.011111111111111106,0.3,0.9
163,3,27.333333333333332,10.370899457402697,22.0,0.8253968253968254,0.5095238095238096,0.28095238095238095,0.3,0.3
164,4,-20.666666666666668,5.2493385826745405,12.0,0.24523809523809523,0.25396825396825395,0.1492063492063492,0.1904761904761905,0.1904761904761905
165,5,10.666666666666666,4.988876515698588,12.0,0.626984126984127,0.626984126984127,0.2714285714285714,0.626984126984127,0.2619047619047619
166,6,3.3333333333333335,4.109609335312651,10.0,0.5396825396825398,0.2285714285714286,0.09206349206349207,0.24285714285714288,0.09206349206349207
167,7,26.666666666666668,9.568466729604882,22.0,0.8174603174603176,0.5738095238095238,0.03650793650793651,0.8174603174603176,0.2857142857142857
168,8,-5.333333333333333,9.843215373488935,24.0,0.43650793650793646,0.2880952380952381,0.1904761904761905,0.24761904761904763,0.24761904761904763
169,9,35.333333333333336,5.734883511361751,14.0,0.6023809523809524,0.3,0.01587301587301587,0.9,0.3
170,0,28.0,8.640987597877148,20.0,0.03333333333333333,0.03333333333333333,0.8333333333333334,0.8333333333333334,0.03333333333333333
171,1,36.666666666666664,6.182412330330469,14.0,0.6055555555555555,0.6007936507936508,0.9,0.6007936507936508,0.3
172,2,32.666666666666664,11.8133634311129,26.0,0.30317460317460315,0.5666666666666667,0.2714285714285714,0.3,0.3
173,3,6.0,25.664502073226878,58.0,0.5714285714285714,0.45952380952380956,0.08571428571428572,0.2142857142857143,0.3
174,4,-24.0,9.93310961716756,22.0,0.21428571428571427,0.15714285714285714,0.15714285714285714,0.1904761904761905,0.1904761904761905
175,5,26.666666666666668,0.9428090415820634,2.0,0.5595238095238094,0.03650793650793651,0.03650793650793651,0.8174603174603176,0.8174603174603176
176,6,-12.0,21.228911104120876,46.0,0.35714285714285715,0.1285714285714286,0.1285714285714286,0.2761904761904762,0.1285714285714286
177,7,10.0,27.27636339397171,66.0,0.4166666666666667,0.2714285714285714,0.0761904761904762,0.30317460317460315,0.0761904761904762
178,8,16.666666666666668,17.98765008430939,44.0,0.4809523809523809,0.6984126984126985,0.06031746031746032,0.3063492063492063,0.06031746031746032
179,9,-2.0,20.06655592438988,46.0,0.45238095238095244,0.47619047619047616,0.10476190476190478,0.2714285714285714,0.47619047619047616
180,0,24.0,13.063945294843617,32.0,0.5952380952380951,0.7857142857142857,0.7857142857142857,0.29047619047619044,0.30317460317460315
181,1,32.0,11.430952132988164,26.0,0.5595238095238094,0.8809523809523809,0.8809523809523809,0.8809523809523809,0.3
182,2,24.0,15.57776192739723,38.0,0.4738095238095238,0.3,0.04285714285714286,0.24285714285714288,0.24285714285714288
183,3,35.333333333333336,5.2493385826745405,12.0,0.6023809523809524,0.3,0.9,0.30317460317460315,0.3063492063492063
184,4,23.333333333333332,2.494438257849294,6.0,0.04444444444444445,0.28095238095238095,0.7777777777777777,0.7777777777777777,0.7777777777777777
185,5,6.0,23.15167380558045,54.0,0.488095238095238,0.08571428571428572,0.08571428571428572,0.3063492063492063,0.3063492063492063
186,6,11.333333333333334,19.48218559493661,46.0,0.634920634920635,0.634920634920635,0.07301587301587302,0.3063492063492063,0.634920634920635
187,7,-2.6666666666666665,13.59738536958076,32.0,0.46825396825396826,0.3952380952380953,0.2142857142857143,0.2142857142857143,0.19523809523809527
188,8,-6.666666666666667,0.9428090415820634,2.0,0.21904761904761905,0.3166666666666667,0.2142857142857143,0.2142857142857143,0.21904761904761905
189,9,34.0,11.313708498984761,24.0,0.5809523809523809,0.01904761904761905,0.3,0.3,0.2761904761904762
190,0,24.0,8.640987597877148,20.0,0.5666666666666667,0.30952380952380953,0.5523809523809523,0.30952380952380953,0.7857142857142857
191,1,26.666666666666668,21.684607956387456,46.0,0.8174603174603176,0.8174603174603176,0.22380952380952382,0.6,0.3
192,2,31.333333333333332,4.988876515698588,12.0,0.5666666666666667,0.3063492063492063,0.8730158730158729,0.8730158730158729,0.29523809523809524
193,3,12.0,12.328828005937952,30.0,0.3,0.07142857142857144,0.6428571428571429,0.2285714285714286,0.6428571428571429
194,4,9.333333333333334,14.727148022916348,36.0,0.2142857142857143,0.36666666666666664,0.07777777777777778,0.6111111111111112,0.3
195,5,18.666666666666668,10.498677165349081,24.0,0.24285714285714288,0.7222222222222223,0.7222222222222223,0.5523809523809523,0.29047619047619044
196,6,2.0,12.328828005937952,30.0,0.4380952380952381,0.5238095238095238,0.09523809523809523,0.24285714285714288,0.2714285714285714
197,7,1.3333333333333333,30.12566274052001,72.0,0.4095238095238095,0.5158730158730159,0.09682539682539681,0.5158730158730159,0.5158730158730159
198,8,10.0,14.966629547095765,36.0,0.4952380952380952,0.6190476190476191,0.0761904761904762,0.6190476190476191,0.6190476190476191
199,9,42.0,0.0,0.0,0.3,0.6,0.3,0.6,0.3
