counts_held,avg_ev,ev_range,avg_bid,n_hands
0,5.158730158730158,"[-26, 37]",3.7857142857142856,42
1,13.583333333333332,"[-29, 42]",6.9875,80
2,17.799999999999997,"[-29, 42]",15.1,60
3,22.705882352941178,"[-28, 39]",21.823529411764707,17
4,18.666666666666668,"[19, 19]",0.0,1
