domino,points,played_pct,team0_pct
3-2,5,68.0605,40.659684716416976
4-1,5,65.6235,50.14035751167222
5-0,5,66.44149999999999,29.301071263614286
5-5,10,65.71900000000001,67.96622035529886
6-4,10,72.557,36.54301643406333
