base_seed,decl_id,p0_count_points,n_counts_held,holds_3_2,holds_4_1,holds_5_0,holds_5_5,holds_6_4,V_opp0,V_opp1,V_opp2,V_mean,V_std,V_spread,V_min,V_max
60,0,15,2,False,True,False,False,True,6,8.0,40.0,18.0,15.57776192739723,34,6,40
61,1,10,1,False,False,False,False,True,42,26.0,-24.0,14.666666666666666,28.110891523077353,66,-24,42
62,2,15,2,True,False,False,True,False,42,30.0,30.0,34.0,5.656854249492381,12,30,42
63,3,10,1,False,False,False,True,False,8,42.0,-16.0,11.333333333333334,23.79542439676633,58,-16,42
64,4,5,1,False,True,False,False,False,-28,-26.0,-30.0,-28.0,1.632993161855452,4,-30,-26
65,5,20,2,False,False,False,True,True,28,42.0,42.0,37.333333333333336,6.599663291074444,14,28,42
66,6,10,1,False,False,False,False,True,18,-16.0,6.0,2.6666666666666665,14.079141387961918,34,-16,18
67,7,5,1,False,True,False,False,False,16,38.0,16.0,23.333333333333332,10.370899457402697,22,16,38
68,8,15,2,False,True,False,False,True,18,14.0,-4.0,9.333333333333334,9.568466729604882,22,-4,18
69,9,20,2,False,False,False,True,True,42,40.0,38.0,40.0,1.632993161855452,4,38,42
70,0,15,2,False,True,False,True,False,6,-26.0,6.0,-4.666666666666667,15.084944665313014,32,-26,6
71,1,5,1,False,False,True,False,False,42,-8.0,-6.0,9.333333333333334,23.11324776447962,50,-8,42
72,2,5,1,True,False,False,False,False,42,-30.0,38.0,16.666666666666668,33.038697848970315,72,-30,42
73,3,15,2,False,True,False,True,False,28,6.0,-30.0,1.3333333333333333,23.907228102721476,58,-30,28
74,4,0,0,False,False,False,False,False,-18,-28.0,-42.0,-29.333333333333332,9.843215373488935,24,-42,-18
75,5,10,1,False,False,False,True,False,6,42.0,6.0,18.0,16.97056274847714,36,6,42
76,6,10,1,False,False,False,False,True,28,24.0,-2.0,16.666666666666668,13.299958228840003,30,-2,28
77,7,15,2,False,True,False,True,False,28,42.0,38.0,36.0,5.887840577551898,14,28,42
78,8,10,1,False,False,False,True,False,2,-8.0,26.0,6.666666666666667,14.267289706021797,34,-8,26
