trick,total,voiding,obs_rate,exp_rate,excess_rate
2,107,33,0.308411214953271,0.3786604361370716,-0.07024922118380061
3,4266,1979,0.4639006094702297,0.541647132364432,-0.07774652289420225
4,51673,32089,0.6210012966152536,0.6685261161535038,-0.04752481953825016
5,86721,65174,0.7515365367096781,0.7826324265940968,-0.031095889884418693
6,5498,4758,0.8654056020371044,0.8982357220807566,-0.03283012004365227
