feature,coefficient,true_value
capture_3_2,5.840973947490351,5.0
capture_4_1,5.655870404431331,5.0
capture_5_0,4.923052245466224,5.0
capture_5_5,9.141327718363177,10.0
capture_6_4,10.421528837567838,10.0
depth,0.0878247448052214,
