,3-2,4-1,5-0,5-5,6-4
3-2,1.0,0.0760853639723379,-0.024354580764917554,0.23867316712506464,0.04255587850004857
4-1,0.07608536397233788,1.0,0.0006765061673494683,-0.015974661212164096,0.07644581480939745
5-0,-0.02435458076491755,0.0006765061673494684,1.0,0.1622013265381807,-0.00037530969692926814
5-5,0.23867316712506462,-0.015974661212164093,0.16220132653818067,1.0,0.00668439642234491
6-4,0.04255587850004857,0.07644581480939745,-0.0003753096969292681,0.00668439642234491,1.0
