base_seed,cluster,V_mean,V_std
0,0,41.333333333333336,0.9428090415820634
1,1,14.0,20.396078054371134
2,1,14.0,20.396078054371134
3,1,17.333333333333332,20.41785710815141
4,0,-4.0,17.962924780409974
5,1,5.333333333333333,17.98765008430939
6,0,5.333333333333333,27.776888874666213
7,1,21.33333333333333,26.398653164297773
8,1,5.333333333333333,14.636332266733431
9,1,11.333333333333334,23.170862929310356
10,1,-2.6666666666666665,12.472191289246473
11,1,-15.333333333333334,26.04269997949948
12,0,40.0,2.8284271247461903
13,1,36.66666666666666,4.714045207910317
14,1,6.666666666666667,2.494438257849294
15,0,28.666666666666668,8.993825042154695
16,0,8.666666666666666,19.48218559493661
17,1,18.666666666666668,0.9428090415820634
18,1,11.333333333333334,8.993825042154695
19,1,22.0,13.36662510384228
20,1,16.0,24.711670657134185
21,1,34.666666666666664,6.182412330330469
22,1,11.333333333333334,23.17086292931036
23,1,10.666666666666666,37.24990678586398
24,1,15.333333333333334,26.04269997949948
25,1,4.666666666666667,28.15828277592384
26,1,1.3333333333333333,27.438820836342234
27,1,4.0,21.22891110412088
28,1,21.33333333333333,19.75404318670541
29,1,11.333333333333334,6.182412330330469
30,1,28.666666666666668,17.46106780494506
31,1,-3.333333333333333,33.6386021641143
32,1,-7.333333333333333,28.58126814696802
33,1,24.0,12.96148139681572
34,0,33.333333333333336,10.873004286866726
35,1,8.0,21.22891110412088
36,1,-8.666666666666666,23.90722810272148
37,1,-1.3333333333333333,4.714045207910317
38,1,-20.666666666666668,19.48218559493661
39,1,33.333333333333336,12.256517540566824
40,1,-23.33333333333333,22.17105219775452
41,1,-20.666666666666668,18.354533197248276
42,0,19.33333333333333,18.785337071473823
43,1,7.333333333333333,23.79542439676633
44,0,31.33333333333333,15.084944665313014
45,1,8.666666666666666,25.5255862921022
46,1,8.666666666666666,5.2493385826745405
47,1,25.33333333333333,20.741798914805397
48,1,8.0,12.96148139681572
49,1,26.666666666666668,21.684607956387456
50,0,30.0,15.57776192739723
51,0,17.333333333333332,17.15290710702481
52,1,32.666666666666664,13.199326582148888
53,0,6.666666666666667,23.79542439676633
54,1,-20.0,5.656854249492381
55,0,32.666666666666664,10.49867716534908
56,1,-7.333333333333333,26.14489540150344
57,1,29.33333333333333,16.519348924485154
58,1,-10.0,18.83259585576738
59,1,32.666666666666664,6.79869268479038
60,1,18.0,15.57776192739723
61,1,14.666666666666666,28.110891523077356
62,1,34.0,5.656854249492381
63,1,11.333333333333334,23.79542439676633
64,1,-28.0,1.632993161855452
65,0,37.333333333333336,6.599663291074444
66,1,2.6666666666666665,14.079141387961918
67,1,23.33333333333333,10.370899457402697
68,1,9.333333333333334,9.568466729604882
69,1,40.0,1.632993161855452
70,0,-4.666666666666667,15.084944665313014
71,1,9.333333333333334,23.11324776447962
72,1,16.666666666666668,33.038697848970315
73,1,1.3333333333333333,23.90722810272148
74,1,-29.33333333333333,9.843215373488936
75,0,18.0,16.97056274847714
76,0,16.666666666666668,13.299958228840003
77,1,36.0,5.887840577551898
78,1,6.666666666666667,14.267289706021796
79,1,10.666666666666666,5.2493385826745405
80,1,39.333333333333336,0.9428090415820634
81,1,13.333333333333334,20.67741655902776
82,1,33.333333333333336,10.873004286866726
83,1,-14.666666666666666,23.79542439676633
84,1,22.0,2.8284271247461903
85,1,-10.0,23.03620339089466
86,1,0.6666666666666666,31.93048003954146
87,1,3.333333333333333,31.084115271666047
88,1,2.6666666666666665,0.9428090415820634
89,1,27.33333333333333,16.67999467092907
90,1,-20.666666666666668,12.684198393626966
91,1,20.666666666666668,18.354533197248276
92,1,-8.666666666666666,28.5345794120436
93,1,8.0,4.320493798938574
94,1,-0.6666666666666666,30.5650490302604
95,1,-10.0,33.0252428706689
96,0,34.666666666666664,10.370899457402697
97,1,38.66666666666666,0.9428090415820634
98,1,7.333333333333333,16.519348924485154
99,1,9.333333333333334,13.59738536958076
100,1,22.666666666666668,14.817407180595248
101,1,18.0,16.97056274847714
102,1,32.666666666666664,6.79869268479038
103,1,34.666666666666664,10.370899457402697
104,1,22.0,14.966629547095764
105,0,18.0,5.656854249492381
106,1,4.0,33.34666400106613
107,1,36.66666666666666,4.988876515698588
108,1,29.33333333333333,9.843215373488936
109,1,24.666666666666668,24.51303508113365
110,1,20.666666666666668,3.771236166328253
111,0,26.666666666666668,21.684607956387456
112,1,36.66666666666666,6.182412330330469
113,1,11.333333333333334,14.079141387961917
114,1,24.666666666666668,15.69146972791976
115,0,34.0,11.31370849898476
116,1,12.666666666666666,21.24983660067897
117,1,28.0,1.632993161855452
118,1,-26.0,19.79898987322333
119,1,12.0,29.97776954122282
120,0,41.333333333333336,0.9428090415820634
121,1,-0.6666666666666666,6.182412330330469
122,1,14.666666666666666,23.79542439676633
123,0,29.33333333333333,16.519348924485154
124,1,-29.33333333333333,16.519348924485154
125,0,36.0,4.320493798938574
126,1,0.6666666666666666,14.079141387961918
127,1,-14.666666666666666,29.31817790306136
128,1,-8.0,3.265986323710904
129,1,16.0,13.36662510384228
130,1,29.33333333333333,16.519348924485154
131,1,2.0,5.887840577551898
132,1,-6.666666666666667,34.42221504913489
133,1,11.333333333333334,29.227080289043965
134,0,42.0,0.0
135,1,4.666666666666667,16.110727964792762
136,1,8.666666666666666,6.599663291074444
137,1,36.66666666666666,0.9428090415820634
138,1,29.33333333333333,9.285592184789412
139,1,15.333333333333334,22.939534045447004
140,1,26.666666666666668,20.28683207293725
141,1,16.666666666666668,19.618585292749547
142,1,4.666666666666667,17.98765008430939
143,1,17.333333333333332,10.624918300339486
144,1,5.333333333333333,8.219218670625303
145,1,1.3333333333333333,29.044027881055957
146,1,18.0,14.966629547095764
147,1,11.333333333333334,13.097921802925669
148,1,0.0,10.198039027185567
149,1,42.0,0.0
150,1,29.33333333333333,9.843215373488936
151,1,14.666666666666666,15.173075568988056
152,0,15.333333333333334,37.712361663282536
153,1,14.0,35.364765892999586
154,1,8.666666666666666,4.109609335312651
155,1,13.333333333333334,20.67741655902776
156,0,1.3333333333333333,32.71425105702746
157,1,19.33333333333333,18.785337071473823
158,1,28.0,10.708252269472672
159,1,28.666666666666668,17.46106780494506
160,1,4.666666666666667,9.843215373488936
161,0,4.666666666666667,10.624918300339486
162,1,37.333333333333336,5.2493385826745405
163,1,27.33333333333333,10.370899457402697
164,1,-20.666666666666668,5.2493385826745405
165,0,10.666666666666666,4.988876515698588
166,0,3.333333333333333,4.109609335312651
167,1,26.666666666666668,9.568466729604882
168,1,-5.333333333333333,9.843215373488936
169,1,35.333333333333336,5.734883511361751
170,1,28.0,8.640987597877148
171,1,36.66666666666666,6.182412330330469
172,0,32.666666666666664,11.8133634311129
173,1,6.0,25.66450207322688
174,1,-24.0,9.93310961716756
175,0,26.666666666666668,0.9428090415820634
176,1,-12.0,21.22891110412088
177,1,10.0,27.27636339397171
178,1,16.666666666666668,17.98765008430939
179,1,-2.0,20.06655592438988
180,1,24.0,13.063945294843617
181,0,32.0,11.430952132988164
182,1,24.0,15.57776192739723
183,1,35.333333333333336,5.2493385826745405
184,1,23.33333333333333,2.494438257849294
185,1,6.0,23.15167380558045
186,1,11.333333333333334,19.48218559493661
187,1,-2.6666666666666665,13.59738536958076
188,1,-6.666666666666667,0.9428090415820634
189,1,34.0,11.31370849898476
190,1,24.0,8.640987597877148
191,0,26.666666666666668,21.684607956387456
192,1,31.33333333333333,4.988876515698588
193,1,12.0,12.328828005937952
194,1,9.333333333333334,14.727148022916348
195,1,18.666666666666668,10.49867716534908
196,1,2.0,12.328828005937952
197,1,1.3333333333333333,30.12566274052001
198,1,10.0,14.966629547095764
