base_seed,decl_id,trump_suit,V_mean,V_std,V_min,V_max,max_suit_length,n_doubles,trump_count,n_6_high,n_5_high,n_4_high,count_points,n_count_dominoes,total_pips,has_trump_double,pip_0_count,pip_1_count,pip_2_count,pip_3_count,pip_4_count,pip_5_count,pip_6_count
47,7,7,25.333333333333332,20.741798914805393,-4.0,40.0,3,2,0,3,0,0,0,0,43,0,2,0,3,3,0,1,3
48,8,8,8.0,12.96148139681572,-4.0,26.0,3,3,0,1,2,2,15,2,41,0,2,2,1,0,3,2,1
49,9,9,26.666666666666668,21.684607956387456,-4.0,42.0,3,2,0,3,1,1,5,1,44,0,3,1,1,1,1,2,3
50,0,0,30.0,15.57776192739723,8.0,42.0,3,2,2,1,1,1,10,1,35,1,2,2,1,3,2,1,1
51,1,1,17.333333333333332,17.15290710702481,-4.0,38.0,3,1,1,2,2,1,10,1,44,1,2,1,1,2,3,2,2
52,2,2,32.666666666666664,13.199326582148887,14.0,42.0,3,3,2,1,3,0,10,1,45,0,1,1,2,2,1,3,1
53,3,3,6.666666666666667,23.79542439676633,-14.0,40.0,4,1,3,1,1,1,5,1,41,1,1,1,4,3,1,2,1
54,4,4,-20.0,5.656854249492381,-28.0,-16.0,3,2,2,2,2,1,5,1,45,0,1,3,1,1,2,2,2
55,5,5,32.666666666666664,10.498677165349081,18.0,42.0,3,1,3,0,3,1,10,1,37,1,3,2,2,1,2,3,0
56,6,6,-7.333333333333333,26.144895401503437,-40.0,24.0,4,1,1,1,1,2,5,1,40,0,2,1,2,4,2,1,1
57,7,7,29.333333333333332,16.519348924485154,6.0,42.0,4,2,0,4,1,0,10,1,49,0,2,2,2,1,0,1,4
58,8,8,-10.0,18.83259585576738,-28.0,16.0,3,2,0,0,3,1,5,1,33,0,3,1,3,0,2,3,0
59,9,9,32.666666666666664,6.79869268479038,26.0,42.0,4,1,0,2,1,2,0,0,45,0,3,0,1,4,2,1,2
60,0,0,18.0,15.57776192739723,6.0,40.0,4,0,1,4,1,2,15,2,51,0,1,3,1,0,3,2,4
61,1,1,14.666666666666666,28.110891523077353,-24.0,42.0,3,1,2,3,1,1,10,1,48,0,1,2,2,1,3,1,3
62,2,2,34.0,5.656854249492381,30.0,42.0,4,2,4,2,1,1,15,2,46,0,2,0,4,2,1,1,2
63,3,3,11.333333333333334,23.79542439676633,-16.0,42.0,3,2,2,2,2,0,10,1,46,0,1,2,2,2,0,3,2
64,4,4,-28.0,1.632993161855452,-30.0,-26.0,2,3,1,2,2,1,5,1,49,0,0,2,2,2,1,2,2
65,5,5,37.333333333333336,6.599663291074444,28.0,42.0,3,3,3,1,3,0,20,2,46,1,1,1,1,2,2,3,1
66,6,6,2.6666666666666665,14.079141387961918,-16.0,18.0,3,1,3,3,2,1,10,1,44,0,3,1,0,1,3,2,3
67,7,7,23.333333333333332,10.370899457402697,16.0,38.0,3,2,0,1,2,2,5,1,45,0,0,2,3,1,2,3,1
68,8,8,9.333333333333334,9.568466729604882,-4.0,18.0,3,1,0,1,1,2,15,2,40,0,1,2,3,2,3,1,1
69,9,9,40.0,1.632993161855452,38.0,42.0,2,3,0,2,1,1,20,2,46,0,1,1,2,1,2,2,2
70,0,0,-4.666666666666667,15.084944665313014,-26.0,6.0,4,3,1,1,3,1,15,2,41,1,1,3,1,0,1,4,1
71,1,1,9.333333333333334,23.11324776447962,-8.0,42.0,3,1,1,1,2,2,5,1,40,0,2,1,3,2,2,2,1
72,2,2,16.666666666666668,33.038697848970315,-30.0,42.0,3,1,2,2,0,3,5,1,42,0,2,1,2,3,3,0,2
73,3,3,1.3333333333333333,23.907228102721476,-30.0,28.0,3,2,1,3,2,2,15,2,60,0,1,1,0,1,3,3,3
74,4,4,-29.333333333333332,9.843215373488935,-42.0,-18.0,3,0,1,3,2,1,0,0,47,0,2,1,3,1,1,3,3
75,5,5,18.0,16.97056274847714,6.0,42.0,3,2,2,3,1,1,10,1,45,1,2,1,2,1,1,2,3
76,6,6,16.666666666666668,13.299958228840003,-2.0,28.0,3,2,3,3,2,1,10,1,50,1,1,2,1,1,2,2,3
77,7,7,36.0,5.887840577551898,28.0,42.0,3,4,0,1,1,3,15,2,46,0,1,2,2,0,3,1,1
78,8,8,6.666666666666667,14.267289706021797,-8.0,26.0,3,2,0,1,3,2,10,1,49,0,1,2,1,1,3,3,1
79,9,9,10.666666666666666,5.2493385826745405,6.0,18.0,3,1,0,2,1,1,5,1,42,0,2,1,3,2,1,2,2
80,0,0,39.333333333333336,0.9428090415820634,38.0,40.0,3,2,2,0,3,1,5,1,35,0,2,3,2,1,1,3,0
81,1,1,13.333333333333334,20.677416559027762,-6.0,42.0,5,2,2,1,1,0,15,2,38,0,2,2,1,5,0,1,1
82,2,2,33.333333333333336,10.873004286866726,18.0,42.0,3,2,3,1,1,3,5,1,37,0,2,1,3,1,3,1,1
83,3,3,-14.666666666666666,23.79542439676633,-42.0,16.0,3,0,1,3,1,2,5,1,44,0,2,3,1,1,2,2,3
84,4,4,22.0,2.8284271247461903,18.0,24.0,3,2,2,3,1,1,20,2,49,0,1,2,1,1,2,2,3
85,5,5,-10.0,23.03620339089466,-40.0,16.0,3,3,0,1,0,1,5,1,30,0,1,2,3,3,1,0,1
86,6,6,0.6666666666666666,31.93048003954146,-40.0,38.0,3,1,1,1,1,2,10,2,36,0,2,3,2,2,2,1,1
87,7,7,3.3333333333333335,31.084115271666047,-36.0,40.0,3,4,0,0,2,2,5,1,40,0,1,1,1,3,2,2,0
88,8,8,2.6666666666666665,0.9428090415820634,2.0,4.0,4,0,0,1,4,0,10,2,43,0,2,1,3,2,1,4,1
89,9,9,27.333333333333332,16.67999467092907,4.0,42.0,3,1,0,2,2,2,10,1,48,0,1,1,3,1,3,2,2
90,0,0,-20.666666666666668,12.684198393626966,-38.0,-8.0,4,0,2,1,2,2,0,0,40,0,2,1,4,1,3,2,1
91,1,1,20.666666666666668,18.354533197248273,-4.0,40.0,3,2,3,2,1,2,5,1,41,0,1,3,2,1,2,1,2
92,2,2,-8.666666666666666,28.5345794120436,-38.0,30.0,4,1,1,1,1,1,15,2,32,0,3,4,1,2,1,1,1
