k,total_var,avg_within_var,var_reduction,avg_v_range,compression
5,108.15208017760001,81.74344051526366,0.2441805984588542,70.2,10000.0
10,108.15208017760001,76.72701439216225,0.29056367416912976,66.6,5000.0
20,108.15208017760001,74.08382479500872,0.31500323735472036,61.6,2500.0
50,108.15208017760001,73.2289447479625,0.3229076627309351,56.38,1000.0
100,108.15208017760001,70.76553642131857,0.3456849252911991,50.22,500.0
200,108.15208017760001,69.5134014526963,0.35726246468356315,43.671875,250.0
