slot,mean_std,median_std,std_of_std,pct_high_var,n_observations
0,6.98021485172323,7.0645866153625185,1.305786428981131,0.9372448735971152,20942560
1,7.207401645999781,7.160216452338178,1.3656508656313078,0.9435110753244268,20817178
2,7.3357544873953096,7.294625904671048,1.3475138445620924,0.959995636615066,20745362
3,7.5656236687422105,7.611378455405456,1.5104356021835148,0.9448296870373191,19401195
4,7.69015158574152,7.845264812435022,1.530856390620395,0.9574334008093888,19141111
5,7.903790600222175,8.020433124557405,1.623073935587116,0.9548205778949449,19825818
6,7.913280332728948,8.015844493303083,1.574662980413515,0.9710800331105267,14204546
