base_seed,decl_id,hand_str,V_mean,V_std,V_min,V_max,V_spread,n_unique_basins,basin_converged,basin_spread,basins,n_doubles,count_points,trump_count,has_trump_double,n_6_high,total_pips
146,6,6-3 5-5 5-2 5-0 3-1 2-0 0-0,18.0,14.966629547095765,2.0,38.0,36.0,3,False,2,"Win,Draw,Big Win",2,15,1,False,1,37
147,7,6-4 6-3 6-1 5-3 3-1 1-1 0-0,11.333333333333334,13.097921802925667,-4.0,28.0,32.0,3,False,2,"Win,Big Win,Draw",2,10,0,False,3,40
148,8,6-5 6-3 6-2 5-1 4-4 3-1 0-0,0.0,10.198039027185569,-14.0,10.0,24.0,3,False,2,"Loss,Draw,Win",2,0,0,False,3,46
149,9,6-4 5-4 4-4 4-3 4-0 3-3 3-0,42.0,0.0,42.0,42.0,0.0,1,True,0,"Big Win,Big Win,Big Win",2,10,0,False,1,47
150,0,6-0 5-4 5-3 4-4 3-2 2-0 1-0,29.333333333333332,9.843215373488935,18.0,42.0,24.0,2,False,1,"Big Win,Win,Big Win",1,5,3,False,1,39
151,1,5-4 5-2 5-1 4-2 4-0 3-2 0-0,14.666666666666666,15.173075568988056,-6.0,30.0,36.0,2,False,3,"Loss,Big Win,Big Win",1,5,1,False,0,37
152,2,6-6 6-1 5-1 5-0 4-0 3-2 2-2,15.333333333333334,37.712361663282536,-38.0,42.0,80.0,2,False,4,"Big Win,Big Loss,Big Win",2,10,2,True,2,43
153,3,6-6 6-5 6-4 4-1 3-0 2-1 0-0,14.0,35.364765892999586,-36.0,40.0,76.0,2,False,4,"Big Win,Big Win,Big Loss",2,15,1,False,3,44
154,4,6-1 5-5 2-2 2-1 2-0 1-1 1-0,8.666666666666666,4.109609335312651,4.0,14.0,10.0,2,False,1,"Win,Draw,Win",3,10,0,False,1,29
155,5,6-5 5-4 4-4 4-2 3-1 2-2 2-1,13.333333333333334,20.677416559027762,-6.0,42.0,48.0,3,False,3,"Draw,Big Win,Loss",2,0,2,False,1,45
156,6,6-6 5-5 5-4 5-1 3-2 3-0 2-0,1.3333333333333333,32.71425105702746,-40.0,40.0,80.0,3,False,4,"Draw,Big Loss,Big Win",2,15,1,True,1,47
157,7,6-6 6-5 5-3 5-2 5-1 4-4 4-3,19.333333333333332,18.785337071473826,-4.0,42.0,46.0,2,False,2,"Big Win,Draw,Big Win",2,0,0,False,2,59
158,8,6-6 6-5 5-2 5-1 4-1 3-0 2-2,28.0,10.708252269472673,14.0,40.0,26.0,2,False,1,"Win,Big Win,Big Win",2,5,0,False,2,48
159,9,5-3 5-2 4-3 4-1 3-3 3-2 1-1,28.666666666666668,17.46106780494506,4.0,42.0,38.0,2,False,2,"Big Win,Draw,Big Win",2,10,0,False,0,40
160,0,6-3 6-0 5-5 3-3 3-2 3-1 1-1,4.666666666666667,9.843215373488935,-8.0,16.0,24.0,2,False,2,"Win,Loss,Win",3,15,1,False,2,42
161,1,6-5 6-3 4-0 3-2 2-1 2-0 1-1,4.666666666666667,10.624918300339486,-8.0,18.0,26.0,3,False,2,"Win,Loss,Draw",1,5,2,True,2,36
162,2,6-4 6-2 5-3 4-2 4-1 2-1 2-0,37.333333333333336,5.2493385826745405,30.0,42.0,12.0,1,True,0,"Big Win,Big Win,Big Win",0,15,4,False,2,42
163,3,6-3 6-1 4-3 4-0 3-2 3-1 2-0,27.333333333333332,10.370899457402697,20.0,42.0,22.0,1,True,0,"Big Win,Big Win,Big Win",0,5,4,False,2,38
164,4,6-3 6-1 5-1 4-1 4-0 3-1 3-0,-20.666666666666668,5.2493385826745405,-28.0,-16.0,12.0,2,False,1,"Big Loss,Loss,Loss",0,5,2,False,2,38
165,5,6-0 5-5 4-4 4-1 3-2 2-1 2-0,10.666666666666666,4.988876515698588,4.0,16.0,12.0,2,False,1,"Draw,Win,Win",2,20,1,True,1,39
166,6,6-6 6-2 6-0 5-1 4-2 3-2 2-1,3.3333333333333335,4.109609335312651,-2.0,8.0,10.0,2,False,1,"Draw,Draw,Win",1,5,3,True,3,46
167,7,6-1 5-5 5-3 3-3 3-2 2-2 2-0,26.666666666666668,9.568466729604882,18.0,40.0,22.0,2,False,1,"Big Win,Win,Big Win",3,15,0,False,1,42
168,8,6-1 6-0 4-3 3-2 2-1 1-1 0-0,-5.333333333333333,9.843215373488935,-18.0,6.0,24.0,3,False,2,"Draw,Loss,Win",2,5,0,False,2,30
169,9,6-3 5-5 5-3 4-4 4-2 4-0 2-1,35.333333333333336,5.734883511361751,28.0,42.0,14.0,1,True,0,"Big Win,Big Win,Big Win",2,10,0,False,1,48
170,0,6-5 6-1 5-5 5-2 5-0 4-4 4-2,28.0,8.640987597877148,20.0,40.0,20.0,1,True,0,"Big Win,Big Win,Big Win",2,15,1,False,2,54
171,1,5-1 5-0 3-1 3-0 2-1 1-0 0-0,36.666666666666664,6.182412330330469,28.0,42.0,14.0,1,True,0,"Big Win,Big Win,Big Win",1,5,4,False,0,22
172,2,6-2 6-0 4-3 4-0 3-1 2-2 2-0,32.666666666666664,11.8133634311129,16.0,42.0,26.0,2,False,1,"Big Win,Win,Big Win",1,0,3,True,2,35
173,3,6-6 6-5 5-3 3-2 3-0 2-2 2-1,6.0,25.664502073226878,-16.0,42.0,58.0,2,False,3,"Big Win,Loss,Loss",2,5,3,False,2,46
174,4,6-3 6-0 5-3 4-2 3-2 3-0 2-1,-24.0,9.93310961716756,-38.0,-16.0,22.0,2,False,1,"Big Loss,Loss,Loss",0,5,1,False,2,40
175,5,6-6 6-4 5-5 4-3 4-0 2-2 2-0,26.666666666666668,0.9428090415820634,26.0,28.0,2.0,1,True,0,"Big Win,Big Win,Big Win",3,20,1,True,2,49
176,6,6-5 6-0 5-4 5-2 3-2 3-0 1-1,-12.0,21.228911104120876,-28.0,18.0,46.0,2,False,3,"Big Loss,Big Loss,Win",1,5,2,False,2,43
177,7,6-5 6-3 6-0 5-1 4-4 2-1 0-0,10.0,27.27636339397171,-26.0,40.0,66.0,3,False,4,"Win,Big Win,Big Loss",2,0,0,False,3,43
178,8,6-5 6-3 5-4 4-2 4-1 1-0 0-0,16.666666666666668,17.98765008430939,-6.0,38.0,44.0,3,False,3,"Win,Loss,Big Win",1,5,0,False,2,41
179,9,6-5 6-4 6-0 5-4 4-2 4-1 0-0,-2.0,20.06655592438988,-30.0,16.0,46.0,2,False,3,"Win,Win,Big Loss",1,15,0,False,3,47
180,0,6-1 5-2 5-0 4-1 3-3 3-0 2-2,24.0,13.063945294843617,8.0,40.0,32.0,2,False,1,"Win,Big Win,Big Win",2,10,2,False,1,37
181,1,6-0 5-5 5-1 5-0 4-3 4-1 1-1,32.0,11.430952132988164,16.0,42.0,26.0,2,False,1,"Big Win,Win,Big Win",2,20,3,True,1,41
182,2,6-3 6-2 6-1 6-0 4-2 3-0 2-1,24.0,15.57776192739723,4.0,42.0,38.0,2,False,2,"Big Win,Big Win,Draw",0,0,3,False,4,42
183,3,6-0 5-4 5-0 4-4 4-2 2-2 2-1,35.333333333333336,5.2493385826745405,28.0,40.0,12.0,1,True,0,"Big Win,Big Win,Big Win",2,5,0,False,1,41
184,4,6-4 5-5 5-3 5-0 4-3 4-2 3-3,23.333333333333332,2.494438257849294,20.0,26.0,6.0,1,True,0,"Big Win,Big Win,Big Win",2,25,3,False,1,52
185,5,6-1 6-0 5-4 5-2 4-0 1-1 1-0,6.0,23.15167380558045,-16.0,38.0,54.0,3,False,3,"Loss,Draw,Big Win",1,0,2,False,2,36
186,6,6-5 6-4 5-1 4-1 3-3 3-2 2-1,11.333333333333334,19.48218559493661,-8.0,38.0,46.0,3,False,3,"Draw,Loss,Big Win",1,20,2,False,2,46
187,7,6-0 5-1 4-3 3-2 3-0 1-1 1-0,-2.6666666666666665,13.59738536958076,-16.0,16.0,32.0,2,False,2,"Win,Loss,Loss",1,5,0,False,1,30
188,8,6-0 5-4 4-3 4-0 3-0 2-1 2-0,-6.666666666666667,0.9428090415820634,-8.0,-6.0,2.0,1,True,0,"Loss,Loss,Loss",0,0,0,False,1,34
189,9,6-3 5-4 4-4 4-3 4-0 3-1 2-2,34.0,11.313708498984761,18.0,42.0,24.0,2,False,1,"Big Win,Big Win,Win",2,0,0,False,1,45
190,0,6-4 6-2 6-0 5-4 5-1 4-4 2-0,24.0,8.640987597877148,16.0,36.0,20.0,2,False,1,"Big Win,Big Win,Win",1,10,2,False,3,49
191,1,5-4 4-4 4-1 4-0 3-3 3-2 1-1,26.666666666666668,21.684607956387456,-4.0,42.0,46.0,2,False,2,"Draw,Big Win,Big Win",3,10,2,True,0,39
192,2,6-2 6-1 5-5 5-3 5-0 1-0 0-0,31.333333333333332,4.988876515698588,26.0,38.0,12.0,1,True,0,"Big Win,Big Win,Big Win",2,15,1,False,2,39
193,3,6-4 5-3 5-0 4-2 3-0 1-1 1-0,12.0,12.328828005937952,-2.0,28.0,30.0,3,False,2,"Big Win,Draw,Win",1,15,2,False,1,35
194,4,6-3 6-2 5-5 3-3 3-1 2-0 0-0,9.333333333333334,14.727148022916348,-8.0,28.0,36.0,3,False,3,"Loss,Win,Big Win",3,10,0,False,2,39
195,5,5-3 5-0 4-1 3-1 2-2 2-1 0-0,18.666666666666668,10.498677165349081,4.0,28.0,24.0,2,False,2,"Draw,Big Win,Big Win",2,10,2,False,0,29
196,6,6-3 6-2 6-0 4-2 4-1 3-1 2-0,2.0,12.328828005937952,-14.0,16.0,30.0,3,False,2,"Loss,Draw,Win",0,5,3,False,3,40
197,7,6-4 6-3 6-2 5-5 4-1 4-0 3-1,1.3333333333333333,30.12566274052001,-30.0,42.0,72.0,3,False,4,"Big Win,Big Loss,Loss",1,25,0,False,3,50
198,8,6-4 6-2 5-5 5-4 4-1 4-0 2-1,10.0,14.966629547095765,-6.0,30.0,36.0,3,False,3,"Big Win,Win,Loss",1,25,0,False,2,49
199,9,5-4 4-4 4-3 2-1 2-0 1-1 1-0,42.0,0.0,42.0,42.0,0.0,1,True,0,"Big Win,Big Win,Big Win",2,0,0,False,0,32
