base_seed,decl_id,hand_str,V_mean,V_std,V_min,V_max,V_spread,n_unique_basins,basin_converged,basin_spread,basins,n_doubles,count_points,trump_count,has_trump_double,n_6_high,total_pips
96,6,6-6 6-3 6-2 6-1 5-5 5-1 3-3,34.666666666666664,10.370899457402697,20.0,42.0,22.0,1,True,0,"Big Win,Big Win,Big Win",3,10,4,True,4,58
97,7,6-6 5-5 5-1 5-0 3-3 2-1 1-1,38.666666666666664,0.9428090415820634,38.0,40.0,2.0,1,True,0,"Big Win,Big Win,Big Win",4,15,0,False,1,44
98,8,6-5 6-2 6-1 3-2 3-1 2-1 2-0,7.333333333333333,16.519348924485154,-16.0,20.0,36.0,3,False,3,"Loss,Win,Big Win",0,5,0,False,3,40
99,9,5-5 5-3 5-0 4-3 4-1 1-0 0-0,9.333333333333334,13.59738536958076,-4.0,28.0,32.0,2,False,2,"Draw,Draw,Big Win",2,20,0,False,0,36
100,0,6-4 6-0 5-4 5-0 3-2 3-0 1-0,22.666666666666668,14.817407180595247,6.0,42.0,36.0,2,False,1,"Big Win,Win,Big Win",0,20,4,False,2,39
101,1,6-4 6-3 6-2 5-5 4-0 3-2 0-0,18.0,16.97056274847714,-6.0,30.0,36.0,2,False,3,"Loss,Big Win,Big Win",2,25,0,False,3,46
102,2,6-6 5-5 5-0 4-4 4-0 2-0 0-0,32.666666666666664,6.79869268479038,26.0,42.0,16.0,1,True,0,"Big Win,Big Win,Big Win",4,15,1,False,1,41
103,3,6-3 5-3 5-2 4-3 3-2 2-2 2-1,34.666666666666664,10.370899457402697,20.0,42.0,22.0,1,True,0,"Big Win,Big Win,Big Win",1,5,4,False,1,43
104,4,6-5 6-4 6-1 4-3 3-3 3-2 1-1,22.0,14.966629547095765,6.0,42.0,36.0,2,False,1,"Win,Big Win,Win",2,15,2,False,3,48
105,5,6-3 6-2 5-5 4-4 3-2 3-1 2-1,18.0,5.656854249492381,14.0,26.0,12.0,2,False,1,"Win,Win,Big Win",2,15,1,True,2,47
106,6,6-4 6-0 5-5 5-4 5-3 4-2 2-2,4.0,33.34666400106613,-42.0,36.0,78.0,3,False,4,"Big Win,Big Loss,Win",2,20,2,False,2,53
107,7,6-6 5-5 5-2 4-2 3-0 1-1 1-0,36.666666666666664,4.988876515698588,30.0,42.0,12.0,1,True,0,"Big Win,Big Win,Big Win",3,10,0,False,1,41
108,8,6-6 6-5 6-3 5-4 5-3 3-1 0-0,29.333333333333332,9.843215373488935,18.0,42.0,24.0,2,False,1,"Big Win,Big Win,Win",2,0,0,False,3,53
109,9,6-3 6-2 6-1 4-3 4-1 2-2 0-0,24.666666666666668,24.51303508113365,-10.0,42.0,52.0,2,False,3,"Big Win,Big Win,Loss",2,5,0,False,3,40
