feature,mean_shap
remaining_p0,0.24243635172854547
remaining_p3,0.17790297010744652
remaining_p2,0.1778765396518423
remaining_p1,0.07319620799415014
trick_position,0.06861556615639713
depth,0.059029170793862815
team_0_leads,0.026725988031687836
end_game,0.023485906331753188
in_trick,0.021384004874080483
mid_game,0.0014213809840582642
early_game,7.406042825165553e-06
