cluster,domino,d_id,freq_cluster,freq_other,log2_enrichment,p_value
0,0-0,0,0.17647058823529413,0.22289156626506024,-0.33691427481120806,0.651282492659325
0,1-0,1,0.11764705882352941,0.25903614457831325,-1.1386881646055127,0.11797079761150153
0,1-1,2,0.29411764705882354,0.22289156626506024,0.40005131935499805,0.3797691908738522
0,2-0,3,0.35294117647058826,0.2710843373493976,0.3806859944880671,0.4042703273671577
0,2-1,4,0.17647058823529413,0.2710843373493976,-0.6193140055119329,0.28757221762000496
0,2-2,5,0.29411764705882354,0.23493975903614459,0.32410246612169935,0.512623710670978
0,3-0,6,0.29411764705882354,0.25301204819277107,0.21718726220518753,0.6689368950124848
0,3-1,7,0.17647058823529413,0.22289156626506024,-0.33691427481120806,0.651282492659325
0,3-2,8,0.29411764705882354,0.2469879518072289,0.2519526803658641,0.6659339255471468
0,3-3,9,0.23529411764705882,0.20481927710843373,0.20011374884624603,0.6511219043529288
0,4-0,10,0.35294117647058826,0.2469879518072289,0.514987086199658,0.20706727928440516
0,4-1,11,0.23529411764705882,0.28313253012048195,-0.2670122615810522,0.6757980299934969
0,4-2,12,0.11764705882352941,0.3192771084337349,-1.4403438644666138,0.020754643176102046
0,4-3,13,0.2647058823529412,0.25301204819277107,0.06518416876013751,1.0
0,4-4,14,0.35294117647058826,0.25301204819277107,0.4802216680389814,0.28855665260444663
0,5-0,15,0.17647058823529413,0.21686746987951808,-0.2973859106245708,0.8173147426429884
0,5-1,16,0.4117647058823529,0.1927710843373494,1.0949315121541894,0.012230234886550312
0,5-2,17,0.3235294117647059,0.20481927710843373,0.6595453674835433,0.17437193610355298
0,5-3,18,0.17647058823529413,0.25301204819277107,-0.5197783319610186,0.38746303162734436
0,5-4,19,0.20588235294117646,0.28313253012048195,-0.4596573395234482,0.40410346141033726
0,5-5,20,0.47058823529411764,0.29518072289156627,0.6728667459813772,0.06902202277798011
0,6-0,21,0.20588235294117646,0.30120481927710846,-0.5489246776205353,0.3032755254448921
0,6-1,22,0.17647058823529413,0.24096385542168675,-0.4493890040696207,0.5066531227848587
0,6-2,23,0.20588235294117646,0.28313253012048195,-0.4596573395234482,0.40410346141033726
0,6-3,24,0.11764705882352941,0.26506024096385544,-1.171855028540712,0.07885779805621687
0,6-4,25,0.23529411764705882,0.22289156626506024,0.07812322446763557,0.8255494486900641
0,6-5,26,0.17647058823529413,0.27710843373493976,-0.6510228652392711,0.285356785934468
0,6-6,27,0.38235294117647056,0.19879518072289157,0.9436221888792239,0.026177608401598697
1,0-0,0,0.22289156626506024,0.17647058823529413,0.33691427481120817,0.651282492659325
1,1-0,1,0.25903614457831325,0.11764705882352941,1.1386881646055125,0.11797079761150153
1,1-1,2,0.22289156626506024,0.29411764705882354,-0.400051319354998,0.3797691908738522
1,2-0,3,0.2710843373493976,0.35294117647058826,-0.380685994488067,0.4042703273671577
1,2-1,4,0.2710843373493976,0.17647058823529413,0.6193140055119329,0.28757221762000496
1,2-2,5,0.23493975903614459,0.29411764705882354,-0.32410246612169935,0.512623710670978
1,3-0,6,0.25301204819277107,0.29411764705882354,-0.21718726220518755,0.6689368950124848
1,3-1,7,0.22289156626506024,0.17647058823529413,0.33691427481120817,0.651282492659325
1,3-2,8,0.2469879518072289,0.29411764705882354,-0.2519526803658641,0.6659339255471468
1,3-3,9,0.20481927710843373,0.23529411764705882,-0.20011374884624603,0.6511219043529288
1,4-0,10,0.2469879518072289,0.35294117647058826,-0.5149870861996579,0.20706727928440516
1,4-1,11,0.28313253012048195,0.23529411764705882,0.2670122615810521,0.6757980299934969
1,4-2,12,0.3192771084337349,0.11764705882352941,1.4403438644666138,0.020754643176102046
1,4-3,13,0.25301204819277107,0.2647058823529412,-0.06518416876013758,1.0
1,4-4,14,0.25301204819277107,0.35294117647058826,-0.4802216680389814,0.28855665260444663
1,5-0,15,0.21686746987951808,0.17647058823529413,0.29738591062457076,0.8173147426429884
1,5-1,16,0.1927710843373494,0.4117647058823529,-1.0949315121541894,0.012230234886550312
1,5-2,17,0.20481927710843373,0.3235294117647059,-0.6595453674835432,0.17437193610355298
1,5-3,18,0.25301204819277107,0.17647058823529413,0.5197783319610186,0.38746303162734436
1,5-4,19,0.28313253012048195,0.20588235294117646,0.4596573395234482,0.40410346141033726
1,5-5,20,0.29518072289156627,0.47058823529411764,-0.6728667459813771,0.06902202277798011
1,6-0,21,0.30120481927710846,0.20588235294117646,0.5489246776205354,0.3032755254448921
1,6-1,22,0.24096385542168675,0.17647058823529413,0.4493890040696207,0.5066531227848587
1,6-2,23,0.28313253012048195,0.20588235294117646,0.4596573395234482,0.40410346141033726
1,6-3,24,0.26506024096385544,0.11764705882352941,1.1718550285407119,0.07885779805621687
1,6-4,25,0.22289156626506024,0.23529411764705882,-0.07812322446763555,0.8255494486900641
1,6-5,26,0.27710843373493976,0.17647058823529413,0.6510228652392713,0.285356785934468
1,6-6,27,0.19879518072289157,0.38235294117647056,-0.9436221888792241,0.026177608401598697
