count,p_team0_holds,n_team0,n_team1,v_when_team0_holds,v_when_team1_holds,v_diff
3-2,0.6316666666666667,379,221,12.321899736147758,16.552036199095024,-4.230136462947266
4-1,0.47333333333333333,284,316,12.711267605633802,14.930379746835444,-2.2191121412016415
5-0,0.3433333333333333,206,394,15.320388349514563,13.126903553299492,2.1934847962150705
5-5,0.5766666666666667,346,254,20.09826589595376,5.409448818897638,14.688817077056122
6-4,0.37666666666666665,226,374,18.238938053097346,11.245989304812834,6.992948748284512
