domino,points,logistic_acc,rf_acc
3-2,5,0.8666666666666668,0.9
4-1,5,0.82,0.8266666666666668
5-0,5,0.5866666666666667,0.4333333333333333
5-5,10,0.6466666666666667,0.6799999999999999
6-4,10,0.6799999999999999,0.7133333333333334
