count,mean_p_capture,std_p_capture,min_p_capture,max_p_capture,median_p_capture
3-2,0.4324878360054239,0.2069313989516198,0.017460317460317464,0.9,0.4380952380952381
4-1,0.3370742601898381,0.25660868844527085,0.0,0.9,0.3
5-0,0.28141899976070833,0.26630500437288407,0.004761904761904762,0.9,0.1904761904761905
5-5,0.4371181303342107,0.2329480823611144,0.1507936507936508,0.9,0.30317460317460315
6-4,0.30311079205551567,0.2378106746065383,0.0015873015873015817,0.9,0.2761904761904762
