,0-0,1-0,1-1,2-0,2-1,2-2,3-0,3-1,3-2,3-3,4-0,4-1,4-2,4-3,4-4,5-0,5-1,5-2,5-3,5-4,5-5,6-0,6-1,6-2,6-3,6-4,6-5,6-6
0-0,1.0,0.9984001417604861,1.9136560340364097,2.9749412402678503,0.8534409798839696,2.2297606046306657,0.36478057024920724,3.1937800373371457,1.0580861155033667,0.20735571729944802,3.6683060061459294,0.5659350627867883,0.01,0.2903262306927239,3.935352335414974,1.453429324872467,1.660044803477,5.118628690360151,2.266615664742206,0.3732360905543595,0.8980707273958397,1.0330248387056957,0.01,0.6948067469424707,2.5077254936455815,1.0140306013762868,2.6434870411026785,0.9761555253244968
1-0,0.5621383411092857,1.0,2.9507624132009407,1.2350800822010621,1.2251030023747,2.290869637416225,1.8788251108720821,1.711949893149747,0.9441411594829752,0.01,1.1463192775986557,4.321381273559872,4.161243792699678,0.9501607627389543,2.121411291032786,0.23978487671307763,0.4290806909663447,1.7432474159024336,0.3526390548475353,0.01,0.5693948442528131,5.478525026532649,3.7296441931399302,1.214677466101606,2.1003109989120152,3.796370939333204,0.7735413447396957,2.3345231513537983
1-1,0.9231189101929829,1.7039673774967783,1.0,0.2431862618495453,2.4370338147864476,0.930127032496238,0.01,0.01,1.655406603437829,0.8974549663063442,3.2983027532040743,1.25050812927073,0.5571623854640603,1.3563238298626872,0.01,0.5565969446863316,1.1831987710330758,0.7456134307363765,2.019565762443942,0.9353141390807239,1.3944626671157254,3.724634480282894,0.01,2.033985987144624,3.851149045313949,6.4748779008330555,2.1138762443669146,4.653167855216649
2-0,1.9900307116060196,1.1253063717373952,0.41467394529637064,1.0,1.9409433374817158,1.2802298599438293,1.888665639378213,5.613009583375118,1.0120569423134578,3.364529971063908,0.9869625967192583,1.0850520717029746,4.327073918805,1.4365123377633582,5.431649256289204,3.842253111398372,1.7949251997848001,2.4534914146802658,3.905393251059858,0.01,0.14392426398276895,1.5813371226303203,2.778167771485913,8.65133968150035,1.674975027777142,1.1087348250379212,1.3587397473694773,0.8225345993437491
2-1,0.9604779500460057,0.7308470962191044,1.630061764075553,1.493037115091689,1.0,0.4850268899490025,0.11612379879581015,1.226923780205661,0.9305239645616895,1.1042775286619357,2.218584584562038,2.599299813811411,1.7854144222329982,0.8661821823227436,0.5107590056216477,2.5109162737350306,0.01,2.841325046188561,2.013894501804504,2.1214613786138377,1.5518375832314812,2.361882841443402,0.29745316876120587,1.448885311095062,2.53002693712321,1.0006949254611808,0.5446680273457254,0.8691946662733239
2-2,0.4195561628033476,6.013949053575145,0.6388369503109946,0.6726067312371402,0.4816226789432478,1.0,1.0104957715520229,1.477078728353094,5.961756683072603,3.861516271495047,1.4461052846152667,3.2616366128885717,1.142250121046178,2.4963126118448637,3.808520299296825,0.01,0.8953107435602367,0.720946111722905,0.01,6.441243691290659,4.41862016958938,7.955313994830742,4.552414258829003,0.58373373415168,0.9974404351238226,2.0786190477814293,1.7957697531060435,1.6460036468306465
3-0,0.17556909649069286,2.5184364291970085,0.01,0.7639705034562453,0.05368044257069657,0.06811856240572645,1.0,6.564724062229585,0.17029619341164723,2.4302554972288957,0.18348199258550096,3.7223931896198965,5.7818593592378935,0.23306862690711524,3.7545499077913957,2.2704767216460158,2.790722286236363,2.4007055430399573,4.520611025575014,0.01,3.776426937071265,0.1787626392734346,5.857230590537832,1.9091980804078064,0.5528459290681361,3.0283094868049947,2.5464482726703945,2.298005831848956
3-1,0.37620822970246337,0.5360123256752679,0.01,0.9915811683608059,0.9738948714337662,0.8260062159048085,0.9154249831536311,1.0,0.5556477228444496,2.79406526843291,0.38001613949395563,0.8612831148340535,3.2773367400858957,0.01,6.070400222831292,3.343583432682501,2.1960878498723067,0.8063055311859708,4.106155698484173,2.14968604749177,2.3492840791346334,1.0249226522408939,2.233048330409126,3.1190022808702484,0.01,1.5592368881326324,0.3999329015368717,0.01
3-2,0.8099827700508285,1.1227181373177033,1.8015828465653927,0.5233214651134911,0.9368146535148789,3.009500733339087,0.14771700502389715,0.30247826896928043,1.0,3.7434768559722253,1.4448093055790618,0.7991706033134466,0.39334122878960853,2.108176662144372,1.4425758426020707,0.25549309270536624,1.8309652499770328,0.01,1.439579645772424,4.376838364427195,3.7124395930250644,4.135920632067552,3.8087156375308475,0.39190356557531963,2.318898220767247,1.7966598494248793,3.9486877233269833,0.8069735508163208
3-3,0.36568338190995503,0.01,1.9285268330726977,1.9105581461182668,2.2033623468646044,2.085001006745343,2.817142543683904,0.799159612037564,2.12185436085961,1.0,2.317231524661714,0.0852884805565383,1.2303103820541352,3.100747196393603,1.5270683654717123,2.6040282374185844,0.6708015659785257,1.2626418940568067,0.32600819115566676,2.579538600094855,3.2223870633207556,1.2692611006330587,3.9228634696612144,2.9654477093341,0.8904791980576658,0.3798332071945306,3.0749338921306126,2.5718622786134206
4-0,0.9659448209183158,1.0963045637070998,3.2105827091784827,1.3114012591027415,2.526351579786979,0.7955347393902322,0.07892283606677998,0.5216394261555499,1.660206382573156,1.5737746073611434,1.0,0.5796302136398894,0.3942667023597806,3.1178986678330842,1.3156941387942325,0.01,0.48635609932263024,1.134877245216629,0.01,0.9923544791882084,1.7067642019385179,1.8417443859588327,2.722256818459268,2.4925001970162595,2.9434809671639304,0.7222087822339472,2.8344758578543297,3.622946510767044
4-1,0.4027135757190998,2.3842932902634333,0.854480156326472,0.5170278973265212,2.1438416693661533,1.3980089087180982,2.5463214979835147,0.7316432724576251,0.4634099569753394,0.029026493435852004,0.17112939322014908,1.0,0.4014396966931443,0.01,1.7515349750405487,1.3454412116811034,3.3600309064232343,1.7333447803089306,2.4652283838393023,1.7476422200944797,1.1034328156878246,1.3090925240640843,2.166376498005346,1.7068076247908106,0.0897179100806577,0.8970819194224922,0.8416990211250538,1.7920569323195008
