pair,d1,d2,synergy,observed,count
3-0 + 5-0,6,15,2.478436472360521,20.37037037037037,9
0-0 + 4-2,0,12,2.4333686918389272,13.999999999999998,13
1-1 + 5-4,2,19,2.3515600533007,11.794871794871796,13
4-0 + 6-6,10,27,2.3053762212369904,20.285714285714285,14
4-0 + 6-0,10,21,2.2823382371006113,5.476190476190475,14
3-0 + 6-5,6,26,2.266500346500342,8.466666666666667,10
4-1 + 6-2,11,23,2.249676149019093,9.137254901960787,17
2-2 + 4-0,5,10,2.221756555010689,19.25,16
2-0 + 6-4,3,25,2.170237607453217,22.444444444444443,9
1-0 + 3-2,1,8,2.1444475056908363,13.277777777777779,12
3-2 + 5-3,8,18,2.13302826087458,9.866666666666665,10
6-1 + 6-3,22,24,2.0867522726447145,13.933333333333332,10
3-0 + 6-6,6,27,2.0806053953879946,19.09090909090909,11
3-0 + 4-1,6,11,2.0681674585122796,11.03030303030303,11
4-1 + 4-4,11,14,1.9541018056338473,21.23809523809524,14
0-0 + 3-3,0,9,1.9367638088249883,24.666666666666668,6
1-0 + 6-1,1,22,1.9328206402679893,15.333333333333332,7
6-4 + 6-5,25,26,1.9194197671616973,13.68888888888889,15
1-1 + 3-0,2,6,1.9049286660300382,13.0,10
3-0 + 6-1,6,22,1.891681999942863,12.916666666666666,8
2-2 + 5-3,5,18,1.8377496357150775,16.871794871794872,13
2-0 + 3-2,3,8,1.8215111230416507,15.619047619047617,14
5-1 + 5-2,16,17,1.818356975215318,14.962962962962962,9
4-0 + 6-4,10,25,1.7954930443131403,18.0,12
4-2 + 5-3,12,18,1.7914227293174614,6.933333333333333,15
3-0 + 3-3,6,9,1.7817651174613154,19.11111111111111,12
6-2 + 6-4,23,25,1.7491751412093066,14.909090909090912,11
3-2 + 6-6,8,27,1.6470638439032967,17.75,8
4-0 + 5-4,10,19,1.616555438272874,10.6,20
3-2 + 4-2,8,12,1.607959762121867,6.866666666666665,10
5-1 + 5-4,16,19,1.5818327502981049,10.296296296296298,9
1-0 + 4-2,1,12,1.5417308630226039,10.083333333333332,16
5-3 + 6-1,18,22,1.5325125065628473,11.533333333333333,10
1-1 + 6-2,2,23,1.512818818212427,10.533333333333333,5
4-4 + 6-2,14,23,1.4949365804160237,19.407407407407405,9
2-2 + 6-2,5,23,1.4830144094826085,15.466666666666665,10
2-0 + 5-2,3,17,1.4214750199809636,18.904761904761905,14
3-2 + 6-3,8,24,1.3729823126707341,10.95238095238095,14
4-4 + 5-4,14,19,1.3117907700878462,19.647058823529413,17
5-2 + 5-5,17,20,1.3040858464514393,23.523809523809522,14
1-0 + 4-1,1,11,1.2623364018677101,12.6,10
4-1 + 5-2,11,17,1.259481578858665,13.0,10
4-4 + 6-0,14,21,1.2491960640674886,13.794871794871796,13
1-1 + 3-2,2,8,1.2345184276766474,11.422222222222219,15
2-1 + 4-4,4,14,1.2343758159893987,23.384615384615383,13
1-1 + 6-4,2,25,1.2330617619050699,17.897435897435898,13
3-0 + 5-4,6,19,1.1987110193502843,9.212121212121211,11
2-2 + 4-2,5,12,1.1908862651674923,13.75,8
5-2 + 6-5,17,26,1.1881174971497561,10.166666666666666,12
1-0 + 5-2,1,17,1.1809193391380823,16.0,11
6-2 + 6-5,23,26,1.1471177714100023,5.272727272727272,11
2-2 + 6-5,5,26,1.095683277859246,13.68888888888889,15
5-2 + 6-1,17,22,1.085521372814501,14.88888888888889,9
5-4 + 6-4,19,25,1.0839536723348715,14.666666666666666,12
5-3 + 6-3,18,24,1.0707309941520453,10.533333333333335,10
6-1 + 6-6,22,27,0.9632147562582318,19.333333333333336,7
2-0 + 4-3,3,13,0.9413545861539632,21.388888888888886,12
1-0 + 5-1,1,16,0.9249155019280675,13.666666666666666,8
4-2 + 6-1,12,22,0.8629995633656904,8.38888888888889,12
1-0 + 6-3,1,24,0.8043724611905194,13.666666666666666,10
6-2 + 6-6,23,27,0.7975864566612927,15.73333333333333,10
2-0 + 5-3,3,18,0.7435022287653812,14.42424242424242,11
1-0 + 2-0,1,3,0.7377497564099222,17.818181818181817,11
1-1 + 4-3,2,13,0.7178539542810256,17.555555555555554,15
2-0 + 6-1,3,22,0.6852810830156315,16.75,16
0-0 + 5-2,0,17,0.6558905012877361,18.499999999999996,12
2-1 + 6-1,4,22,0.6451367438239792,13.833333333333332,8
4-0 + 4-1,10,11,0.6011633925863844,10.533333333333333,15
5-1 + 5-5,16,20,0.5983465595059769,20.74074074074074,9
1-1 + 4-4,2,14,0.5830708053593945,21.999999999999996,10
3-1 + 4-0,7,10,0.4949822225423919,8.571428571428571,14
4-4 + 5-2,14,17,0.4845895048089801,23.25,8
3-0 + 5-3,6,18,0.4542321500216211,9.095238095238097,14
4-2 + 6-3,12,24,0.44822659796343345,7.435897435897436,13
3-3 + 6-5,9,26,0.33565747135367197,14.2,10
2-0 + 6-2,3,23,0.32798611675203126,12.958333333333332,16
1-1 + 5-1,2,16,0.20387531280277038,11.999999999999998,7
3-2 + 3-3,8,9,0.20302154577459675,16.625,16
1-0 + 5-3,1,18,0.18346602844198223,11.199999999999998,15
4-1 + 5-0,11,15,0.1444336487025275,17.333333333333332,9
5-5 + 6-2,20,23,0.14198792066611432,17.508771929824558,19
0-0 + 5-0,0,15,0.10144863173766794,23.393939393939398,11
5-1 + 6-2,16,23,0.04166701378532878,8.333333333333332,12
2-2 + 5-2,5,17,0.011892923101150643,18.848484848484848,11
3-1 + 6-1,7,22,0.009963614706485657,8.476190476190476,7
2-0 + 6-6,3,27,0.005517609773900034,22.055555555555557,12
5-5 + 6-0,20,21,1.1087028630285545e-05,12.0,16
4-3 + 6-5,13,26,-0.003402648076955117,11.939393939393938,11
3-2 + 6-4,8,25,-0.07710504730627044,14.25,8
5-3 + 6-0,18,21,-0.08854291906923706,1.1111111111111107,12
2-0 + 5-1,3,16,-0.14669812939836469,15.259259259259258,9
2-1 + 3-1,4,7,-0.20295723604886362,9.066666666666666,10
2-1 + 6-0,4,21,-0.2331836390730606,4.153846153846154,13
3-3 + 6-3,9,24,-0.24618048285270788,17.9047619047619,7
1-0 + 6-4,1,25,-0.27666727973887006,17.333333333333332,3
4-3 + 6-1,13,22,-0.32317048958392647,16.444444444444446,12
2-0 + 6-3,3,24,-0.3360242389189807,15.19047619047619,14
1-1 + 5-5,2,20,-0.33790904347432615,20.53333333333334,15
1-0 + 3-1,1,7,-0.33908286341437766,9.142857142857142,7
1-1 + 3-1,2,7,-0.3696468620634832,8.166666666666666,8
5-5 + 6-3,20,24,-0.3962705553056516,19.86666666666666,15
5-3 + 5-5,18,20,-0.41717698805418024,18.0,11
3-3 + 5-0,9,15,-0.444998995378743,25.11111111111111,9
5-2 + 6-6,17,27,-0.4553532115383483,19.333333333333332,8
4-3 + 5-1,13,16,-0.5088534057016272,15.6,10
2-1 + 6-4,4,25,-0.5310178428495433,16.866666666666667,10
3-2 + 5-1,8,16,-0.5421889323060025,8.916666666666666,8
2-1 + 6-5,4,26,-0.5451964247700563,7.818181818181818,11
3-2 + 6-1,8,22,-0.6176171272994146,9.499999999999998,12
3-0 + 5-5,6,20,-0.6208280074946728,18.820512820512825,13
2-0 + 4-1,3,11,-0.6685364887179794,13.333333333333334,8
5-0 + 5-3,15,18,-0.6859518762383523,16.18181818181818,11
2-1 + 6-3,4,24,-0.7012601532022078,11.948717948717949,13
0-0 + 6-0,0,21,-0.7077080676588814,6.916666666666666,8
2-0 + 2-2,3,5,-0.7275729559233071,20.370370370370367,9
1-1 + 5-2,2,17,-0.762343072209438,13.111111111111109,12
0-0 + 6-3,0,24,-0.7920849480883927,15.095238095238097,14
1-1 + 6-3,2,24,-0.805556616823667,11.111111111111109,12
1-1 + 6-5,2,26,-0.8152530541516798,6.814814814814814,9
5-2 + 6-0,17,21,-0.8540525713361022,4.148148148148148,9
4-1 + 6-4,11,25,-0.8647717066849516,13.666666666666666,16
5-3 + 6-4,18,25,-0.8769754134440095,13.333333333333334,12
4-2 + 4-3,12,13,-0.908704711273753,11.000000000000002,8
3-3 + 6-4,9,25,-0.9819821285439971,21.916666666666664,8
5-5 + 6-6,20,27,-1.0364747383587982,25.75,16
1-1 + 5-0,2,15,-1.0996132245877988,18.22222222222222,9
2-1 + 2-2,4,5,-1.1547543321519917,17.066666666666666,10
1-0 + 5-5,1,20,-1.189417873956888,20.62745098039215,17
0-0 + 4-1,0,11,-1.2071368804270772,13.155555555555555,15
0-0 + 4-0,0,10,-1.2738562564131115,14.761904761904763,7
2-1 + 4-0,4,10,-1.2746065531020196,11.523809523809522,7
2-0 + 4-4,3,14,-1.3012717000225713,23.72549019607843,17
2-2 + 6-4,5,25,-1.3775118775939816,20.25,8
2-0 + 4-2,3,12,-1.3876268760479338,9.818181818181818,11
2-1 + 6-2,4,23,-1.3948505301319276,8.35897435897436,13
4-0 + 5-5,10,20,-1.4882982738867732,18.923076923076923,13
3-0 + 5-1,6,16,-1.4944282666021902,8.871794871794869,13
0-0 + 2-1,0,4,-1.5319688751775296,15.696969696969695,11
4-0 + 6-2,10,23,-1.5350063096359108,7.0256410256410255,13
4-4 + 6-4,14,25,-1.5563304474013009,24.0,10
4-0 + 6-3,10,24,-1.610646701936961,9.846153846153845,13
5-3 + 6-2,18,23,-1.6331157930340874,4.933333333333333,10
5-2 + 6-2,17,23,-1.6417230883985958,8.727272727272727,11
0-0 + 5-4,0,19,-1.8584115014072538,11.555555555555555,6
2-0 + 2-1,3,4,-1.9347826248825744,14.933333333333332,15
4-0 + 5-0,10,15,-1.9453016002993841,16.916666666666664,8
4-4 + 6-1,14,22,-1.9468425273944412,19.400000000000002,10
4-0 + 6-5,10,26,-1.9702006891225246,5.199999999999999,10
3-1 + 6-2,7,23,-1.9842361134618778,3.047619047619047,14
3-0 + 6-3,6,24,-1.986766179134607,8.5,12
2-1 + 3-0,4,6,-2.0061594857331198,9.822222222222223,15
6-4 + 6-6,25,27,-2.0081779256533885,20.571428571428573,7
5-0 + 5-4,15,19,-2.040174305610986,14.2,10
3-2 + 5-5,8,20,-2.0756399552497697,16.458333333333336,16
5-4 + 6-2,19,23,-2.0870015220700187,3.8518518518518525,9
3-0 + 3-1,6,7,-2.106411979929982,4.999999999999998,10
2-2 + 5-1,5,16,-2.1532018231997725,14.606060606060606,11
2-0 + 3-3,3,9,-2.2152340900642074,20.153846153846153,13
4-1 + 5-1,11,16,-2.2465222583513498,7.416666666666666,16
4-2 + 5-4,12,19,-2.257904595160065,2.2564102564102573,13
4-2 + 5-2,12,17,-2.2777906266531067,6.666666666666667,15
1-0 + 2-1,1,4,-2.3857279161150675,11.818181818181815,11
3-3 + 5-3,9,18,-2.4162932648075905,13.888888888888888,6
5-2 + 5-4,17,19,-2.4584597087881797,8.333333333333332,12
1-1 + 4-0,2,10,-2.481772369592827,9.583333333333334,8
5-1 + 6-3,16,24,-2.521152865695207,8.666666666666666,7
2-2 + 6-1,5,22,-2.5462290857922536,14.87179487179487,13
3-0 + 4-3,6,13,-2.5593152039895077,12.848484848484851,11
3-2 + 5-2,8,17,-2.6472962062071,8.888888888888888,9
1-0 + 6-0,1,21,-2.6506279477572563,1.9487179487179485,13
1-1 + 6-6,2,27,-2.6624274665434875,15.777777777777775,9
2-0 + 5-4,3,19,-2.71981110969816,10.33333333333333,18
4-1 + 5-3,11,18,-2.7379717318374324,5.2,10
2-1 + 3-2,4,8,-2.7543475018642862,8.166666666666666,16
3-1 + 6-6,7,27,-2.8515458902812814,11.6,5
1-0 + 6-2,1,23,-2.8550298815511654,7.111111111111112,12
3-3 + 5-1,9,16,-2.863732680210397,15.166666666666664,8
4-4 + 5-3,14,18,-2.9115817546050664,16.05128205128205,13
2-2 + 4-4,5,14,-2.957844714481535,23.42222222222222,15
3-2 + 4-3,8,13,-3.0132530258704833,11.487179487179485,13
3-1 + 3-3,7,9,-3.0563024741242693,11.714285714285714,7
3-1 + 4-2,7,12,-3.073983305396043,0.5333333333333334,10
5-5 + 6-5,20,26,-3.1430040296706956,12.833333333333334,12
5-3 + 6-5,18,26,-3.1760024802130076,2.0,8
1-1 + 5-3,2,18,-3.1820186051277553,6.888888888888889,12
2-2 + 5-4,5,19,-3.2064494836342465,11.2,10
4-4 + 5-0,14,15,-3.2137917586804896,25.000000000000004,10
2-2 + 6-3,5,24,-3.2434418336342894,13.636363636363637,11
3-3 + 4-2,9,12,-3.311732133930674,10.518518518518517,9
3-2 + 5-0,8,15,-3.3655187395378423,13.619047619047619,7
0-0 + 1-1,0,2,-3.3845170870507353,13.11111111111111,9
0-0 + 4-4,0,14,-3.387584510032319,22.0,8
0-0 + 5-1,0,16,-3.433446669255609,12.333333333333332,10
4-3 + 4-4,13,14,-3.473247656734749,22.256410256410255,13
1-0 + 3-0,1,6,-3.4916782036681973,8.549019607843135,17
4-0 + 5-1,10,16,-3.541385712481463,7.794871794871795,13
1-0 + 4-3,1,13,-3.5611058565936773,14.222222222222221,9
1-1 + 6-1,2,22,-3.6400714007091555,8.814814814814817,9
1-0 + 5-0,1,15,-3.6614013182907854,16.606060606060602,11
0-0 + 6-1,0,22,-3.684800790174947,12.74074074074074,9
2-2 + 4-3,5,13,-3.6897282322265674,18.11111111111111,18
3-2 + 4-4,8,14,-3.6950447218006577,15.384615384615385,13
4-1 + 6-1,11,22,-3.7219504533447605,6.6,10
2-1 + 4-3,4,13,-3.737678641926573,13.833333333333334,8
3-0 + 6-0,6,21,-3.7952464415622367,-1.5714285714285716,14
5-2 + 5-3,17,18,-3.800341175519442,7.619047619047619,7
5-0 + 5-5,15,20,-3.890327163069781,23.777777777777775,15
2-0 + 5-5,3,20,-3.9196715694961313,20.56140350877193,19
4-1 + 6-3,11,24,-3.95039863242223,5.833333333333334,8
6-3 + 6-4,24,25,-3.972735647362139,12.083333333333336,8
3-1 + 4-4,7,14,-3.9996984120291916,13.428571428571429,14
3-1 + 5-1,7,16,-4.0296875553794695,3.7777777777777763,9
1-0 + 4-4,1,14,-4.05486336448967,18.307692307692307,13
3-3 + 4-4,9,14,-4.095648298764882,23.555555555555554,9
2-1 + 6-6,4,27,-4.2401822849733115,14.933333333333334,10
4-3 + 5-2,13,17,-4.26025697589902,13.925925925925926,9
3-3 + 5-5,9,20,-4.360418997271815,22.745098039215684,17
2-2 + 3-2,5,8,-4.417508203275389,10.733333333333333,10
2-1 + 5-5,4,20,-4.479552750793047,17.125,16
5-0 + 6-1,15,22,-4.511008038823119,14.740740740740742,9
4-4 + 6-5,14,26,-4.6553575141703,11.866666666666665,10
3-3 + 6-6,9,27,-4.674479904001096,20.0,6
4-4 + 5-5,14,20,-4.686275611755061,25.076923076923077,13
3-1 + 5-5,7,20,-4.74924968943435,12.133333333333333,15
3-0 + 3-2,6,8,-4.757802245745402,4.000000000000001,12
3-1 + 4-1,7,11,-4.903377766550937,1.4999999999999996,8
0-0 + 6-4,0,25,-4.968362784255879,15.666666666666666,10
4-1 + 6-6,11,27,-5.021555196427764,11.285714285714286,14
5-4 + 5-5,19,20,-5.048840494867889,12.74074074074074,18
1-0 + 6-5,1,26,-5.051884822698341,3.5238095238095233,7
6-1 + 6-4,22,25,-5.200348074345277,11.393939393939393,11
5-1 + 6-6,16,27,-5.240768813454242,12.47058823529412,17
1-1 + 2-1,2,4,-5.2582832567555124,7.999999999999999,11
1-1 + 2-2,2,5,-5.488110624833277,12.000000000000002,7
4-0 + 5-2,10,17,-5.524698114587688,7.888888888888889,12
5-4 + 6-6,19,27,-5.580766325344451,9.777777777777777,9
5-0 + 6-2,15,23,-5.617377079160795,10.2,10
0-0 + 2-2,0,5,-5.680988162447214,15.777777777777779,6
5-5 + 6-4,20,25,-5.728592347517083,19.28205128205128,13
5-3 + 6-6,18,27,-5.890901760329683,10.095238095238093,14
2-0 + 6-5,3,26,-5.9065672370935545,5.333333333333334,10
2-0 + 3-0,3,6,-5.982681813208137,8.72222222222222,12
2-2 + 5-5,5,20,-6.056602341093043,19.777777777777775,12
4-4 + 5-1,14,16,-6.123978434965139,14.564102564102562,13
3-3 + 4-1,9,11,-6.14146329542227,10.484848484848484,11
5-0 + 6-4,15,25,-6.211236699570719,17.25,8
5-2 + 6-4,17,25,-6.279522102747912,11.733333333333334,5
4-3 + 6-6,13,27,-6.328691538583239,16.424242424242422,11
4-4 + 6-3,14,24,-6.364179595360804,14.444444444444445,9
1-1 + 2-0,2,3,-6.493779943204881,9.641025641025642,13
4-4 + 6-6,14,27,-6.498828222858407,20.83333333333333,12
2-2 + 5-0,5,15,-6.527397431297409,17.757575757575758,11
5-0 + 5-2,15,17,-6.721598798642486,13.948717948717949,13
4-1 + 5-5,11,20,-6.7383066146284545,12.000000000000002,14
0-0 + 5-5,0,20,-6.841897692199378,18.000000000000004,12
4-3 + 5-5,13,20,-6.927560838901812,18.256410256410255,13
3-0 + 4-4,6,14,-6.931472090284878,13.055555555555557,12
3-3 + 6-2,9,23,-7.032566952578518,8.222222222222221,6
3-3 + 4-3,9,13,-7.262452451430553,15.809523809523808,14
4-3 + 5-0,13,15,-7.523453054203305,16.11111111111111,12
3-1 + 6-4,7,25,-7.532857638633704,5.142857142857144,7
5-4 + 6-5,19,26,-7.948406727767459,-3.4,10
3-3 + 4-0,9,10,-8.013666076891708,10.285714285714286,7
5-0 + 6-3,15,24,-8.269085847530219,10.444444444444445,3
2-2 + 6-6,5,27,-8.366305949347378,15.037037037037035,9
0-0 + 4-3,0,13,-8.95650506481439,11.851851851851851,9
4-0 + 6-1,10,22,-9.873806914467881,2.1212121212121215,11
3-3 + 6-0,9,21,-9.887994078613668,0.0,4
0-0 + 3-2,0,8,-10.269470221048396,3.888888888888889,6
5-4 + 6-1,19,22,-10.289891740991603,-0.9166666666666661,8
2-0 + 5-0,3,15,-10.998334814937078,11.933333333333334,10
4-0 + 4-2,10,12,-11.402775479592055,-4.266666666666667,10
2-2 + 3-3,5,9,-11.85571861784645,11.866666666666665,10
