component,variance_explained,cumulative
1,0.4731920171122485,0.4731920171122485
2,0.29415756480070426,0.7673495819129528
3,0.10341373664272316,0.8707633185556759
4,0.0763132917347152,0.9470766102903911
5,0.05292338970960892,1.0
6,0.0,1.0
