base_seed,decl_id,V_mean,V_spread,3-2_locked,4-1_locked,5-0_locked,5-5_locked,6-4_locked,3-2_rate,4-1_rate,5-0_rate,5-5_rate,6-4_rate,five_pt_locks,ten_pt_locks,five_pt_rate,ten_pt_rate,total_locks
49,9,26.666666666666668,46.0,False,False,False,False,True,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,1.0,0,1,0.3333333333333333,0.6666666666666666,1
50,0,30.0,34.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,0,0.5555555555555555,0.16666666666666666,1
51,1,17.333333333333332,42.0,False,False,False,True,False,0.6666666666666666,0.0,0.3333333333333333,1.0,0.3333333333333333,0,1,0.3333333333333333,0.6666666666666666,1
52,2,32.666666666666664,28.0,True,False,True,False,False,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,2,0,0.6666666666666666,0.3333333333333333,2
53,3,6.666666666666667,54.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,0,0.5555555555555555,0.16666666666666666,1
54,4,-20.0,12.0,False,False,False,True,True,0.6666666666666666,0.0,0.3333333333333333,1.0,1.0,0,2,0.3333333333333333,1.0,2
55,5,32.666666666666664,24.0,False,False,True,False,False,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1,0,0.6666666666666666,0.5,1
56,6,-7.333333333333333,64.0,False,True,False,True,False,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,1,1,0.6666666666666666,0.6666666666666666,2
57,7,29.333333333333332,36.0,False,False,True,False,True,0.6666666666666666,0.0,1.0,0.3333333333333333,1.0,1,1,0.5555555555555555,0.6666666666666666,2
58,8,-10.0,44.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0,0,0.5555555555555555,0.16666666666666666,0
59,9,32.666666666666664,16.0,False,False,False,True,True,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0,2,0.4444444444444444,1.0,2
60,0,18.0,34.0,False,False,False,False,False,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.2222222222222222,0.3333333333333333,0
61,1,14.666666666666666,66.0,False,True,False,False,False,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0,0.6666666666666666,0.3333333333333333,1
62,2,34.0,12.0,False,False,True,False,True,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1,0.6666666666666666,0.6666666666666666,2
63,3,11.333333333333334,58.0,False,False,True,False,False,0.6666666666666666,0.0,1.0,0.3333333333333333,0.3333333333333333,1,0,0.5555555555555555,0.3333333333333333,1
64,4,-28.0,4.0,True,False,False,True,True,1.0,0.0,0.3333333333333333,1.0,1.0,1,2,0.4444444444444444,1.0,3
65,5,37.333333333333336,14.0,False,False,True,True,False,0.6666666666666666,0.0,1.0,1.0,0.3333333333333333,1,1,0.5555555555555555,0.6666666666666666,2
66,6,2.6666666666666665,34.0,False,False,False,True,False,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0,1,0.1111111111111111,0.6666666666666666,1
67,7,23.333333333333332,22.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,0,0.5555555555555555,0.16666666666666666,1
68,8,9.333333333333334,22.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,0,0.5555555555555555,0.16666666666666666,1
69,9,40.0,4.0,True,False,True,False,False,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,2,0,0.7777777777777777,0.3333333333333333,2
70,0,-4.666666666666667,32.0,False,False,True,False,False,0.6666666666666666,0.0,1.0,0.6666666666666666,0.3333333333333333,1,0,0.5555555555555555,0.5,1
71,1,9.333333333333334,50.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1,0,0.5555555555555555,0.16666666666666666,1
72,2,16.666666666666668,72.0,False,True,False,False,False,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,0,0.6666666666666666,0.5,1
73,3,1.3333333333333333,58.0,False,False,True,False,True,0.3333333333333333,0.0,1.0,0.3333333333333333,1.0,1,1,0.4444444444444444,0.6666666666666666,2
74,4,-29.333333333333332,24.0,False,False,False,True,False,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0,1,0.1111111111111111,0.6666666666666666,1
75,5,18.0,36.0,False,False,True,False,False,0.6666666666666666,0.0,1.0,0.3333333333333333,0.3333333333333333,1,0,0.5555555555555555,0.3333333333333333,1
76,6,16.666666666666668,30.0,False,False,False,False,True,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0,1,0.1111111111111111,0.6666666666666666,1
77,7,36.0,14.0,False,True,True,False,True,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,2,1,0.8888888888888888,0.8333333333333333,3
78,8,6.666666666666667,34.0,False,True,True,False,False,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,2,0,0.6666666666666666,0.3333333333333333,2
79,9,10.666666666666666,12.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,0,0.5555555555555555,0.5,1
80,0,39.333333333333336,2.0,False,True,False,True,False,0.6666666666666666,1.0,0.6666666666666666,1.0,0.3333333333333333,1,1,0.7777777777777777,0.6666666666666666,2
81,1,13.333333333333334,48.0,True,False,True,False,False,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,2,0,0.7777777777777777,0.5,2
82,2,33.333333333333336,24.0,False,True,False,False,False,0.6666666666666666,1.0,0.3333333333333333,0.0,0.3333333333333333,1,0,0.6666666666666666,0.16666666666666666,1
83,3,-14.666666666666666,58.0,False,False,False,False,False,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.1111111111111111,0.3333333333333333,0
84,4,22.0,6.0,False,False,True,False,False,0.6666666666666666,0.0,1.0,0.3333333333333333,0.3333333333333333,1,0,0.5555555555555555,0.3333333333333333,1
85,5,-10.0,56.0,False,False,False,False,False,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0,0,0.2222222222222222,0.16666666666666666,0
86,6,0.6666666666666666,78.0,False,True,False,True,False,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,1,1,0.6666666666666666,0.6666666666666666,2
87,7,3.3333333333333335,76.0,True,True,False,True,False,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333,2,1,0.8888888888888888,0.6666666666666666,3
88,8,2.6666666666666665,2.0,False,False,False,True,False,0.6666666666666666,0.0,0.3333333333333333,1.0,0.3333333333333333,0,1,0.3333333333333333,0.6666666666666666,1
89,9,27.333333333333332,38.0,False,True,False,True,False,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1,1,0.4444444444444444,0.6666666666666666,2
90,0,-20.666666666666668,30.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,0.4444444444444444,0.5,0
91,1,20.666666666666668,44.0,False,False,False,False,True,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0,1,0.4444444444444444,0.8333333333333333,1
92,2,-8.666666666666666,68.0,False,False,True,False,False,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1,0,0.5555555555555555,0.5,1
93,3,8.0,10.0,False,False,True,False,False,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1,0,0.3333333333333333,0.3333333333333333,1
94,4,-0.6666666666666666,70.0,False,False,False,True,True,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0,2,0.4444444444444444,1.0,2
95,5,-10.0,76.0,False,True,False,False,True,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1,1,0.4444444444444444,0.6666666666666666,2
96,6,34.666666666666664,22.0,True,False,True,False,True,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,2,1,0.8888888888888888,0.6666666666666666,3
97,7,38.666666666666664,2.0,True,False,True,False,True,1.0,0.0,1.0,0.6666666666666666,1.0,2,1,0.6666666666666666,0.8333333333333333,3
98,8,7.333333333333333,36.0,False,False,False,False,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0
99,9,9.333333333333334,32.0,False,False,True,True,False,0.6666666666666666,0.3333333333333333,1.0,1.0,0.3333333333333333,1,1,0.6666666666666666,0.6666666666666666,2
100,0,22.666666666666668,36.0,False,False,False,False,False,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0
101,1,18.0,36.0,False,False,True,False,False,0.6666666666666666,0.0,1.0,0.3333333333333333,0.3333333333333333,1,0,0.5555555555555555,0.3333333333333333,1
102,2,32.666666666666664,16.0,False,True,True,False,True,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,2,1,0.8888888888888888,0.8333333333333333,3
103,3,34.666666666666664,22.0,False,False,False,True,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,1,0.4444444444444444,0.6666666666666666,1
104,4,22.0,36.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0,0.5555555555555555,0.3333333333333333,1
105,5,18.0,12.0,False,True,True,False,False,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,2,0,0.8888888888888888,0.3333333333333333,2
106,6,4.0,78.0,False,False,True,True,False,0.0,0.0,1.0,1.0,0.3333333333333333,1,1,0.3333333333333333,0.6666666666666666,2
107,7,36.666666666666664,12.0,False,False,True,False,True,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1,1,0.6666666666666666,0.8333333333333333,2
108,8,29.333333333333332,24.0,False,False,False,True,True,0.6666666666666666,0.0,0.3333333333333333,1.0,1.0,0,2,0.3333333333333333,1.0,2
109,9,24.666666666666668,52.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.4444444444444444,0.3333333333333333,0
110,0,20.666666666666668,8.0,True,True,False,False,False,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333,2,0,0.7777777777777778,0.16666666666666666,2
111,1,26.666666666666668,46.0,True,True,False,False,False,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,2,0,0.8888888888888888,0.16666666666666666,2
112,2,36.666666666666664,14.0,False,False,True,False,True,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1,0.6666666666666666,0.6666666666666666,2
113,3,11.333333333333334,34.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,0.4444444444444444,0.5,0
114,4,24.666666666666668,38.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.4444444444444444,0.3333333333333333,0
115,5,34.0,24.0,False,False,True,True,False,0.0,0.0,1.0,1.0,0.3333333333333333,1,1,0.3333333333333333,0.6666666666666666,2
116,6,12.666666666666666,52.0,False,True,False,False,False,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,0,0.6666666666666666,0.5,1
117,7,28.0,4.0,True,False,True,False,True,1.0,0.0,1.0,0.3333333333333333,1.0,2,1,0.6666666666666666,0.6666666666666666,3
118,8,-26.0,42.0,False,False,False,False,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,0.3333333333333333,0.5,0
119,9,12.0,68.0,False,True,False,False,False,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333,1,0,0.5555555555555555,0.16666666666666666,1
120,0,41.333333333333336,2.0,True,False,False,False,True,1.0,0.0,0.3333333333333333,0.6666666666666666,1.0,1,1,0.4444444444444444,0.8333333333333333,2
121,1,-0.6666666666666666,14.0,False,False,False,False,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,0.3333333333333333,0.5,0
122,2,14.666666666666666,58.0,False,False,False,False,True,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0,1,0.4444444444444444,0.8333333333333333,1
123,3,29.333333333333332,36.0,True,True,True,False,False,1.0,1.0,1.0,0.0,0.3333333333333333,3,0,1.0,0.16666666666666666,3
124,4,-29.333333333333332,36.0,False,False,True,True,False,0.6666666666666666,0.0,1.0,1.0,0.3333333333333333,1,1,0.5555555555555555,0.6666666666666666,2
125,5,36.0,10.0,False,True,True,False,False,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,2,0,0.6666666666666666,0.3333333333333333,2
126,6,0.6666666666666666,34.0,True,False,False,False,False,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,1,0,0.5555555555555555,0.16666666666666666,1
127,7,-14.666666666666666,68.0,False,False,False,False,False,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,0.2222222222222222,0.5,0
128,8,-8.0,8.0,False,False,False,True,False,0.6666666666666666,0.0,0.3333333333333333,1.0,0.3333333333333333,0,1,0.3333333333333333,0.6666666666666666,1
129,9,16.0,32.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,0.4444444444444444,0.5,0
130,0,29.333333333333332,36.0,True,False,False,True,False,1.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1,1,0.6666666666666666,0.6666666666666666,2
131,1,2.0,14.0,False,False,True,False,False,0.6666666666666666,0.0,1.0,0.3333333333333333,0.3333333333333333,1,0,0.5555555555555555,0.3333333333333333,1
132,2,-6.666666666666667,82.0,False,False,False,True,False,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0,1,0.4444444444444444,0.6666666666666666,1
133,3,11.333333333333334,70.0,False,True,False,False,False,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0,0.6666666666666666,0.3333333333333333,1
134,4,42.0,0.0,False,True,False,False,False,0.6666666666666666,1.0,0.3333333333333333,0.0,0.3333333333333333,1,0,0.6666666666666666,0.16666666666666666,1
135,5,4.666666666666667,36.0,False,False,False,False,False,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0,0,0.4444444444444444,0.16666666666666666,0
136,6,8.666666666666666,14.0,False,False,True,False,False,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1,0,0.6666666666666666,0.3333333333333333,1
137,7,36.666666666666664,2.0,True,False,True,False,False,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,2,0,0.7777777777777777,0.5,2
138,8,29.333333333333332,22.0,False,False,False,False,False,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0
139,9,15.333333333333334,56.0,False,False,False,True,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,1,0.4444444444444444,0.6666666666666666,1
140,0,26.666666666666668,44.0,False,True,False,False,True,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1,1,0.4444444444444444,0.8333333333333333,2
141,1,16.666666666666668,48.0,False,False,True,False,True,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1,0.4444444444444444,0.6666666666666666,2
142,2,4.666666666666667,40.0,False,True,False,False,False,0.6666666666666666,1.0,0.3333333333333333,0.0,0.3333333333333333,1,0,0.6666666666666666,0.16666666666666666,1
143,3,17.333333333333332,26.0,False,False,False,False,True,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0,1,0.4444444444444444,0.8333333333333333,1
144,4,5.333333333333333,20.0,True,False,True,False,False,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,2,0,0.6666666666666666,0.3333333333333333,2
145,5,1.3333333333333333,70.0,False,False,False,True,False,0.6666666666666666,0.0,0.3333333333333333,1.0,0.3333333333333333,0,1,0.3333333333333333,0.6666666666666666,1
146,6,18.0,36.0,False,False,True,False,False,0.6666666666666666,0.0,1.0,0.6666666666666666,0.3333333333333333,1,0,0.5555555555555555,0.5,1
147,7,11.333333333333334,32.0,False,False,False,True,False,0.6666666666666666,0.0,0.3333333333333333,1.0,0.3333333333333333,0,1,0.3333333333333333,0.6666666666666666,1
148,8,0.0,24.0,False,True,False,False,False,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0,0.6666666666666666,0.3333333333333333,1
149,9,42.0,0.0,True,True,False,False,False,1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,2,0,0.7777777777777778,0.5,2
150,0,29.333333333333332,24.0,False,True,False,True,False,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,1,1,0.6666666666666666,0.6666666666666666,2
151,1,14.666666666666666,36.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0,0,0.5555555555555555,0.16666666666666666,0
152,2,15.333333333333334,80.0,False,False,False,False,True,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,1.0,0,1,0.3333333333333333,0.8333333333333333,1
153,3,14.0,76.0,False,False,False,False,True,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0,1,0.4444444444444444,0.6666666666666666,1
154,4,8.666666666666666,10.0,False,False,True,False,False,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1,0,0.5555555555555555,0.5,1
155,5,13.333333333333334,48.0,False,True,False,False,False,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,0,0.6666666666666666,0.5,1
156,6,1.3333333333333333,80.0,False,False,True,False,True,0.6666666666666666,0.0,1.0,0.3333333333333333,1.0,1,1,0.5555555555555555,0.6666666666666666,2
157,7,19.333333333333332,46.0,False,True,False,True,True,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1,2,0.5555555555555555,1.0,3
158,8,28.0,26.0,False,False,False,False,True,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,1.0,0,1,0.3333333333333333,0.8333333333333333,1
159,9,28.666666666666668,38.0,True,False,False,True,False,1.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1,1,0.6666666666666666,0.6666666666666666,2
160,0,4.666666666666667,24.0,True,False,True,False,False,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,2,0,0.7777777777777777,0.3333333333333333,2
161,1,4.666666666666667,26.0,False,False,False,False,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,0.3333333333333333,0.5,0
162,2,37.333333333333336,12.0,False,False,False,True,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,1,0.4444444444444444,0.6666666666666666,1
