depth,mean_std,median_std,pct_high_var,n_observations
1,4.702191932508536,4.796848395623016,0.35571581634528127,707458
2,4.706790574091715,4.815672684008275,0.36788423165007594,705616
3,4.711631467456389,4.794180350371433,0.3525884325111933,706895
4,4.699980570587783,4.784564798607903,0.35514758809113367,707137
5,7.040570481998602,7.081919821901523,0.9500414963604409,26137232
6,7.170509783228962,7.2461482100786965,0.9510669035173784,20366134
7,7.18657188271277,7.239558465154969,0.9569419637604886,15937025
8,7.318080259108323,7.402301581865912,0.961774924913866,7969847
9,8.620316502245558,8.685974240744041,0.9515612960937959,8755354
10,8.760791889756762,8.823488498805833,0.9740893342586979,6561738
11,8.964956759245705,8.988681640684073,0.9779486941571484,5151577
12,9.161146963784452,9.193810636376385,0.986867919346881,1718768
13,9.779178640703188,10.017651844424597,0.8335779897156419,227530
14,10.25765187883908,10.328368040612856,0.9105672370995915,152282
15,10.742338619163931,10.586115731553246,0.9768613645978123,132376
16,11.144260433930203,10.814260688623381,0.977001446829033,33176
17,11.674879745069457,12.883226275744223,0.7698553666582085,3941
18,12.322172229788006,12.20589727913478,0.9802890932982917,2283
19,13.510525817266208,12.196932160890125,0.9924098671726755,2108
20,13.614842517019923,12.959937082212951,0.9884526558891455,433
21,16.421150261076146,14.19880127415571,1.0,262
22,17.11499647789993,14.18983763597065,1.0,243
23,16.52870361064637,16.719547939855946,0.9716088328075709,317
24,17.093897307509817,16.96640236031638,1.0,52
25,18.39480434678544,17.983171597320048,0.9473684210526315,266
26,17.351832792654893,15.93886058213874,0.9694117647058823,425
27,18.779964714234843,18.44477351797973,0.9822485207100592,676
28,18.509410270853074,17.73763436650721,1.0,113
