base_seed,mean_dtw,mean_corr,min_corr,mean_abs_diff,root_v_spread,terminal_v_spread,root_v_mean,terminal_v_mean
2,8.921700979861432,-0.049950766984433424,-0.6475116603909816,18.441556994204547,48.0,5.454766155784222,14.0,-0.15521150906024803
3,7.721624847748483,-0.2486886089265178,-0.8004373623132731,15.491622944441682,50.0,2.908754813457894,17.333333333333332,0.6971228178972669
4,3.178973027722994,0.17974350681736284,-0.46884022064029096,7.399133613784142,44.0,0.893719121542749,-4.0,-1.214412270681605
5,5.263083274437722,0.15346302380876875,-0.5010191740817492,12.108574361911414,44.0,4.133663381192684,5.333333333333333,-2.10224982552517
6,7.938806744542334,-0.2358948999579773,-0.96123426177893,16.43850713830068,68.0,3.353200864105353,5.333333333333333,-0.9711996285715223
7,7.108132614368042,-0.3219949072037793,-0.9761092763108854,15.582277077054536,56.0,4.565623687396707,21.333333333333332,0.8942870817900707
8,4.697708541652525,-0.12042925085747454,-0.6863100686007393,9.425659786734384,32.0,1.3892086413090765,5.333333333333333,0.1442353184417595
9,3.813066643405879,0.49157651060449875,0.17105442907809768,9.595241286264235,56.0,2.0669792103907807,11.333333333333334,-0.3953592777339785
10,4.675715534980088,-0.3655916801556331,-0.9796522988011548,10.198886094315313,30.0,1.8336942360757087,-2.6666666666666665,-1.0328694231529216
11,9.3604025397798,-0.26047952851982253,-0.9241447026463437,20.06577780563697,62.0,5.130803060534186,-15.333333333333334,-0.14053219692552835
12,1.213904812365991,0.9912301713216837,0.9871014200564867,2.951686676803201,6.0,2.7723239170339,40.0,1.9852654126285643
13,2.586748944643795,0.8890456812894679,0.8224568025450235,7.191004170341867,10.0,1.0668787110164417,36.666666666666664,1.2274752681908043
14,2.049684276118951,0.2681901159293708,-0.2391041086057887,5.525639481138232,6.0,1.8815685576525527,6.666666666666667,1.2379748233787335
15,2.1190397348225463,0.9260198624102524,0.8772288891788522,5.286012632358893,22.0,0.9187360669609219,28.666666666666668,2.2761783191141203
16,7.54954564198006,0.08531007325630606,-0.5700965512916182,15.597096596956861,46.0,2.632086239102771,8.666666666666666,-1.2720895781939783
17,0.6981518647523969,0.8659405294232468,0.7928975435855968,1.9961117312812906,2.0,0.11783364336105073,18.666666666666668,3.402476226284714
18,4.192860342689102,0.20842894866339798,-0.01443327833055394,9.625180377479262,20.0,1.6122537663422731,11.333333333333334,0.25315645013495175
19,3.4473704132110385,0.6246457706420921,0.38715601179366677,8.51582635822609,32.0,1.5830709743636393,22.0,0.016853626360536073
20,9.906493996535655,0.003659455839562139,-0.4724010897700377,19.937780744731977,58.0,8.75058068877372,16.0,0.9601097477914721
21,2.440381523333656,0.8187391181893858,0.6497222421956419,6.237799246875441,14.0,1.006170093226548,34.666666666666664,0.24443215735580828
22,7.064663616869626,-0.25719527006386045,-0.7613154439404289,14.768386852121202,56.0,3.368046507927558,11.333333333333334,1.5583067481786061
23,9.232229585216706,-0.1494219048950596,-0.8434833899217541,18.604816525243837,80.0,2.039721398737037,10.666666666666666,-1.8358386297617113
24,7.78845591638608,-0.3961113721087375,-0.9430028756448887,18.31732314254486,62.0,3.721735529197767,15.333333333333334,-0.2919738199339645
25,12.040623231658609,-0.1766365460441753,-0.9079639757578413,24.25174971769621,68.0,7.374883337346686,4.666666666666667,-1.4144076436066502
26,8.310191128848926,-0.2594978031727653,-0.892160375727715,16.770773025335114,66.0,1.6374150584892546,1.3333333333333333,0.5419511964267872
27,7.33933153942077,-0.13342538623035938,-0.6986860465895806,14.738816796625349,46.0,3.6666640678307085,4.0,0.12048592090175592
28,4.0517695779406555,0.14279419157301532,-0.2703200489691465,8.191080460281222,46.0,0.8341488971996811,21.333333333333332,-0.0007144572982512309
29,1.6554429664160581,0.6208927394867355,0.42263332622663285,4.7251466117483245,14.0,1.0830118352447269,11.333333333333334,-0.2622817199549192
30,5.225179630195541,0.24677752010995482,-0.20535965923123728,10.450359260391082,38.0,1.4844320998878684,28.666666666666668,2.6068002903138825
31,12.111041605032808,-0.2700271734485759,-0.964831357339051,25.161055167706767,82.0,7.865756648991908,-3.3333333333333335,-0.3413956008884189
32,10.293361318629207,-0.34016114771893174,-0.9800715273103106,21.337635854929115,70.0,4.353099286373308,-7.333333333333333,-1.8204278269374943
33,5.048421745208949,0.43668850677948784,0.2218223113183882,13.434320966596445,30.0,3.537355750690893,24.0,0.41197680091266803
34,3.1630892152548413,0.796753379829604,0.6020286832019746,10.818368152661924,24.0,2.1044674218632027,33.333333333333336,0.7276309931576389
35,8.564130915670093,0.19831843569200358,-0.18733034000256263,17.128261831340186,46.0,5.670257226521002,8.0,-1.8538733736020865
36,7.921031312868707,-0.23359097808309656,-0.7774357670286011,15.842062625737414,58.0,4.421594589978593,-8.666666666666666,-0.8493392670162886
37,4.954962763354629,-0.03145716414799506,-0.4503703988210705,10.066589289485448,10.0,5.966474781317542,-1.3333333333333333,-0.9625089230578272
38,6.008159055842586,0.10686644512590125,-0.372713164966157,13.039331493627571,46.0,1.9529331199297135,-20.666666666666668,-0.5206482568530243
39,2.9050920205121056,0.9541637302037967,0.9317492676192298,8.46088015335544,26.0,1.875032201578254,33.333333333333336,0.5977060534796437
40,5.340863010360415,0.46907653386538745,0.190613031555452,12.696861423074223,48.0,3.8669895410118933,-23.333333333333332,-0.9593820776839813
41,4.731995774360109,0.17814070110041877,-0.31279740398835487,9.587549432936033,44.0,2.227516514121023,-20.666666666666668,-3.1629161640105248
42,6.542058854802536,-0.0045178406574398755,-0.6598279247890739,14.58032290020085,46.0,2.4049368678803362,19.333333333333332,1.2496261188484918
43,4.638873127540615,-0.18031062186023852,-0.9179649687698355,9.879154354876231,58.0,0.4311368319607759,7.333333333333333,-0.326576334108785
44,3.9260967007777907,0.6743618897754938,0.41444337025652994,8.633350773267319,32.0,1.453577443072808,31.333333333333332,4.66315418481298
45,8.609866938892937,-0.09773834652514639,-0.8196406338171454,18.138620655752362,62.0,5.378645557904195,8.666666666666666,-0.8417206262337823
46,6.172164929047045,0.24902582668071524,-0.19894350700063101,13.59628945065188,12.0,4.837501132633756,8.666666666666666,-1.6636757071378716
47,7.800085063859548,0.2296755429034526,-0.2117917100345306,15.972802764824948,44.0,5.216506932602009,25.333333333333332,-0.43833658963398897
48,5.2230251221908945,-0.26090415732666017,-0.608600832566288,10.607227032742536,30.0,1.4083932510132413,8.0,0.052720975437293593
