base_seed,V_mean,V_std,n_doubles,trump_count,is_pareto
0,41.333333333333336,0.9428090415820634,3,3,False
1,14.0,20.396078054371134,1,3,False
2,14.0,20.396078054371134,2,3,False
3,17.333333333333332,20.41785710815141,1,2,False
4,-4.0,17.962924780409974,2,2,False
5,5.333333333333333,17.98765008430939,3,0,False
6,5.333333333333333,27.776888874666213,3,1,False
7,21.33333333333333,26.398653164297773,3,0,False
8,5.333333333333333,14.636332266733431,3,0,False
9,11.333333333333334,23.170862929310356,0,0,False
10,-2.6666666666666665,12.472191289246473,1,1,False
11,-15.333333333333334,26.04269997949948,1,1,False
12,40.0,2.8284271247461903,2,3,False
13,36.66666666666666,4.714045207910317,2,1,False
14,6.666666666666667,2.494438257849294,1,3,False
15,28.666666666666668,8.993825042154695,3,3,False
16,8.666666666666666,19.48218559493661,1,1,False
17,18.666666666666668,0.9428090415820634,3,0,False
18,11.333333333333334,8.993825042154695,1,0,False
19,22.0,13.36662510384228,3,0,False
20,16.0,24.711670657134185,1,0,False
21,34.666666666666664,6.182412330330469,1,2,False
22,11.333333333333334,23.17086292931036,1,3,False
23,10.666666666666666,37.24990678586398,2,0,False
24,15.333333333333334,26.04269997949948,1,1,False
25,4.666666666666667,28.15828277592384,2,1,False
26,1.3333333333333333,27.438820836342234,2,2,False
27,4.0,21.22891110412088,2,0,False
28,21.33333333333333,19.75404318670541,1,0,False
29,11.333333333333334,6.182412330330469,1,0,False
30,28.666666666666668,17.46106780494506,1,3,False
31,-3.333333333333333,33.6386021641143,3,0,False
32,-7.333333333333333,28.58126814696802,0,1,False
33,24.0,12.96148139681572,4,0,False
34,33.333333333333336,10.873004286866726,3,2,False
35,8.0,21.22891110412088,2,1,False
36,-8.666666666666666,23.90722810272148,0,3,False
37,-1.3333333333333333,4.714045207910317,1,0,False
38,-20.666666666666668,19.48218559493661,1,0,False
39,33.333333333333336,12.256517540566824,4,0,False
40,-23.33333333333333,22.17105219775452,1,1,False
41,-20.666666666666668,18.354533197248276,1,1,False
42,19.33333333333333,18.785337071473823,2,1,False
43,7.333333333333333,23.79542439676633,2,2,False
44,31.33333333333333,15.084944665313014,2,4,False
45,8.666666666666666,25.5255862921022,2,2,False
46,8.666666666666666,5.2493385826745405,2,1,False
47,25.33333333333333,20.741798914805397,2,0,False
48,8.0,12.96148139681572,3,0,False
49,26.666666666666668,21.684607956387456,2,0,False
50,30.0,15.57776192739723,2,2,False
51,17.333333333333332,17.15290710702481,1,1,False
52,32.666666666666664,13.199326582148888,3,2,False
53,6.666666666666667,23.79542439676633,1,3,False
54,-20.0,5.656854249492381,2,2,False
55,32.666666666666664,10.49867716534908,1,3,False
56,-7.333333333333333,26.14489540150344,1,1,False
57,29.33333333333333,16.519348924485154,2,0,False
58,-10.0,18.83259585576738,2,0,False
59,32.666666666666664,6.79869268479038,1,0,False
60,18.0,15.57776192739723,0,1,False
61,14.666666666666666,28.110891523077356,1,2,False
62,34.0,5.656854249492381,2,4,False
63,11.333333333333334,23.79542439676633,2,2,False
64,-28.0,1.632993161855452,3,1,False
65,37.333333333333336,6.599663291074444,3,3,False
66,2.6666666666666665,14.079141387961918,1,3,False
67,23.33333333333333,10.370899457402697,2,0,False
68,9.333333333333334,9.568466729604882,1,0,False
69,40.0,1.632993161855452,3,0,False
70,-4.666666666666667,15.084944665313014,3,1,False
71,9.333333333333334,23.11324776447962,1,1,False
72,16.666666666666668,33.038697848970315,1,2,False
73,1.3333333333333333,23.90722810272148,2,1,False
74,-29.33333333333333,9.843215373488936,0,1,False
75,18.0,16.97056274847714,2,2,False
76,16.666666666666668,13.299958228840003,2,3,False
77,36.0,5.887840577551898,4,0,False
78,6.666666666666667,14.267289706021796,2,0,False
79,10.666666666666666,5.2493385826745405,1,0,False
80,39.333333333333336,0.9428090415820634,2,2,False
81,13.333333333333334,20.67741655902776,2,2,False
82,33.333333333333336,10.873004286866726,2,3,False
83,-14.666666666666666,23.79542439676633,0,1,False
84,22.0,2.8284271247461903,2,2,False
85,-10.0,23.03620339089466,3,0,False
86,0.6666666666666666,31.93048003954146,1,1,False
87,3.333333333333333,31.084115271666047,4,0,False
88,2.6666666666666665,0.9428090415820634,0,0,False
89,27.33333333333333,16.67999467092907,1,0,False
90,-20.666666666666668,12.684198393626966,0,2,False
91,20.666666666666668,18.354533197248276,2,3,False
92,-8.666666666666666,28.5345794120436,1,1,False
93,8.0,4.320493798938574,1,2,False
94,-0.6666666666666666,30.5650490302604,2,1,False
95,-10.0,33.0252428706689,2,1,False
96,34.666666666666664,10.370899457402697,3,4,False
97,38.66666666666666,0.9428090415820634,4,0,False
98,7.333333333333333,16.519348924485154,0,0,False
99,9.333333333333334,13.59738536958076,2,0,False
100,22.666666666666668,14.817407180595248,0,4,False
101,18.0,16.97056274847714,2,0,False
102,32.666666666666664,6.79869268479038,4,1,False
103,34.666666666666664,10.370899457402697,1,4,False
104,22.0,14.966629547095764,2,2,False
105,18.0,5.656854249492381,2,1,False
106,4.0,33.34666400106613,2,2,False
107,36.66666666666666,4.988876515698588,3,0,False
108,29.33333333333333,9.843215373488936,2,0,False
109,24.666666666666668,24.51303508113365,2,0,False
110,20.666666666666668,3.771236166328253,3,2,False
111,26.666666666666668,21.684607956387456,4,2,False
112,36.66666666666666,6.182412330330469,3,2,False
113,11.333333333333334,14.079141387961917,1,1,False
114,24.666666666666668,15.69146972791976,2,2,False
115,34.0,11.31370849898476,2,4,False
116,12.666666666666666,21.24983660067897,3,2,False
117,28.0,1.632993161855452,3,0,False
118,-26.0,19.79898987322333,0,0,False
119,12.0,29.97776954122282,1,0,False
120,41.333333333333336,0.9428090415820634,3,3,False
121,-0.6666666666666666,6.182412330330469,0,2,False
122,14.666666666666666,23.79542439676633,2,1,False
123,29.33333333333333,16.519348924485154,3,3,False
124,-29.33333333333333,16.519348924485154,2,1,False
125,36.0,4.320493798938574,2,3,False
126,0.6666666666666666,14.079141387961918,2,0,False
127,-14.666666666666666,29.31817790306136,1,0,False
128,-8.0,3.265986323710904,1,0,False
129,16.0,13.36662510384228,2,0,False
130,29.33333333333333,16.519348924485154,2,2,False
131,2.0,5.887840577551898,1,2,False
132,-6.666666666666667,34.42221504913489,0,1,False
133,11.333333333333334,29.227080289043965,2,2,False
134,42.0,0.0,3,5,True
135,4.666666666666667,16.110727964792762,1,2,False
136,8.666666666666666,6.599663291074444,2,2,False
137,36.66666666666666,0.9428090415820634,2,0,False
138,29.33333333333333,9.285592184789412,2,0,False
139,15.333333333333334,22.939534045447004,1,0,False
140,26.666666666666668,20.28683207293725,3,3,False
141,16.666666666666668,19.618585292749547,2,2,False
142,4.666666666666667,17.98765008430939,1,0,False
143,17.333333333333332,10.624918300339486,1,1,False
144,5.333333333333333,8.219218670625303,2,3,False
145,1.3333333333333333,29.044027881055957,0,3,False
146,18.0,14.966629547095764,2,1,False
147,11.333333333333334,13.097921802925669,2,0,False
148,0.0,10.198039027185567,2,0,False
149,42.0,0.0,2,0,True
150,29.33333333333333,9.843215373488936,1,3,False
151,14.666666666666666,15.173075568988056,1,1,False
152,15.333333333333334,37.712361663282536,2,2,False
153,14.0,35.364765892999586,2,1,False
154,8.666666666666666,4.109609335312651,3,0,False
155,13.333333333333334,20.67741655902776,2,2,False
156,1.3333333333333333,32.71425105702746,2,1,False
157,19.33333333333333,18.785337071473823,2,0,False
158,28.0,10.708252269472672,2,0,False
159,28.666666666666668,17.46106780494506,2,0,False
160,4.666666666666667,9.843215373488936,3,1,False
161,4.666666666666667,10.624918300339486,1,2,False
162,37.333333333333336,5.2493385826745405,0,4,False
163,27.33333333333333,10.370899457402697,0,4,False
164,-20.666666666666668,5.2493385826745405,0,2,False
165,10.666666666666666,4.988876515698588,2,1,False
166,3.333333333333333,4.109609335312651,1,3,False
167,26.666666666666668,9.568466729604882,3,0,False
168,-5.333333333333333,9.843215373488936,2,0,False
169,35.333333333333336,5.734883511361751,2,0,False
170,28.0,8.640987597877148,2,1,False
171,36.66666666666666,6.182412330330469,1,4,False
172,32.666666666666664,11.8133634311129,1,3,False
173,6.0,25.66450207322688,2,3,False
174,-24.0,9.93310961716756,0,1,False
175,26.666666666666668,0.9428090415820634,3,1,False
176,-12.0,21.22891110412088,1,2,False
177,10.0,27.27636339397171,2,0,False
178,16.666666666666668,17.98765008430939,1,0,False
179,-2.0,20.06655592438988,1,0,False
180,24.0,13.063945294843617,2,2,False
181,32.0,11.430952132988164,2,3,False
182,24.0,15.57776192739723,0,3,False
183,35.333333333333336,5.2493385826745405,2,0,False
184,23.33333333333333,2.494438257849294,2,3,False
185,6.0,23.15167380558045,1,2,False
186,11.333333333333334,19.48218559493661,1,2,False
187,-2.6666666666666665,13.59738536958076,1,0,False
188,-6.666666666666667,0.9428090415820634,0,0,False
189,34.0,11.31370849898476,2,0,False
190,24.0,8.640987597877148,1,2,False
191,26.666666666666668,21.684607956387456,3,2,False
192,31.33333333333333,4.988876515698588,2,1,False
193,12.0,12.328828005937952,1,2,False
194,9.333333333333334,14.727148022916348,3,0,False
195,18.666666666666668,10.49867716534908,2,2,False
196,2.0,12.328828005937952,0,3,False
197,1.3333333333333333,30.12566274052001,1,0,False
198,10.0,14.966629547095764,1,0,False
