base_seed,decl_id,trump_suit,V_mean,V_std,V_spread,V_min,V_max,max_suit_length,n_doubles,trump_count,n_6_high,n_5_high,n_4_high,count_points,n_count_dominoes,total_pips,has_trump_double,n_voids,n_singletons
44,4,4,31.333333333333332,15.084944665313014,32.0,10.0,42.0,4,2,4,3,1,3,20,3,55,1,2,1
45,5,5,8.666666666666666,25.525586292102197,62.0,-20.0,42.0,4,2,2,1,2,1,0,0,42,0,0,4
46,6,6,8.666666666666666,5.2493385826745405,12.0,4.0,16.0,4,2,1,1,0,2,5,1,38,0,1,2
47,7,7,25.333333333333332,20.741798914805393,44.0,-4.0,40.0,3,2,0,3,0,0,0,0,43,0,2,1
48,8,8,8.0,12.96148139681572,30.0,-4.0,26.0,3,3,0,1,2,2,15,2,41,0,1,2
49,9,9,26.666666666666668,21.684607956387456,46.0,-4.0,42.0,3,2,0,3,1,1,5,1,44,0,0,4
50,0,0,30.0,15.57776192739723,34.0,8.0,42.0,3,2,2,1,1,1,10,1,35,1,0,3
51,1,1,17.333333333333332,17.15290710702481,42.0,-4.0,38.0,3,1,1,2,2,1,10,1,44,1,0,2
52,2,2,32.666666666666664,13.199326582148887,28.0,14.0,42.0,3,3,2,1,3,0,10,1,45,0,0,4
53,3,3,6.666666666666667,23.79542439676633,54.0,-14.0,40.0,4,1,3,1,1,1,5,1,41,1,0,4
54,4,4,-20.0,5.656854249492381,12.0,-28.0,-16.0,3,2,2,2,2,1,5,1,45,0,0,3
55,5,5,32.666666666666664,10.498677165349081,24.0,18.0,42.0,3,1,3,0,3,1,10,1,37,1,1,1
56,6,6,-7.333333333333333,26.144895401503437,64.0,-40.0,24.0,4,1,1,1,1,2,5,1,40,0,0,3
57,7,7,29.333333333333332,16.519348924485154,36.0,6.0,42.0,4,2,0,4,1,0,10,1,49,0,1,2
58,8,8,-10.0,18.83259585576738,44.0,-28.0,16.0,3,2,0,0,3,1,5,1,33,0,2,1
59,9,9,32.666666666666664,6.79869268479038,16.0,26.0,42.0,4,1,0,2,1,2,0,0,45,0,1,2
60,0,0,18.0,15.57776192739723,34.0,6.0,40.0,4,0,1,4,1,2,15,2,51,0,1,2
61,1,1,14.666666666666666,28.110891523077353,66.0,-24.0,42.0,3,1,2,3,1,1,10,1,48,0,0,3
62,2,2,34.0,5.656854249492381,12.0,30.0,42.0,4,2,4,2,1,1,15,2,46,0,1,2
63,3,3,11.333333333333334,23.79542439676633,58.0,-16.0,42.0,3,2,2,2,2,0,10,1,46,0,1,1
64,4,4,-28.0,1.632993161855452,4.0,-30.0,-26.0,2,3,1,2,2,1,5,1,49,0,1,1
65,5,5,37.333333333333336,6.599663291074444,14.0,28.0,42.0,3,3,3,1,3,0,20,2,46,1,0,4
66,6,6,2.6666666666666665,14.079141387961918,34.0,-16.0,18.0,3,1,3,3,2,1,10,1,44,0,1,2
67,7,7,23.333333333333332,10.370899457402697,22.0,16.0,38.0,3,2,0,1,2,2,5,1,45,0,1,2
68,8,8,9.333333333333334,9.568466729604882,22.0,-4.0,18.0,3,1,0,1,1,2,15,2,40,0,0,3
69,9,9,40.0,1.632993161855452,4.0,38.0,42.0,2,3,0,2,1,1,20,2,46,0,0,3
70,0,0,-4.666666666666667,15.084944665313014,32.0,-26.0,6.0,4,3,1,1,3,1,15,2,41,1,1,4
71,1,1,9.333333333333334,23.11324776447962,50.0,-8.0,42.0,3,1,1,1,2,2,5,1,40,0,0,2
72,2,2,16.666666666666668,33.038697848970315,72.0,-30.0,42.0,3,1,2,2,0,3,5,1,42,0,1,1
73,3,3,1.3333333333333333,23.907228102721476,58.0,-30.0,28.0,3,2,1,3,2,2,15,2,60,0,1,3
74,4,4,-29.333333333333332,9.843215373488935,24.0,-42.0,-18.0,3,0,1,3,2,1,0,0,47,0,0,3
75,5,5,18.0,16.97056274847714,36.0,6.0,42.0,3,2,2,3,1,1,10,1,45,1,0,3
76,6,6,16.666666666666668,13.299958228840003,30.0,-2.0,28.0,3,2,3,3,2,1,10,1,50,1,0,3
77,7,7,36.0,5.887840577551898,14.0,28.0,42.0,3,4,0,1,1,3,15,2,46,0,1,3
78,8,8,6.666666666666667,14.267289706021797,34.0,-8.0,26.0,3,2,0,1,3,2,10,1,49,0,0,4
79,9,9,10.666666666666666,5.2493385826745405,12.0,6.0,18.0,3,1,0,2,1,1,5,1,42,0,0,2
80,0,0,39.333333333333336,0.9428090415820634,2.0,38.0,40.0,3,2,2,0,3,1,5,1,35,0,1,2
81,1,1,13.333333333333334,20.677416559027762,48.0,-6.0,42.0,5,2,2,1,1,0,15,2,38,0,1,3
82,2,2,33.333333333333336,10.873004286866726,24.0,18.0,42.0,3,2,3,1,1,3,5,1,37,0,0,4
83,3,3,-14.666666666666666,23.79542439676633,58.0,-42.0,16.0,3,0,1,3,1,2,5,1,44,0,0,2
84,4,4,22.0,2.8284271247461903,6.0,18.0,24.0,3,2,2,3,1,1,20,2,49,0,0,3
85,5,5,-10.0,23.03620339089466,56.0,-40.0,16.0,3,3,0,1,0,1,5,1,30,0,1,3
86,6,6,0.6666666666666666,31.93048003954146,78.0,-40.0,38.0,3,1,1,1,1,2,10,2,36,0,0,2
87,7,7,3.3333333333333335,31.084115271666047,76.0,-36.0,40.0,3,4,0,0,2,2,5,1,40,0,1,3
88,8,8,2.6666666666666665,0.9428090415820634,2.0,2.0,4.0,4,0,0,1,4,0,10,2,43,0,0,3
89,9,9,27.333333333333332,16.67999467092907,38.0,4.0,42.0,3,1,0,2,2,2,10,1,48,0,0,3
90,0,0,-20.666666666666668,12.684198393626966,30.0,-38.0,-8.0,4,0,2,1,2,2,0,0,40,0,0,3
91,1,1,20.666666666666668,18.354533197248273,44.0,-4.0,40.0,3,2,3,2,1,2,5,1,41,0,0,3
92,2,2,-8.666666666666666,28.5345794120436,68.0,-38.0,30.0,4,1,1,1,1,1,15,2,32,0,0,4
93,3,3,8.0,4.320493798938574,10.0,4.0,14.0,3,1,2,1,3,2,10,1,46,0,1,1
94,4,4,-0.6666666666666666,30.5650490302604,70.0,-28.0,42.0,4,2,1,1,2,1,0,0,38,0,0,4
95,5,5,-10.0,33.0252428706689,76.0,-40.0,36.0,4,2,1,2,1,3,0,0,49,0,0,4
96,6,6,34.666666666666664,10.370899457402697,22.0,20.0,42.0,4,3,4,4,2,0,10,1,58,1,2,1
97,7,7,38.666666666666664,0.9428090415820634,2.0,38.0,40.0,3,4,0,1,3,0,15,2,44,0,1,4
98,8,8,7.333333333333333,16.519348924485154,36.0,-16.0,20.0,4,0,0,3,0,0,5,1,40,0,1,2
99,9,9,9.333333333333334,13.59738536958076,32.0,-4.0,28.0,3,2,0,0,3,2,20,3,36,0,2,0
100,0,0,22.666666666666668,14.817407180595247,36.0,6.0,42.0,4,0,4,2,2,0,20,3,39,0,0,2
101,1,1,18.0,16.97056274847714,36.0,-6.0,30.0,3,2,0,3,1,1,25,3,46,0,1,1
102,2,2,32.666666666666664,6.79869268479038,16.0,26.0,42.0,4,4,1,1,2,2,15,2,41,0,2,2
103,3,3,34.666666666666664,10.370899457402697,22.0,20.0,42.0,4,1,4,1,2,1,5,1,43,0,1,3
104,4,4,22.0,14.966629547095765,36.0,6.0,42.0,3,2,2,3,0,1,15,2,48,0,1,2
105,5,5,18.0,5.656854249492381,12.0,14.0,26.0,3,2,1,2,1,1,15,2,47,1,1,2
106,6,6,4.0,33.34666400106613,78.0,-42.0,36.0,3,2,2,2,3,1,20,2,53,0,1,2
107,7,7,36.666666666666664,4.988876515698588,12.0,30.0,42.0,2,3,0,1,2,1,10,1,41,0,0,3
108,8,8,29.333333333333332,9.843215373488935,24.0,18.0,42.0,3,2,0,3,2,0,0,0,53,0,1,3
109,9,9,24.666666666666668,24.51303508113365,52.0,-10.0,42.0,3,2,0,3,0,2,5,1,40,0,1,1
110,0,0,20.666666666666668,3.7712361663282534,8.0,18.0,26.0,3,3,2,1,0,1,0,0,33,0,1,2
111,1,1,26.666666666666668,21.684607956387456,46.0,-4.0,42.0,2,4,2,0,1,1,5,1,29,1,1,2
112,2,2,36.666666666666664,6.182412330330469,14.0,28.0,42.0,2,3,2,2,1,1,15,2,45,0,0,3
113,3,3,11.333333333333334,14.079141387961917,34.0,-4.0,30.0,3,1,1,2,1,1,0,0,37,0,0,2
114,4,4,24.666666666666668,15.69146972791976,38.0,4.0,42.0,3,2,2,3,0,1,10,1,41,0,0,3
115,5,5,34.0,11.313708498984761,24.0,18.0,42.0,4,2,4,2,3,1,10,1,53,1,1,2
116,6,6,12.666666666666666,21.24983660067897,52.0,-14.0,38.0,3,3,2,2,0,2,20,3,40,0,1,2
117,7,7,28.0,1.632993161855452,4.0,26.0,30.0,3,3,0,1,3,0,20,3,50,0,0,4
118,8,8,-26.0,19.79898987322333,42.0,-40.0,2.0,3,0,0,2,0,1,0,0,31,0,1,1
119,9,9,12.0,29.97776954122282,68.0,-30.0,38.0,4,1,0,0,3,3,10,2,38,0,3,0
120,0,0,41.333333333333336,0.9428090415820634,2.0,40.0,42.0,3,3,3,2,2,0,5,1,39,1,1,2
121,1,1,-0.6666666666666666,6.182412330330469,14.0,-6.0,8.0,4,0,2,2,1,0,10,2,33,0,1,1
122,2,2,14.666666666666666,23.79542439676633,58.0,-16.0,42.0,4,2,1,2,0,3,0,0,36,0,1,3
123,3,3,29.333333333333332,16.519348924485154,36.0,6.0,42.0,3,3,3,0,1,2,15,2,39,1,1,3
124,4,4,-29.333333333333332,16.519348924485154,36.0,-42.0,-6.0,4,2,1,1,3,0,10,1,45,0,0,4
125,5,5,36.0,4.320493798938574,10.0,30.0,40.0,3,2,3,2,3,1,10,1,46,1,1,1
126,6,6,0.6666666666666666,14.079141387961918,34.0,-18.0,16.0,3,2,0,0,1,2,5,1,28,0,1,1
127,7,7,-14.666666666666666,29.31817790306136,68.0,-42.0,26.0,3,1,0,2,1,3,5,1,41,0,0,3
128,8,8,-8.0,3.265986323710904,8.0,-12.0,-4.0,3,1,0,3,1,0,0,0,38,0,1,2
129,9,9,16.0,13.366625103842281,32.0,-2.0,30.0,3,2,0,2,0,2,5,1,36,0,1,1
130,0,0,29.333333333333332,16.519348924485154,36.0,6.0,42.0,3,2,2,0,3,0,5,1,36,0,1,2
131,1,1,2.0,5.887840577551898,14.0,-6.0,8.0,3,1,2,1,3,0,15,2,39,0,0,3
132,2,2,-6.666666666666667,34.42221504913489,82.0,-42.0,40.0,4,0,1,4,2,1,20,3,54,0,0,3
133,3,3,11.333333333333334,29.227080289043965,70.0,-28.0,42.0,3,2,2,3,0,2,10,1,51,0,1,2
134,4,4,42.0,0.0,0.0,42.0,42.0,5,3,5,1,0,4,15,2,40,1,1,4
135,5,5,4.666666666666667,16.110727964792762,36.0,-18.0,18.0,4,1,2,0,2,1,0,0,32,0,2,0
136,6,6,8.666666666666666,6.599663291074444,14.0,4.0,18.0,2,2,2,2,1,1,25,3,43,0,0,2
137,7,7,36.666666666666664,0.9428090415820634,2.0,36.0,38.0,3,2,0,0,3,0,10,1,38,0,1,2
138,8,8,29.333333333333332,9.285592184789413,22.0,20.0,42.0,4,2,0,4,1,0,0,0,43,0,1,2
139,9,9,15.333333333333334,22.939534045447004,56.0,-14.0,42.0,3,1,0,1,2,1,5,1,36,0,0,3
140,0,0,26.666666666666668,20.28683207293725,44.0,-2.0,42.0,3,3,3,2,1,3,5,1,46,0,1,3
141,1,1,16.666666666666668,19.618585292749547,48.0,-8.0,40.0,3,2,2,2,1,3,15,2,49,0,0,3
142,2,2,4.666666666666667,17.98765008430939,40.0,-10.0,30.0,3,1,0,1,1,3,0,0,43,0,1,1
143,3,3,17.333333333333332,10.624918300339486,26.0,4.0,30.0,3,1,1,2,1,2,20,3,44,0,0,2
144,4,4,5.333333333333333,8.219218670625303,20.0,-4.0,16.0,3,2,3,2,2,2,15,2,47,0,1,1
145,5,5,1.3333333333333333,29.044027881055953,70.0,-30.0,40.0,3,0,3,1,3,1,0,0,40,0,0,2
146,6,6,18.0,14.966629547095765,36.0,2.0,38.0,3,2,1,1,3,0,15,2,37,0,1,2
147,7,7,11.333333333333334,13.097921802925667,32.0,-4.0,28.0,3,2,0,3,1,0,10,1,40,0,1,3
148,8,8,0.0,10.198039027185569,24.0,-14.0,10.0,3,2,0,3,1,1,0,0,46,0,0,3
149,9,9,42.0,0.0,0.0,42.0,42.0,5,2,0,1,1,3,10,1,47,0,2,2
150,0,0,29.333333333333332,9.843215373488935,24.0,18.0,42.0,3,1,3,1,2,1,5,1,39,0,0,2
151,1,1,14.666666666666666,15.173075568988056,36.0,-6.0,30.0,3,1,1,0,3,2,5,1,37,0,1,2
152,2,2,15.333333333333334,37.712361663282536,80.0,-38.0,42.0,2,2,2,2,2,1,10,2,43,1,0,2
153,3,3,14.0,35.364765892999586,76.0,-36.0,40.0,3,2,1,3,0,1,15,2,44,0,0,3
154,4,4,8.666666666666666,4.109609335312651,10.0,4.0,14.0,4,3,0,1,1,0,10,1,29,0,2,2
155,5,5,13.333333333333334,20.677416559027762,48.0,-6.0,42.0,3,2,2,1,1,2,0,0,45,0,1,2
156,6,6,1.3333333333333333,32.71425105702746,80.0,-40.0,40.0,3,2,1,1,3,0,15,2,47,1,0,3
157,7,7,19.333333333333332,18.785337071473826,46.0,-4.0,42.0,4,2,0,2,3,2,0,0,59,0,1,2
158,8,8,28.0,10.708252269472673,26.0,14.0,40.0,3,2,0,2,2,1,5,1,48,0,0,3
159,9,9,28.666666666666668,17.46106780494506,38.0,4.0,42.0,4,2,0,0,2,2,10,2,40,0,2,0
160,0,0,4.666666666666667,9.843215373488935,24.0,-8.0,16.0,4,3,1,2,1,0,15,2,42,0,1,3
161,1,1,4.666666666666667,10.624918300339486,26.0,-8.0,18.0,3,1,2,2,0,1,5,1,36,1,0,2
162,2,2,37.333333333333336,5.2493385826745405,12.0,30.0,42.0,4,0,4,2,1,2,15,2,42,0,0,3
163,3,3,27.333333333333332,10.370899457402697,22.0,20.0,42.0,4,0,4,2,0,2,5,1,38,0,1,0
164,4,4,-20.666666666666668,5.2493385826745405,12.0,-28.0,-16.0,4,0,2,2,1,2,5,1,38,0,1,1
165,5,5,10.666666666666666,4.988876515698588,12.0,4.0,16.0,3,2,1,1,1,2,20,3,39,1,0,3
166,6,6,3.3333333333333335,4.109609335312651,10.0,-2.0,8.0,4,1,3,3,1,1,5,1,46,1,0,4
167,7,7,26.666666666666668,9.568466729604882,22.0,18.0,40.0,3,3,0,1,2,0,15,2,42,0,1,3
168,8,8,-5.333333333333333,9.843215373488935,24.0,-18.0,6.0,3,2,0,2,0,1,5,1,30,0,1,1
169,9,9,35.333333333333336,5.734883511361751,14.0,28.0,42.0,3,2,0,1,2,3,10,1,48,0,0,3
170,0,0,28.0,8.640987597877148,20.0,20.0,40.0,4,2,1,2,3,2,15,2,54,0,1,2
171,1,1,36.666666666666664,6.182412330330469,14.0,28.0,42.0,4,1,4,0,2,0,5,1,22,0,2,1
172,2,2,32.666666666666664,11.8133634311129,26.0,16.0,42.0,3,1,3,2,0,2,0,0,35,1,1,1
173,3,3,6.0,25.664502073226878,58.0,-16.0,42.0,3,2,3,2,1,0,5,1,46,0,1,2
174,4,4,-24.0,9.93310961716756,22.0,-38.0,-16.0,4,0,1,2,1,1,5,1,40,0,0,3
175,5,5,26.666666666666668,0.9428090415820634,2.0,26.0,28.0,3,3,1,2,1,2,20,2,49,1,1,2
176,6,6,-12.0,21.228911104120876,46.0,-28.0,18.0,3,1,2,2,2,0,5,1,43,0,0,2
177,7,7,10.0,27.27636339397171,66.0,-26.0,40.0,3,2,0,3,1,1,0,0,43,0,0,3
178,8,8,16.666666666666668,17.98765008430939,44.0,-6.0,38.0,3,1,0,2,1,2,5,1,41,0,0,2
179,9,9,-2.0,20.06655592438988,46.0,-30.0,16.0,4,1,0,3,1,2,15,2,47,0,1,2
180,0,0,24.0,13.063945294843617,32.0,8.0,40.0,2,2,2,1,2,1,10,2,37,0,0,2
181,1,1,32.0,11.430952132988164,26.0,16.0,42.0,3,2,3,1,3,2,20,3,41,1,1,2
182,2,2,24.0,15.57776192739723,38.0,4.0,42.0,4,0,3,4,0,1,0,0,42,0,1,1
183,3,3,35.333333333333336,5.2493385826745405,12.0,28.0,40.0,3,2,0,1,2,2,5,1,41,0,1,2
184,4,4,23.333333333333332,2.494438257849294,6.0,20.0,26.0,3,2,3,1,3,2,25,3,52,0,1,3
185,5,5,6.0,23.15167380558045,54.0,-16.0,38.0,3,1,2,2,2,1,0,0,36,0,1,1
186,6,6,11.333333333333334,19.48218559493661,46.0,-8.0,38.0,3,1,2,2,1,1,20,3,46,0,1,0
187,7,7,-2.6666666666666665,13.59738536958076,32.0,-16.0,16.0,3,1,0,1,1,1,5,1,30,0,0,4
188,8,8,-6.666666666666667,0.9428090415820634,2.0,-8.0,-6.0,4,0,0,1,1,2,0,0,34,0,0,3
189,9,9,34.0,11.313708498984761,24.0,18.0,42.0,4,2,0,1,1,3,0,0,45,0,0,5
190,0,0,24.0,8.640987597877148,20.0,16.0,36.0,3,1,2,3,2,1,10,1,49,0,1,1
191,1,1,26.666666666666668,21.684607956387456,46.0,-4.0,42.0,4,3,2,0,1,3,10,2,39,1,1,3
192,2,2,31.333333333333332,4.988876515698588,12.0,26.0,38.0,3,2,1,2,3,0,15,2,39,0,1,2
193,3,3,12.0,12.328828005937952,30.0,-2.0,28.0,3,1,2,1,2,1,15,2,35,0,0,2
194,4,4,9.333333333333334,14.727148022916348,36.0,-8.0,28.0,3,3,0,2,1,0,10,1,39,0,1,2
195,5,5,18.666666666666668,10.498677165349081,24.0,4.0,28.0,3,2,2,0,2,1,10,2,29,0,1,1
196,6,6,2.0,12.328828005937952,30.0,-14.0,16.0,3,0,3,3,0,2,5,1,40,0,1,0
197,7,7,1.3333333333333333,30.12566274052001,72.0,-30.0,42.0,3,1,0,3,1,2,25,3,50,0,0,3
198,8,8,10.0,14.966629547095765,36.0,-6.0,30.0,4,1,0,2,2,2,25,3,49,0,1,1
199,9,9,42.0,0.0,0.0,42.0,42.0,3,2,0,0,1,2,0,0,32,0,1,2
