metric,value
n_hands,200.0
r_trump_ev,0.22876920600346964
p_trump_ev,0.0011207180101299255
r_cov_ev,-0.33326560346467404
p_cov_ev,1.42045692124621e-06
coef_trump,1.553733018763987
ci_trump_low,-0.33606040475623433
ci_trump_high,3.4435264422842087
p_trump_multivar,0.10653432472199945
coef_cov,-1.6280220468714395
ci_cov_low,-2.4352711544976247
ci_cov_high,-0.8207729392452542
p_cov_multivar,9.789959917096543e-05
beta_trump,0.11734427835763463
beta_cov,-0.2878409404339782
ratio_cov_trump,2.4529610174661807
r_squared,0.122772242104495
cov_comparable,1.0
cov_larger,1.0
confirmed,1.0
