feature,mean_importance
trump_advantage,0.14659557925455108
team1_trumps,0.1358880156068812
team_5_0,0.10696435921303626
team_3_2,0.08914736701601664
team0_trumps,0.08656836812627469
team_6_4,0.08554268020924571
team_5_5,0.08059367116766694
team_4_1,0.0768141005254438
is_trump_3_2,0.05360720628697537
is_trump_4_1,0.050489266911381614
is_trump_5_5,0.03217662749041534
is_trump_6_4,0.028735067618711814
is_trump_5_0,0.02687769057339958
