base_seed,decl_id,hand_str,V_mean,V_std,V_min,V_max,V_spread,n_unique_basins,basin_converged,basin_spread,basins,n_doubles,count_points,trump_count,has_trump_double,n_6_high,total_pips,cluster,cluster_3,cluster_name
67,7,6-5 5-2 5-1 4-2 4-1 3-3 2-2,23.33333333333333,10.370899457402697,16.0,38.0,22.0,2,False,1,"Win,Big Win,Win",2,5,0,False,1,45,2,2,VOLATILE
68,8,6-4 5-2 4-2 4-1 3-3 3-0 2-1,9.333333333333334,9.568466729604882,-4.0,18.0,22.0,2,False,1,"Win,Win,Draw",1,15,0,False,1,40,0,2,VOLATILE
69,9,6-5 6-4 5-5 4-2 3-3 2-1 0-0,40.0,1.632993161855452,38.0,42.0,4.0,1,True,0,"Big Win,Big Win,Big Win",3,20,0,False,2,46,3,1,STRONG
70,0,6-5 5-5 5-2 5-1 4-1 1-1 0-0,-4.666666666666667,15.084944665313014,-26.0,6.0,32.0,2,False,3,"Win,Big Loss,Win",3,15,1,True,1,41,5,2,VOLATILE
71,1,6-1 5-2 5-0 4-3 4-2 3-3 2-0,9.333333333333334,23.11324776447962,-8.0,42.0,50.0,2,False,3,"Big Win,Loss,Loss",1,5,1,False,1,40,6,0,WEAK
72,2,6-3 6-0 4-4 4-3 4-2 3-2 1-0,16.666666666666668,33.038697848970315,-30.0,42.0,72.0,2,False,4,"Big Win,Big Loss,Big Win",1,5,2,False,2,42,6,0,WEAK
73,3,6-6 6-5 6-0 5-5 5-4 4-3 4-1,1.3333333333333333,23.90722810272148,-30.0,28.0,58.0,3,False,4,"Big Win,Win,Big Loss",2,15,1,False,3,60,1,0,WEAK
74,4,6-5 6-2 6-0 5-3 5-2 4-2 1-0,-29.33333333333333,9.843215373488936,-42.0,-18.0,24.0,2,False,1,"Loss,Big Loss,Big Loss",0,0,1,False,3,47,5,0,WEAK
75,5,6-5 6-2 6-1 5-5 4-2 3-0 0-0,18.0,16.97056274847714,6.0,42.0,36.0,2,False,1,"Win,Big Win,Win",2,10,2,True,3,45,2,2,VOLATILE
76,6,6-6 6-4 6-3 5-2 5-1 4-0 1-1,16.666666666666668,13.299958228840003,-2.0,28.0,30.0,2,False,2,"Big Win,Big Win,Draw",2,10,3,True,3,50,2,2,VOLATILE
