feature,correlation,abs_corr
total_pips,-0.7841766040769361,0.7841766040769361
n_5_high,-0.4147983378391845,0.4147983378391845
trump_count,0.3757339885603104,0.3757339885603104
n_6_high,-0.182067958966154,0.182067958966154
count_points,-0.1544663326363411,0.1544663326363411
n_doubles,0.09469415422040779,0.09469415422040779
has_trump_double,0.061104999926997076,0.061104999926997076
max_suit_length,-0.05143193035819609,0.05143193035819609
