base_seed,decl_id,trump_suit,trump_count,has_trump_double,total_locks,avg_capture_rate,V_mean,V_spread,3-2_locked,4-1_locked,5-0_locked,5-5_locked,6-4_locked,3-2_rate,4-1_rate,5-0_rate,5-5_rate,6-4_rate
0,0,0,3,True,1,0.4666666666666667,41.333333333333336,2.0,False,True,False,False,False,0.3333333333333333,1.0,0.6666666666666666,0.0,0.3333333333333333
1,1,1,3,False,0,0.39999999999999997,14.0,48.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2,2,2,3,False,1,0.5333333333333333,14.0,48.0,False,False,True,False,False,0.6666666666666666,0.0,1.0,0.6666666666666666,0.3333333333333333
3,3,3,2,False,0,0.39999999999999997,17.333333333333332,50.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
4,4,4,2,True,3,0.6666666666666666,-4.0,44.0,False,True,False,True,True,0.0,1.0,0.3333333333333333,1.0,1.0
5,5,5,0,False,2,0.6666666666666666,5.333333333333333,44.0,True,False,False,False,True,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
6,6,6,1,True,2,0.6,5.333333333333333,68.0,False,True,False,False,True,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0
7,7,7,0,False,2,0.6666666666666667,21.333333333333332,56.0,True,True,False,False,False,1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
8,8,8,0,False,2,0.6,5.333333333333333,32.0,True,False,True,False,False,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
9,9,9,0,False,0,0.4666666666666667,11.333333333333334,56.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333
10,0,0,1,False,1,0.5333333333333333,-2.6666666666666665,30.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333
11,1,1,1,False,1,0.5333333333333333,-15.333333333333334,62.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333
12,2,2,3,True,1,0.6,40.0,6.0,False,False,True,False,False,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333
13,3,3,1,False,3,0.8,36.666666666666664,10.0,False,True,False,True,True,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0
14,4,4,3,False,0,0.26666666666666666,6.666666666666667,6.0,False,False,False,False,False,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
15,5,5,3,True,2,0.6666666666666666,28.666666666666668,22.0,True,False,True,False,False,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333
16,6,6,1,True,2,0.6666666666666666,8.666666666666666,46.0,False,False,False,True,True,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0
17,7,7,0,False,4,0.8,18.666666666666668,2.0,False,True,True,True,True,0.0,1.0,1.0,1.0,1.0
18,8,8,0,False,0,0.2,11.333333333333334,20.0,False,False,False,False,False,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
19,9,9,0,False,1,0.5333333333333333,22.0,32.0,False,False,True,False,False,0.6666666666666666,0.0,1.0,0.6666666666666666,0.3333333333333333
20,0,0,0,False,2,0.5333333333333333,16.0,58.0,False,False,False,True,True,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0
21,1,1,2,False,1,0.5333333333333333,34.666666666666664,14.0,False,True,False,False,False,0.6666666666666666,1.0,0.6666666666666666,0.0,0.3333333333333333
22,2,2,3,False,1,0.4,11.333333333333334,56.0,False,False,False,False,True,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0
23,3,3,0,False,1,0.3333333333333333,10.666666666666666,80.0,False,False,True,False,False,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333
24,4,4,1,False,1,0.4666666666666666,15.333333333333334,62.0,False,False,True,False,False,0.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333
25,5,5,1,False,1,0.5333333333333333,4.666666666666667,68.0,False,False,False,False,True,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
26,6,6,2,False,2,0.6666666666666667,1.3333333333333333,66.0,False,True,False,True,False,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333
27,7,7,0,False,0,0.4666666666666667,4.0,46.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333
28,8,8,0,False,1,0.4666666666666666,21.333333333333332,46.0,False,False,True,False,False,0.6666666666666666,0.0,1.0,0.3333333333333333,0.3333333333333333
29,9,9,0,False,1,0.4666666666666666,11.333333333333334,14.0,False,False,True,False,False,0.6666666666666666,0.0,1.0,0.3333333333333333,0.3333333333333333
30,0,0,3,False,0,0.3333333333333333,28.666666666666668,38.0,False,False,False,False,False,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333
31,1,1,0,False,2,0.6666666666666666,-3.3333333333333335,82.0,True,False,True,False,False,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333
32,2,2,1,False,1,0.5333333333333333,-7.333333333333333,70.0,False,False,False,True,False,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333
33,3,3,0,False,2,0.7333333333333333,24.0,30.0,False,True,False,False,True,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.0
34,4,4,2,True,3,0.6666666666666667,33.333333333333336,24.0,False,True,True,False,True,0.0,1.0,1.0,0.3333333333333333,1.0
35,5,5,1,False,1,0.39999999999999997,8.0,46.0,False,True,False,False,False,0.3333333333333333,1.0,0.3333333333333333,0.0,0.3333333333333333
36,6,6,3,False,0,0.2,-8.666666666666666,58.0,False,False,False,False,False,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
37,7,7,0,False,0,0.3333333333333333,-1.3333333333333333,10.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
38,8,8,0,False,0,0.4666666666666667,-20.666666666666668,46.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333
39,9,9,0,False,3,0.8,33.333333333333336,26.0,True,True,True,False,False,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333
40,0,0,1,False,0,0.2,-23.333333333333332,48.0,False,False,False,False,False,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
41,1,1,1,False,1,0.5333333333333333,-20.666666666666668,44.0,False,True,False,False,False,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
42,2,2,1,True,2,0.6,19.333333333333332,46.0,False,False,False,True,True,0.6666666666666666,0.0,0.3333333333333333,1.0,1.0
43,3,3,2,False,3,0.6,7.333333333333333,58.0,False,False,True,True,True,0.0,0.0,1.0,1.0,1.0
44,4,4,4,True,2,0.6,31.333333333333332,32.0,False,True,False,False,True,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0
45,5,5,2,False,2,0.6666666666666667,8.666666666666666,62.0,False,True,False,True,False,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333
46,6,6,1,False,2,0.5333333333333334,8.666666666666666,12.0,True,True,False,False,False,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333
47,7,7,0,False,1,0.4666666666666666,25.333333333333332,44.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
48,8,8,0,False,2,0.6666666666666667,8.0,30.0,False,True,True,False,False,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333
49,9,9,0,False,1,0.4666666666666666,26.666666666666668,46.0,False,False,False,False,True,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,1.0
50,0,0,2,True,1,0.39999999999999997,30.0,34.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
51,1,1,1,True,1,0.4666666666666667,17.333333333333332,42.0,False,False,False,True,False,0.6666666666666666,0.0,0.3333333333333333,1.0,0.3333333333333333
52,2,2,2,False,2,0.5333333333333334,32.666666666666664,28.0,True,False,True,False,False,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333
53,3,3,3,True,1,0.39999999999999997,6.666666666666667,54.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
54,4,4,2,False,2,0.6,-20.0,12.0,False,False,False,True,True,0.6666666666666666,0.0,0.3333333333333333,1.0,1.0
55,5,5,3,True,1,0.6,32.666666666666664,24.0,False,False,True,False,False,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333
56,6,6,1,False,2,0.6666666666666667,-7.333333333333333,64.0,False,True,False,True,False,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333
57,7,7,0,False,2,0.6,29.333333333333332,36.0,False,False,True,False,True,0.6666666666666666,0.0,1.0,0.3333333333333333,1.0
58,8,8,0,False,0,0.39999999999999997,-10.0,44.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
59,9,9,0,False,2,0.6666666666666666,32.666666666666664,16.0,False,False,False,True,True,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0
60,0,0,1,False,0,0.26666666666666666,18.0,34.0,False,False,False,False,False,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
61,1,1,2,False,1,0.5333333333333333,14.666666666666666,66.0,False,True,False,False,False,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
62,2,2,4,False,2,0.6666666666666667,34.0,12.0,False,False,True,False,True,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,1.0
63,3,3,2,False,1,0.4666666666666666,11.333333333333334,58.0,False,False,True,False,False,0.6666666666666666,0.0,1.0,0.3333333333333333,0.3333333333333333
64,4,4,1,False,3,0.6666666666666666,-28.0,4.0,True,False,False,True,True,1.0,0.0,0.3333333333333333,1.0,1.0
65,5,5,3,True,2,0.6,37.333333333333336,14.0,False,False,True,True,False,0.6666666666666666,0.0,1.0,1.0,0.3333333333333333
66,6,6,3,False,1,0.3333333333333333,2.6666666666666665,34.0,False,False,False,True,False,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333
67,7,7,0,False,1,0.39999999999999997,23.333333333333332,22.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
68,8,8,0,False,1,0.39999999999999997,9.333333333333334,22.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
69,9,9,0,False,2,0.6,40.0,4.0,True,False,True,False,False,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333
70,0,0,1,True,1,0.5333333333333333,-4.666666666666667,32.0,False,False,True,False,False,0.6666666666666666,0.0,1.0,0.6666666666666666,0.3333333333333333
71,1,1,1,False,1,0.39999999999999997,9.333333333333334,50.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
72,2,2,2,False,1,0.6,16.666666666666668,72.0,False,True,False,False,False,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
73,3,3,1,False,2,0.5333333333333333,1.3333333333333333,58.0,False,False,True,False,True,0.3333333333333333,0.0,1.0,0.3333333333333333,1.0
74,4,4,1,False,1,0.3333333333333333,-29.333333333333332,24.0,False,False,False,True,False,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333
75,5,5,2,True,1,0.4666666666666666,18.0,36.0,False,False,True,False,False,0.6666666666666666,0.0,1.0,0.3333333333333333,0.3333333333333333
76,6,6,3,True,1,0.3333333333333333,16.666666666666668,30.0,False,False,False,False,True,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0
77,7,7,0,False,3,0.8666666666666666,36.0,14.0,False,True,True,False,True,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0
78,8,8,0,False,2,0.5333333333333334,6.666666666666667,34.0,False,True,True,False,False,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333
79,9,9,0,False,1,0.5333333333333333,10.666666666666666,12.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333
80,0,0,2,False,2,0.7333333333333333,39.333333333333336,2.0,False,True,False,True,False,0.6666666666666666,1.0,0.6666666666666666,1.0,0.3333333333333333
81,1,1,2,False,2,0.6666666666666666,13.333333333333334,48.0,True,False,True,False,False,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333
82,2,2,3,False,1,0.4666666666666666,33.333333333333336,24.0,False,True,False,False,False,0.6666666666666666,1.0,0.3333333333333333,0.0,0.3333333333333333
83,3,3,1,False,0,0.2,-14.666666666666666,58.0,False,False,False,False,False,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
84,4,4,2,False,1,0.4666666666666666,22.0,6.0,False,False,True,False,False,0.6666666666666666,0.0,1.0,0.3333333333333333,0.3333333333333333
85,5,5,0,False,0,0.2,-10.0,56.0,False,False,False,False,False,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
86,6,6,1,False,2,0.6666666666666667,0.6666666666666666,78.0,False,True,False,True,False,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333
87,7,7,0,False,3,0.8,3.3333333333333335,76.0,True,True,False,True,False,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333
88,8,8,0,False,1,0.4666666666666667,2.6666666666666665,2.0,False,False,False,True,False,0.6666666666666666,0.0,0.3333333333333333,1.0,0.3333333333333333
89,9,9,0,False,2,0.5333333333333333,27.333333333333332,38.0,False,True,False,True,False,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333
