,0-0,1-0,1-1,2-0,2-1,2-2,3-0,3-1,3-2,3-3,4-0,4-1,4-2,4-3,4-4,5-0,5-1,5-2,5-3,5-4,5-5,6-0,6-1,6-2,6-3,6-4,6-5,6-6
5-3,0.10707229,0.0991402,0.09535021,0.107910186,0.06790933,0.10257735,0.07074282,0.10410374,0.08926194,0.07806967,0.034769952,0.06355539,0.047439348,0.05005302,0.050952006,0.07116579,0.043927513,0.05973778,1.0000001,0.026322965,0.05790652,0.04069097,0.051022507,0.045482162,0.037722457,0.05951243,0.06475098,0.0535908
5-4,0.09960477,0.06563213,0.117397025,0.0789257,0.062268548,0.096301734,0.09325011,0.062560946,0.09950595,0.054583363,0.055370517,0.08020333,0.06142599,0.079744056,0.08271547,0.0956773,0.07073922,0.06516493,0.026322965,0.99999976,0.028292267,0.04800581,0.044337403,0.06207218,0.066733226,0.058910865,0.04637243,0.030292539
5-5,0.07016833,0.06608443,0.07637081,0.10584637,0.1157153,0.0887027,0.072613515,0.058914583,0.09539303,0.09760513,0.10190893,0.07418929,0.07983004,0.08604455,0.0888892,0.01915778,0.06457682,0.044233996,0.05790652,0.028292267,1.0,0.07077878,0.04535361,0.05110822,0.056108035,0.030516144,0.028564796,0.053339604
6-0,0.10295097,0.07364723,0.09320223,0.102509364,0.0794748,0.06531462,0.09930251,0.084015705,0.06648445,0.11442822,0.089094035,0.049071565,0.077633075,0.07881342,0.06590417,0.038362294,0.030540634,0.071252204,0.04069097,0.04800581,0.07077878,1.0,0.077764995,0.012432517,0.01357998,0.007066644,0.052469093,0.05156298
6-1,0.08706221,0.08728411,0.091448806,0.07392797,0.091601245,0.07388677,0.08981588,0.067146294,0.053090308,0.06682565,0.073140554,0.06260593,0.06729111,0.07283475,0.06330866,0.07313103,0.07151996,0.05529345,0.051022507,0.044337403,0.04535361,0.077764995,0.9999999,0.028105926,0.022194453,0.06513915,0.018377116,0.054633252
6-2,0.09206966,0.08902256,0.07511235,0.079934075,0.061353397,0.08308196,0.09113909,0.0897125,0.07439375,0.08870001,0.054878566,0.05067716,0.096878305,0.11244617,0.07352394,0.03777776,0.055586137,0.060419742,0.045482162,0.06207218,0.05110822,0.012432517,0.028105926,1.0,0.017968075,0.012246903,0.028062133,-0.0020452207
6-3,0.1053757,0.04606904,0.07983201,0.055031482,0.07159551,0.09150989,0.078142464,0.11554513,0.0602226,0.07288586,0.049722306,0.082671344,0.07091304,0.07303893,0.044175107,0.09277868,0.039094605,0.041201174,0.037722457,0.066733226,0.056108035,0.01357998,0.022194453,0.017968075,1.0000001,0.0307399,0.03683919,0.03007076
6-4,0.07727805,0.10007415,0.11223678,0.075523645,0.09681642,0.0840836,0.04461233,0.08551752,0.0678643,0.07498584,0.0671752,0.078904755,0.031915016,0.05688406,0.07376443,0.06580804,0.05494403,0.04262068,0.05951243,0.058910865,0.030516144,0.007066644,0.06513915,0.012246903,0.0307399,1.0,0.020812675,0.022159116
6-5,0.077147394,0.13326445,0.07899018,0.06651721,0.08420086,0.07121601,0.10315231,0.069563195,0.061676543,0.09635996,0.07793447,0.10649704,0.10460687,0.059775326,0.06934283,0.05658173,0.06858271,0.08512773,0.06475098,0.04637243,0.028564796,0.052469093,0.018377116,0.028062133,0.03683919,0.020812675,1.0000001,0.0077180574
6-6,0.11092497,0.0940612,0.101041265,0.068822354,0.05759316,0.06500801,0.07729081,0.081373736,0.074932575,0.08681562,0.06792286,0.056555837,0.08423864,0.07445603,0.08176805,0.05784341,0.023523523,0.037842833,0.0535908,0.030292539,0.053339604,0.05156298,0.054633252,-0.0020452207,0.03007076,0.022159116,0.0077180574,0.99999994
