base_seed,decl_id,first_divergence_depth,early_game_rate,mid_game_rate,late_game_rate
0,0,28,0.0,0.22209666092957683,0.4855387159354768
1,1,27,0.0,0.16742744317879127,0.4465572771717147
2,2,27,0.125,0.24964209921232133,0.44778690683832145
3,3,27,0.0,0.1402830221424065,0.38292933098235254
4,4,28,0.0,0.14215234532070634,0.4147254733408768
5,5,27,0.0,0.19892157514581452,0.4495894329072711
6,6,28,0.05909090909090909,0.2051821631239808,0.5249092674735023
7,7,28,0.0,0.2138495447889446,0.5057798072547006
8,8,28,0.03571428571428571,0.2276395901423364,0.4629268229594482
9,9,27,0.19642857142857142,0.29724517601437483,0.5982229789913442
10,0,28,0.0,0.1257770590798449,0.4469104535703533
11,1,27,0.0,0.2068200004061594,0.5112639288919618
12,2,27,0.16666666666666666,0.37531769961776273,0.5451577643011085
13,3,28,0.2,0.17629382436545396,0.4094030390140624
14,4,27,0.14285714285714285,0.2700359602643148,0.4902331672085071
15,5,27,0.0,0.15194105893645568,0.40526302639096823
16,6,28,0.07407407407407407,0.18379207868413985,0.5274691712837477
17,7,27,0.125,0.2685582750217953,0.6109343588606778
18,8,28,0.12,0.1208875287675267,0.45424654106783546
19,9,26,0.0,0.15586288402919377,0.47558266370736
20,0,27,0.25,0.17068539732025312,0.4745725704514866
21,1,28,0.0,0.19766801220557897,0.44757062643083295
22,2,27,0.16666666666666666,0.23926702278629186,0.5502076399985774
23,3,27,0.0,0.19402312796186488,0.44383245222498174
24,4,27,0.0,0.30546248723055197,0.49512523417177406
25,5,28,0.0,0.1721142678363011,0.46187868835359397
26,6,28,0.1,0.23063007428030663,0.5555758189728681
27,7,27,0.41666666666666663,0.1419776808668397,0.4113457320767212
28,8,27,0.016666666666666666,0.20593135454024075,0.4216086685437867
29,9,28,0.0,0.21271357479242017,0.4719812582243768
30,0,27,0.6,0.28851827968381405,0.6051250104273167
31,1,27,0.25,0.29705022376018037,0.5333748580298059
32,2,28,0.04,0.19948943494050117,0.5572181127314593
33,3,25,0.16666666666666666,0.13260318624380368,0.43578489566815043
34,4,28,0.2,0.19043162628703653,0.4229408933704997
35,5,27,0.0,0.16951440455662348,0.47552723353131376
36,6,26,0.5,0.21519085237882316,0.5129577140024958
37,7,28,0.03571428571428571,0.14174658814132474,0.44080685736582464
38,8,28,0.2857142857142857,0.13483975566034492,0.44313603087654113
39,9,27,0.0,0.3243698989896943,0.5602196387291734
40,0,27,0.25,0.16543052043895345,0.4845877208848056
41,1,28,0.16666666666666666,0.222590193583092,0.5766801938669782
42,2,27,0.5110161443494776,0.19442564318104605,0.48915978455421705
43,3,28,0.0,0.1290831938558059,0.39287423953049927
44,4,27,0.023809523809523808,0.37795540934384764,0.7099010897350324
45,5,27,0.0,0.14025627492864307,0.42523491886580267
46,6,26,0.0,0.271261673579405,0.5753683528453121
47,7,27,0.25,0.12903415886372466,0.41774757377980765
48,8,28,0.0625,0.17633691392752293,0.4908289366888404
49,9,27,0.08333333333333333,0.190652272635537,0.4633045626767619
50,0,28,0.2857142857142857,0.1538541192934721,0.4240456437322269
51,1,28,0.0,0.2221855447551023,0.4500009396360481
52,2,28,0.2125,0.23134847293791805,0.43944738869505945
53,3,28,0.14285714285714285,0.168631326464497,0.44146101823978545
54,4,28,0.0625,0.27548636397217435,0.43376544984122506
55,5,27,0.0,0.1399449533013188,0.39587912237919565
56,6,27,0.0,0.26152361121998474,0.512127857040651
57,7,27,0.0,0.17056659708512173,0.4469165058470968
58,8,27,0.0,0.21149189982557884,0.4737653347613615
59,9,27,0.017857142857142856,0.15736131686555369,0.47799519795468814
60,0,28,0.03333333333333333,0.14216247781170857,0.49832574929643947
61,1,28,0.0,0.20726319143705998,0.4076227548390987
62,2,28,0.35374149659863946,0.4622328804370751,0.692904400152022
63,3,28,0.0,0.1375052711959358,0.43732142835228827
64,4,28,0.0,0.21702610415768286,0.4624385453570863
65,5,28,0.0,0.14412595152452629,0.46735793601716125
66,6,27,0.3333333333333333,0.20820033927993536,0.47647871398285685
67,7,27,0.25,0.16941307671495345,0.3722137459044744
68,8,28,0.05,0.1722122354281788,0.44795300257684045
69,9,27,0.5650793650793651,0.28360257301284786,0.47261570088173643
70,0,27,0.4666666666666666,0.27846783932139657,0.5696146139006594
71,1,26,0.0,0.14998857954486966,0.4531578085579631
72,2,27,0.6666666666666666,0.28232705757050575,0.5381348671613666
73,3,27,0.0,0.1180816802383455,0.43694038486063125
74,4,28,0.0,0.2321102795798671,0.4796899170817971
75,5,27,0.3611111111111111,0.23710908465584418,0.40299774437827873
76,6,27,0.14285714285714285,0.14401629575579214,0.5126076912701982
77,7,28,0.19047619047619047,0.31938458481068344,0.6558059445342979
78,8,28,0.0,0.22040102709213477,0.4355388096265692
79,9,27,0.3125,0.1993674417809359,0.513403404452957
80,0,28,0.0,0.1611157296796702,0.37607095904095816
81,1,28,0.0,0.1905600873889581,0.4281376170613792
82,2,28,0.13376068376068379,0.3358375220438826,0.5717535715408762
83,3,27,0.0,0.2708104150430295,0.5187541440359447
84,4,27,0.0,0.18530020010508566,0.40049892566245815
85,5,28,0.19666048237476805,0.2821846192994012,0.5069739376227833
86,6,27,0.08333333333333333,0.2774613129825517,0.4978343774420567
87,7,27,0.3333333333333333,0.37462019114712153,0.6420250944216801
88,8,28,0.0,0.26352696477136817,0.49927249391629713
89,9,28,0.35185185185185186,0.17888366364217703,0.48401294040377607
90,0,28,0.5,0.13852352761152723,0.38947928213291105
91,1,27,0.24761904761904763,0.2812230171997216,0.5694721805750903
92,2,28,0.03571428571428571,0.30047809770143485,0.4980358919209394
93,3,28,0.05,0.17659910966612186,0.4243613501079734
94,4,28,0.0,0.19409830969254074,0.4538144368494234
95,5,28,0.25,0.2537826669553408,0.49086267217116075
96,6,27,0.16923076923076924,0.5463795653708474,0.7100867780521435
