domino_id,pips,points,n_samples,holder_lock_rate,team0_capture_rate
8,3-2,5,65,0.4307692307692308,0.5846153846153846
11,4-1,5,65,0.5692307692307692,0.676923076923077
15,5-0,5,65,0.5230769230769231,0.5692307692307692
20,5-5,10,65,0.8,0.6615384615384615
25,6-4,10,65,0.7076923076923077,0.5846153846153846
