count,corr_with_holding,best_feature,best_feature_corr
3-2,0.6666666666666664,trump_count,-0.3644054444067475
4-1,0.4677071733467427,count_points,-0.564744966402014
5-0,0.884984650702101,total_pips,-0.5926567233083494
5-5,0.3713906763541036,total_pips,-0.8456241765077945
6-4,0.7035264706814486,total_pips,-0.5034443575988876
