base_seed,decl_id,n_common_states,n_moves,n_robust,n_fragile,n_mixed,pct_robust,pct_fragile,mean_q_std,n_best_everywhere,best_robust,best_fragile,pct_best_robust,robust_by_depth
176,6,12613,15403,2974,2285,10144,19.307927027202492,14.834772446925923,6.390697956681726,9195,1994,986,21.685698749320284,0.2811905687815674
177,7,6971,7094,745,2825,3524,10.501832534536227,39.822385114180996,9.349430738768588,5583,528,2433,9.457281031703385,0.23169597616200197
178,8,2469,2843,705,635,1503,24.797748856841366,22.335561027084065,6.757823979124749,2103,573,444,27.246790299572037,0.34966864858169205
179,9,15821,12181,2034,2896,7251,16.698136441999836,23.774731138658566,7.50162191988036,10116,1840,2279,18.189007512850928,0.22702251325698528
180,0,6963,9278,2147,1128,6003,23.14076309549472,12.157792627721491,5.851065729200631,5675,1603,489,28.24669603524229,0.23506715930210628
181,1,4937,6018,2521,1382,2115,41.89099368560984,22.96444001329345,6.193312963063585,4168,2434,287,58.39731285988484,0.4363682404234242
182,2,16845,26991,6395,3961,16635,23.693082879478343,14.675262124411843,6.089764237116288,14510,4692,886,32.33631977946244,0.26715328139709305
183,3,6694,6956,1390,839,4727,19.98274870615296,12.061529614721104,6.217648585224374,3122,833,201,26.681614349775785,0.270553306519952
184,4,7627,12551,4594,2948,5009,36.602661142538444,23.488168273444344,6.239917229349311,7626,3554,1435,46.60372410175715,0.40379219990027965
185,5,16022,18719,2532,5249,10938,13.526363587798492,28.04102783268337,7.812739429029402,9673,1557,2270,16.096350666804508,0.22846244167725635
186,6,8576,12895,6433,2249,4213,49.88755331523846,17.440868553702984,5.065331335473419,5766,3524,568,61.11689212625737,0.47263443942252353
187,7,2738,3278,549,432,2297,16.748017083587555,13.178767541183648,6.336266441185003,2209,379,314,17.157084653689452,0.18639105078930754
188,8,9449,8399,894,1960,5545,10.644124300511965,23.336111441838312,7.419303357796271,6724,739,1478,10.990481856038073,0.21578084307915263
189,9,5944,7810,1397,1733,4680,17.887323943661972,22.189500640204866,7.114211731034826,6339,1218,1348,19.21438712730715,0.3420435027576957
190,0,10297,9960,1649,2386,5925,16.556224899598394,23.95582329317269,7.346116276307495,7410,1235,1726,16.666666666666664,0.15756564205028384
191,1,3483,4197,926,532,2739,22.063378603764594,12.675720752918751,5.877942054057952,3140,761,364,24.23566878980892,0.26364815687573606
192,2,6236,7031,1938,1331,3762,27.563646707438487,18.93045086047504,6.318730625132676,4527,1549,763,34.21692069803402,0.45136338884886607
193,3,3078,3548,844,406,2298,23.788049605411498,11.443066516347237,5.846504507683664,2234,551,255,24.664279319606088,0.2493386271201159
194,4,6005,7523,861,1006,5656,11.444902299614515,13.372324870397447,6.486672401182952,4651,457,575,9.82584390453666,0.23794574240778169
195,5,8320,9587,2260,1937,5390,23.57358923542297,20.20444351726296,6.570880972520513,6110,1652,1167,27.03764320785597,0.2685783829406351
196,6,5676,8331,2178,2620,3533,26.1433201296363,31.448805665586367,7.491507481350212,4399,1343,1263,30.5296658331439,0.310288831326967
197,7,3942,5188,1013,1614,2561,19.525828835774863,31.11025443330763,7.663297477932605,2860,560,886,19.58041958041958,0.2521111623471158
198,8,4561,6463,1675,1757,3031,25.916756924029087,27.185517561503946,6.91387675850777,5001,1422,1408,28.434313137372524,0.29563774281992494
