metric,value
n_hands,200.0
mean_team_voids,1.14
mean_opp_voids,1.26
r_team_ev,0.09381830338211423
p_team_ev,0.18637096863614244
r_opp_ev,-0.11722198013904156
p_opp_ev,0.0983141310360691
r_advantage_ev,0.14898406258929747
p_advantage_ev,0.03524681328809314
coef_team,1.368349718767887
ci_team_low,-0.9039072352825859
ci_team_high,3.64060667281836
p_team_multivar,0.2364126852614384
coef_opp,-0.7611985275110453
ci_opp_low,-2.9671525193299693
ci_opp_high,1.4447554643078786
p_opp_multivar,0.49697015646610143
team_confirmed,0.0
opp_confirmed,0.0
directional_confirmed,0.0
