v_mean,v_std,ev_optimal_bid,ev_optimal_value,safe_optimal_bid,safe_p_make,risk_optimal_bid,p_make_30,p_make_35,p_make_40,p_make_42,base_seed
41.333333333333336,0.9428090415820634,39,38.480195177548126,41,0.6381631950841195,34,1.0,0.9999999999907575,0.9213503964748578,0.23975006109347752,0.0
14.0,20.396078054371134,30,-17.016972579966463,30,0.21638379033389232,30,0.21638379033389232,0.15159662775939486,0.10119800798647938,0.08490525254276071,1.0
14.0,20.396078054371134,30,-17.016972579966463,30,0.21638379033389232,30,0.21638379033389232,0.15159662775939486,0.10119800798647938,0.08490525254276071,2.0
17.333333333333332,20.41785710815141,30,-13.949612753254113,30,0.26750645411243146,30,0.26750645411243146,0.1934492376061605,0.13346949096105143,0.11350577971149867,3.0
-4.0,17.962924780409974,30,-28.248416077279714,30,0.02919306537867139,30,0.02919306537867139,0.014960347141152464,0.007152939217714871,0.005221119163799859,4.0
5.333333333333333,17.98765008430939,30,-24.89166136170533,30,0.08513897730491116,30,0.08513897730491116,0.04954517021523408,0.02697435140252502,0.020753193499443823,5.0
5.333333333333333,27.776888874666213,30,-18.764236034702193,30,0.1872627327549634,30,0.1872627327549634,0.14275254755794764,0.10600821591059262,0.093410457430942,6.0
21.33333333333333,26.398653164297773,30,-7.719445080311104,30,0.37134258199481496,30,0.37134258199481496,0.302332689918136,0.23975006109347663,0.2168522501198531,7.0
5.333333333333333,14.636332266733431,30,-27.242100921635277,30,0.04596498463941201,30,0.04596498463941201,0.02133532511408298,0.008929342940702134,0.006119431104443684,8.0
11.333333333333334,23.170862929310356,30,-17.38595814209924,30,0.21023403096501259,30,0.21023403096501259,0.15353302153762305,0.10800902337097618,0.09283436601940198,9.0
-2.6666666666666665,12.472191289246473,30,-29.7355603528736,30,0.004407327452106702,30,0.004407327452106702,0.0012636563124829303,0.0003120210211693397,0.00017094398205508288,10.0
-15.333333333333334,26.04269997949948,30,-27.548077376014746,30,0.040865377066420905,30,0.040865377066420905,0.026635145969883034,0.016805171602186753,0.013849876230464075,11.0
40.0,2.8284271247461903,34,32.84757498016057,40,0.5,30,0.9997965239912775,0.9614500641282291,0.5,0.23975006109347674,12.0
36.66666666666666,4.714045207910317,30,25.281023788491424,36,0.5562314580091416,30,0.9213503964748571,0.6381631950841177,0.23975006109347619,0.12894951764616935,13.0
6.666666666666667,2.494438257849294,30,-30.0,30,0.0,30,0.0,0.0,0.0,0.0,14.0
28.666666666666668,8.993825042154695,30,-3.5356325611198276,30,0.44107279064800287,30,0.44107279064800287,0.24065820932796345,0.10381234600141864,0.06910383348701288,15.0
8.666666666666666,19.48218559493661,30,-21.794730345968254,30,0.13675449423386243,30,0.13675449423386243,0.08824170545729282,0.05388399115411291,0.043543807627036246,16.0
18.666666666666668,0.9428090415820634,30,-30.0,30,0.0,30,0.0,0.0,0.0,0.0,17.0
11.333333333333334,8.993825042154695,30,-28.861788119749832,30,0.018970198004169436,30,0.018970198004169436,0.004251255561569689,0.000717859794058473,0.00032511601331475237,18.0
22.0,13.36662510384228,30,-13.514921329618973,30,0.2747513111730171,30,0.2747513111730171,0.16538313096517543,0.08904848851282121,0.06729243569553844,19.0
16.0,24.711670657134185,30,-12.869073856072127,30,0.28551543573213123,30,0.28551543573213123,0.2209859916004575,0.16572409049174597,0.14636893438552234,20.0
34.666666666666664,6.182412330330469,30,16.48945969245377,34,0.5429358273992899,30,0.7748243282075629,0.4785008905175975,0.19416161448946234,0.11777945996203965,21.0
11.333333333333334,23.17086292931036,30,-17.38595814209924,30,0.21023403096501259,30,0.21023403096501259,0.15353302153762316,0.10800902337097618,0.09283436601940198,22.0
10.666666666666666,37.24990678586398,30,-11.88753254480509,30,0.3018744575865818,30,0.3018744575865818,0.25679901633163404,0.21550221950974935,0.2001276360705908,23.0
15.333333333333334,26.04269997949948,30,-12.800582461594324,30,0.2866569589734279,30,0.2866569589734279,0.22507348263957971,0.17177801147044058,0.15292723299561573,24.0
4.666666666666667,28.15828277592384,30,-18.951220229335334,30,0.1841463295110778,30,0.1841463295110778,0.14068569864873148,0.10477362238968935,0.09244661087037154,25.0
1.3333333333333333,27.438820836342234,30,-21.115823195168232,30,0.14806961341386282,30,0.14806961341386282,0.1099165452559463,0.07938866343773798,0.06915883058842187,26.0
4.0,21.22891110412088,30,-23.379859142404598,30,0.11033568095992341,30,0.11033568095992341,0.0721075666390566,0.04496182525435655,0.03672601243914875,27.0
21.33333333333333,19.75404318670541,30,-10.17425721417785,30,0.3304290464303692,30,0.3304290464303692,0.24451843903652204,0.17234112179684813,0.147734507029599,28.0
11.333333333333334,6.182412330330469,30,-29.92399657448736,30,0.001266723758543975,30,0.001266723758543975,6.457773283297108e-05,1.7691433152888791e-06,3.519082638625548e-07,29.0
28.666666666666668,17.46106780494506,30,-1.8260277078336067,30,0.4695662048694399,30,0.4695662048694399,0.35841013481521045,0.25814882284388696,0.22255176705198876,30.0
-3.333333333333333,33.6386021641143,30,-20.348334529562152,30,0.16086109117396408,30,0.16086109117396408,0.12723403686168822,0.09883773100876858,0.08888419361530642,31.0
-7.333333333333333,28.58126814696802,30,-24.255635017686146,30,0.09573941637189753,30,0.09573941637189753,0.06928242699403131,0.04885115605803514,0.042167209252760074,32.0
24.0,12.96148139681572,30,-10.697134693091387,30,0.3217144217818102,30,0.3217144217818102,0.1980329103544689,0.10852195387847119,0.08245741127665074,33.0
33.333333333333336,10.873004286866726,30,7.224871720070352,33,0.5122284448016927,30,0.6204145286678392,0.4390868296811712,0.2698921051322559,0.2127019540879853,34.0
