,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Heteroskedastic,0,-822.3614022115441,11.598048420858959,0.0,0.6434679779157971,10.542806332796438,0.0,False,log
Homoskedastic,1,-823.8030751936617,6.33469062930817,1.4416729821175842,0.35653202208420287,10.26320120659517,3.5203201950658047,False,log
