position,n_states,mean_spread,std_spread
Lead,25486,6.280467707761124,9.956893706248044
2nd,67700,3.044165435745938,7.217220446959933
3rd,133928,4.06602054835434,8.37980700550027
4th,272886,4.050768452760494,8.46026271100366
