feature,mean_abs_shap,mean_shap,std_shap
n_doubles,4.840295237487046,0.24824410713997785,5.818852466553351
trump_count,4.384935861188338,-0.054997248901021985,6.028894416203437
n_singletons,2.168212935220991,-0.11768992865384348,2.536253820206868
count_points,2.167165824624353,0.042104357287707124,2.4396498507486655
total_pips,2.0041826625754826,-0.12431565478003369,2.9445726043833442
n_6_high,1.4423697036636531,0.060756527318059535,2.156938659946694
has_trump_double,1.0869252365375255,-0.06764364252700436,1.4478571309074202
max_suit_length,0.80483542582764,-0.0861757221824713,1.5275547200661694
n_voids,0.7937817244434313,-0.06861815962769419,0.9863053893054436
n_5_high,0.6682757390264226,-0.04300940998630473,0.9772512841724007
