seed,V_mean,V_std,alpha_diversity,evenness,n_suits,max_suit_count,trump_count,n_doubles
139,15.333333333333334,22.939534045447004,2.6455933144511468,0.9423793527724321,7,3,0,1.0
140,26.666666666666668,20.28683207293725,2.41379956460568,0.8598127531507579,6,4,3,3.0
141,16.666666666666668,19.618585292749547,2.6995138503199665,0.9615862351816217,7,3,2,2.0
142,4.666666666666667,17.98765008430939,2.4677201004744993,0.8790196355599472,6,4,0,1.0
143,17.333333333333332,10.624918300339486,2.6995138503199656,0.9615862351816213,7,3,1,1.0
144,5.333333333333333,8.219218670625303,2.5566567074628233,0.9106994941661898,6,3,3,2.0
145,1.3333333333333333,29.044027881055957,2.6995138503199665,0.9615862351816217,7,3,3,0.0
146,18.0,14.966629547095764,2.378783493486176,0.8473397769537049,6,4,1,2.0
147,11.333333333333334,13.097921802925669,2.41379956460568,0.8598127531507579,6,4,0,2.0
148,0.0,10.198039027185567,2.7534343861887858,0.980793117590811,7,3,0,2.0
149,42.0,0.0,1.9852281360342516,0.7071525301044628,5,6,0,2.0
150,29.33333333333333,9.843215373488936,2.6995138503199656,0.9615862351816213,7,3,3,1.0
151,14.666666666666666,15.173075568988056,2.4488156357251847,0.8722857293478111,6,3,1,1.0
152,15.333333333333334,37.712361663282536,2.6995138503199665,0.9615862351816217,7,3,3,2.0
153,14.0,35.364765892999586,2.610577243331642,0.929906376575379,7,4,1,2.0
154,8.666666666666666,4.109609335312651,2.120952031026403,0.7554983569629616,5,5,0,3.0
155,13.333333333333334,20.67741655902776,2.3787834934861753,0.8473397769537047,6,4,2,2.0
156,1.3333333333333333,32.71425105702746,2.664497779200461,0.9491132589845681,7,4,2,2.0
157,19.33333333333333,18.785337071473823,2.41379956460568,0.8598127531507579,6,4,0,2.0
158,28.0,10.708252269472672,2.6455933144511468,0.9423793527724321,7,3,0,2.0
159,28.666666666666668,17.46106780494506,2.2098886380147276,0.7871782155692043,5,5,0,2.0
160,4.666666666666667,9.843215373488936,2.3527457808718704,0.8380649565846361,6,5,1,3.0
161,4.666666666666667,10.624918300339486,2.6995138503199665,0.9615862351816217,7,3,3,1.0
162,37.333333333333336,5.2493385826745405,2.610577243331642,0.929906376575379,7,4,4,0.0
163,27.33333333333333,10.370899457402697,2.521640636343319,0.8982265179691368,6,4,4,0.0
164,-20.666666666666668,5.2493385826745405,2.4677201004744997,0.8790196355599474,6,4,2,0.0
165,10.666666666666666,4.988876515698588,2.6995138503199656,0.9615862351816213,7,3,2,2.0
166,3.333333333333333,4.109609335312651,2.521640636343319,0.8982265179691368,7,4,4,1.0
167,26.666666666666668,9.568466729604882,2.3248629576173565,0.8281328945445156,6,4,0,3.0
168,-5.333333333333333,9.843215373488936,2.4677201004744997,0.8790196355599474,6,4,0,2.0
169,35.333333333333336,5.734883511361751,2.610577243331642,0.929906376575379,7,4,0,2.0
170,28.0,8.640987597877148,2.35274578087187,0.8380649565846359,6,5,1,2.0
171,36.66666666666666,6.182412330330469,2.120952031026404,0.755498356962962,5,5,4,1.0
172,32.666666666666664,11.8133634311129,2.4677201004744997,0.8790196355599474,6,4,4,1.0
173,6.0,25.66450207322688,2.413799564605681,0.8598127531507582,6,4,3,2.0
174,-24.0,9.93310961716756,2.6105772433316425,0.9299063765753791,7,4,1,0.0
175,26.666666666666668,0.9428090415820634,2.5027361715940044,0.8914926117570006,6,3,2,3.0
176,-12.0,21.22891110412088,2.753434386188785,0.9807931175908107,7,3,2,1.0
177,10.0,27.27636339397171,2.6995138503199665,0.9615862351816217,7,3,0,2.0
178,16.666666666666668,17.98765008430939,2.6995138503199665,0.9615862351816217,7,3,0,1.0
179,-2.0,20.06655592438988,2.413799564605681,0.8598127531507582,6,4,0,1.0
180,24.0,13.063945294843617,2.699513850319966,0.9615862351816215,7,3,2,2.0
181,32.0,11.430952132988164,2.378783493486176,0.8473397769537049,6,4,4,2.0
182,24.0,15.57776192739723,2.4677201004744993,0.8790196355599472,6,4,3,0.0
183,35.333333333333336,5.2493385826745405,2.3787834934861753,0.8473397769537047,6,4,0,2.0
184,23.33333333333333,2.494438257849294,2.3248629576173565,0.8281328945445156,6,4,3,2.0
185,6.0,23.15167380558045,2.4677201004744997,0.8790196355599474,6,4,2,1.0
186,11.333333333333334,19.48218559493661,2.5566567074628237,0.9106994941661899,6,3,2,1.0
187,-2.6666666666666665,13.59738536958076,2.5566567074628233,0.9106994941661898,7,4,0,1.0
188,-6.666666666666667,0.9428090415820634,2.6105772433316425,0.9299063765753791,7,4,0,0.0
189,34.0,11.31370849898476,2.4956029237290127,0.8889516976000676,7,5,0,2.0
190,24.0,8.640987597877148,2.4677201004744997,0.8790196355599474,6,4,2,1.0
191,26.666666666666668,21.684607956387456,2.29882524500305,0.8188580741754464,6,5,3,3.0
192,31.33333333333333,4.988876515698588,2.3787834934861753,0.8473397769537047,6,4,1,2.0
193,12.0,12.328828005937952,2.6995138503199665,0.9615862351816217,7,3,2,1.0
194,9.333333333333334,14.727148022916348,2.4677201004744997,0.8790196355599474,6,4,0,3.0
195,18.666666666666668,10.49867716534908,2.502736171594004,0.8914926117570005,6,3,2,2.0
196,2.0,12.328828005937952,2.5566567074628237,0.9106994941661899,6,3,3,0.0
197,1.3333333333333333,30.12566274052001,2.6995138503199665,0.9615862351816217,7,3,0,1.0
198,10.0,14.966629547095764,2.467720100474499,0.8790196355599471,6,4,0,1.0
199,42.0,0.0,2.378783493486176,0.8473397769537049,6,4,0,2.0
