feature,coefficient
n_doubles,0.004443518646590353
trump_count,0.02471536390086209
n_6_high,-0.029947976890220274
n_5_high,-0.018576969258826383
count_points,0.0173878750231764
total_pips,-0.06887150294187264
has_trump_double,-0.008113183532181495
max_suit_length,0.006367727605716467
