model,added,elpd,delta_elpd,se
M0_Intercept,baseline,-847.310692713424,0.0,9.290047779910719
M1_Napkin,"n_doubles, trump_count",-822.8270613927284,24.483631320695622,10.527596564134043
M2_Plus_Voids,n_voids,-822.4001081683386,0.4269532243897629,10.342399648895508
M3_Plus_TrumpDouble,has_trump_double,-822.8665465394398,-0.4664383711011624,10.227596970496057
M4_Core5,total_pips,-823.9089179457087,-1.0423714062688987,10.257867625112457
M5_Full,"count_points, max_suit_length, n_4_high, n_6_high, n_5_high, n_singletons",-828.0839032459444,-4.174985300235676,10.038987832526681
