feature,coefficient,ci_low,ci_high,ci_width,std_error,significant
n_6_high,0.055594248543246946,-1.9104713362142791,1.9693991467330967,3.879870482947376,1.0089505842676494,False
count_points,-0.12810369258355303,-0.34245567356624496,0.062326389645114826,0.4047820632113598,0.10385578819679953,False
max_suit_length,-0.23214091118430558,-3.417853820155603,2.810448330704912,6.2283021508605145,1.5660884316770096,False
total_pips,0.29590170107192604,0.011733005864553048,0.5706128296022875,0.5588798237377345,0.14446382670596952,True
n_singletons,0.4045966961044082,-1.6268024767653104,2.3342751666237795,3.96107764338909,1.0413324065741278,False
n_voids,0.5317768917225847,-3.4899967436685273,4.376141370937035,7.866138114605563,2.0268610020961075,False
has_trump_double,-0.5463212355809532,-4.5121498137600655,3.083203127916041,7.595352941676106,1.9092534887811616,False
trump_count,-0.6074350400689361,-1.5550606359859536,0.41450946037664405,1.9695700963625975,0.5204054802329713,False
n_5_high,-1.0915164409692844,-2.8371507009993175,0.626437997147899,3.4635886981472166,0.8806776572341056,False
n_doubles,-1.3959581199481748,-3.319853843047354,0.7708477102488819,4.090701553296236,1.053787811399673,False
