metric,correlation,p_value,ci_low,ci_high,n,r_squared
"r(E[V], σ[V])",-0.3808813410944754,2.638689715928275e-08,-0.4935417055698558,-0.2556498518699713,200,0.14507059599392613
"r(E[V], V_spread)",-0.39793558969208287,5.37355399130403e-09,-0.5085969723173326,-0.2743409340761445,200,0.15835273354358573
