metric,value
n_seeds,200.0
coef_p0_doubles,7.972993440865174
ci_p0_low,3.53583895214856
ci_p0_high,12.41014792958179
p_p0,0.0004932659012433672
coef_p2_doubles,1.731043690244901
ci_p2_low,-2.3928201710876422
ci_p2_high,5.854907551577444
p_p2,0.40877299806638234
coef_interaction,-0.590201845918312
ci_int_low,-2.8024314417877507
ci_int_high,1.6220277499511264
p_interaction,0.5993798397025476
r2_main_only,0.15848672742212588
r2_with_interaction,0.1596736125339323
r2_improvement,0.0011868851118064239
interaction_significant,0.0
interaction_ci_excludes_zero,0.0
