feature,beta_mu_mean,beta_mu_hdi_low,beta_mu_hdi_high,beta_sigma_mean,beta_sigma_hdi_low,beta_sigma_hdi_high
n_doubles,5.762331897711201,3.536381797609796,7.993219199029026,-0.0023198307168304515,-0.11710745821050576,0.1156249068341202
trump_count,4.339482929188095,2.4851193781898786,6.061234481365027,-0.10695926096289908,-0.2154853652608614,0.0036866207825567605
has_trump_double,3.405838615937627,-1.5805485048373684,8.316765470509463,-0.286428466647264,-0.5879476477635517,0.03583122811490508
n_voids,3.472383941443266,0.22460915160148598,6.612789628863204,-0.15174797026978512,-0.32784930690277236,0.031129308829909833
total_pips,-0.1386044867604597,-0.42439407352730035,0.1552196368595924,0.0012205128049817705,-0.016708630499886436,0.01911901475121646
