cluster,n,v_mean,v_std,v_range,variance_reduction
0,34,22.745098039215687,13.898879353980103,46.666666666666664,16.37055368330149
1,33,20.060606060606062,17.738348003661162,71.33333333333333,-6.731498586200391
2,37,13.045045045045043,10.590632409264401,44.66666666666667,36.276249187180866
3,55,5.757575757575757,18.201597920339918,65.99999999999999,-9.518869643350204
4,41,13.203252032520327,14.990529982622082,52.0,9.802100549814764
