claim_label,action_n,decision_n,decl_ids,mean,mean_regret,mean_regret_ci95_low,mean_regret_ci95_high,mean_threshold_mass,mean_lower_tail_mass,actual_action_rate,best_mean_rate,best_threshold_rate,safest_tail_rate
ch09_dt_opening_low_double_sacrifice_proxy,1036,720,7,-2.9381460548600122,2.445788706160415,2.242387947567176,2.6504034127435356,0.2512103960576061,0.3280060274088402,0.3745173745173745,0.22683397683397682,0.3841698841698842,0.09652509652509653
ch09_dt_opening_high_double_control_proxy,481,432,7,6.712464725122382,3.858896635240428,3.3646380393051403,4.339369887544187,0.38254773046767143,0.21247443353282647,0.5883575883575883,0.5280665280665281,0.5883575883575883,0.4698544698544699
ch09_dt_dual_suit_top_65_play,2282,2282,7,1.3264669412143013,3.3988075594627523,3.155423783547899,3.6088588002581057,0.4947900388219284,0.23067542318949963,0.43821209465381245,0.48334794040315515,0.537248028045574,0.5968448729184925
ch09_dt_trump_count_capture,1121,1121,7,18.900451494216334,2.164322739335759,1.9186936784221607,2.409625591707385,0.78610070216732,0.03887399890654065,0.5316681534344335,0.5236396074933095,0.7484388938447815,0.8590544157002676
ch09_nt_early_support_double_spend_proxy,11028,6424,9,6.307808943373469,3.319767611638244,3.2198851404220026,3.4251886235129363,0.5765786614943632,0.20960375270289652,0.348113891911498,0.3406782734856728,0.4288175553137468,0.508886470801596
ch09_nt_late_support_double_spend_proxy,5286,4127,9,2.9662339782520353,1.723982203987232,1.6054185623878194,1.8471084681616836,0.6298896706358225,0.13968517074081174,0.5979947029890276,0.5961029133560348,0.8543321982595535,0.8533863034430571
ch09_nt_count_walker_or_capture_proxy,4672,3757,9,-5.359713949786566,11.328492469883887,11.059988087785438,11.62772868609538,0.35717063327912335,0.39628088634214553,0.22538527397260275,0.19991438356164384,0.2666952054794521,0.24357876712328766
ch09_nt_defender_double_weapon_spend_proxy,697,697,9,19.953698160824295,0.6500166268054519,0.46100238450887043,0.8673522532157267,0.9837342941093992,0.014318862186581627,0.8794835007173601,0.8751793400286944,0.9655667144906743,0.9655667144906743
