contrast_id,paired_decision_n,mean_delta,mean_delta_ci95_low,mean_delta_ci95_high,threshold_mass_delta,threshold_mass_delta_ci95_low,threshold_mass_delta_ci95_high,lower_tail_mass_delta
ch09_dt_low_double_lead_vs_nonlow_lead_same_decision,720,-2.1038940474704657,-2.390899086057276,-1.839583344846558,-0.005951686532029675,-0.010741733627704282,-0.0002769540883471362,0.054382027712199486
ch09_dt_low_double_lead_vs_high_double_lead_same_decision,288,0.007366336868370935,-1.0969456735228755,1.0291264698728908,-0.02695124469593995,-0.040683605596293804,-0.013160116937554752,-0.04592896451736629
ch09_dt_dual_suit_65_vs_other_same_decision,2001,-1.6227840876606094,-1.993437150382376,-1.245537863198625,-0.026612966032159437,-0.03322966060395979,-0.020024819534571737,0.02158125179105708
ch09_nt_early_double_spend_vs_non_double_same_decision,6136,5.759077386378466,5.455409475131129,6.047457858748168,0.0681219643746128,0.06390131921077821,0.07209864566013169,-0.10462710189053717
ch09_nt_late_double_spend_vs_non_double_same_decision,2363,3.0293232145615967,2.646007431379059,3.4470585146102506,0.05472242446983618,0.04705769284961123,0.062240069050141233,-0.05179891254992504
ch09_nt_defender_double_weapon_vs_other_same_decision,365,12.802684153611326,11.183382530117612,14.461779779609394,0.18602319576152385,0.16425214004639074,0.20997841537611125,-0.17780588709538778
