bucket,n,raw_mean_regret,tagged_mean_regret,delta_mean_regret,raw_match_rate,tagged_match_rate,delta_match_rate,raw_near_tie,tagged_near_tie,delta_near_tie,raw_tail_ge_5,tagged_tail_ge_5,delta_tail_ge_5
action:count_pressure,113.0,5.296598552602582,3.1198264603066233,-2.1767720922959586,0.37168141592920356,0.5486725663716814,0.17699115044247782,0.4424778761061947,0.6283185840707964,0.18584070796460173,0.3185840707964602,0.17699115044247787,-0.1415929203539823
action:donation_window,93.0,5.475538807530557,3.2444099508306032,-2.231128856699954,0.3763440860215054,0.5698924731182796,0.19354838709677424,0.45161290322580644,0.6451612903225806,0.1935483870967742,0.3010752688172043,0.1827956989247312,-0.11827956989247312
action:double_protection,147.0,4.611312139601934,2.9455778160873725,-1.6657343235145619,0.36054421768707484,0.5102040816326531,0.14965986394557823,0.4489795918367347,0.6462585034013606,0.1972789115646259,0.29931972789115646,0.17006802721088435,-0.1292517006802721
action:hand_shape,381.0,3.585017487132956,2.4294024289749427,-1.1556150581580131,0.45931758530183725,0.5643044619422573,0.10498687664042,0.5459317585301837,0.6771653543307087,0.13123359580052496,0.2178477690288714,0.14960629921259844,-0.06824146981627296
action:identity,381.0,3.585017487132956,2.4294024289749427,-1.1556150581580131,0.45931758530183725,0.5643044619422573,0.10498687664042,0.5459317585301837,0.6771653543307087,0.13123359580052496,0.2178477690288714,0.14960629921259844,-0.06824146981627296
action:pip_pressure,381.0,3.585017487132956,2.4294024289749427,-1.1556150581580131,0.45931758530183725,0.5643044619422573,0.10498687664042,0.5459317585301837,0.6771653543307087,0.13123359580052496,0.2178477690288714,0.14960629921259844,-0.06824146981627296
action:slot,381.0,3.585017487132956,2.4294024289749427,-1.1556150581580131,0.45931758530183725,0.5643044619422573,0.10498687664042,0.5459317585301837,0.6771653543307087,0.13123359580052496,0.2178477690288714,0.14960629921259844,-0.06824146981627296
action:suit_pressure,366.0,3.680736937809512,2.5062635036114136,-1.1744734341980982,0.45081967213114754,0.5546448087431693,0.1038251366120218,0.5355191256830601,0.6721311475409836,0.13661202185792343,0.22404371584699453,0.15300546448087432,-0.07103825136612021
action:trick_relation,381.0,3.585017487132956,2.4294024289749427,-1.1556150581580131,0.45931758530183725,0.5643044619422573,0.10498687664042,0.5459317585301837,0.6771653543307087,0.13123359580052496,0.2178477690288714,0.14960629921259844,-0.06824146981627296
global:current_trick_pressure,560.0,2.833551515851702,1.9695663043430873,-0.8639852115086148,0.5660714285714286,0.6553571428571429,0.0892857142857143,0.65,0.7553571428571428,0.10535714285714282,0.1732142857142857,0.11428571428571428,-0.05892857142857143
global:declaration,560.0,2.833551515851702,1.9695663043430873,-0.8639852115086148,0.5660714285714286,0.6553571428571429,0.0892857142857143,0.65,0.7553571428571428,0.10535714285714282,0.1732142857142857,0.11428571428571428,-0.05892857142857143
global:hand_shape,560.0,2.833551515851702,1.9695663043430873,-0.8639852115086148,0.5660714285714286,0.6553571428571429,0.0892857142857143,0.65,0.7553571428571428,0.10535714285714282,0.1732142857142857,0.11428571428571428,-0.05892857142857143
global:legal_action_summary,527.0,2.9562840905089987,1.993805206704185,-0.9624788838048137,0.5521821631878557,0.6451612903225806,0.09297912713472489,0.6318785578747628,0.7438330170777988,0.11195445920303604,0.18026565464895636,0.11764705882352941,-0.06261859582542695
global:own_pip_coverage,560.0,2.833551515851702,1.9695663043430873,-0.8639852115086148,0.5660714285714286,0.6553571428571429,0.0892857142857143,0.65,0.7553571428571428,0.10535714285714282,0.1732142857142857,0.11428571428571428,-0.05892857142857143
global:phase,540.0,2.700016897696036,2.0161820588288486,-0.6838348388671873,0.575925925925926,0.6555555555555556,0.0796296296296296,0.662962962962963,0.7555555555555555,0.09259259259259256,0.16296296296296298,0.11851851851851852,-0.04444444444444445
global:public_count,560.0,2.833551515851702,1.9695663043430873,-0.8639852115086148,0.5660714285714286,0.6553571428571429,0.0892857142857143,0.65,0.7553571428571428,0.10535714285714282,0.1732142857142857,0.11428571428571428,-0.05892857142857143
global:unseen_count_by_pip,444.0,3.265767346631299,2.2081598333410315,-1.0576075132902676,0.509009009009009,0.6081081081081081,0.09909909909909909,0.5968468468468469,0.7184684684684685,0.1216216216216216,0.19594594594594594,0.13288288288288289,-0.06306306306306306
global:visible_pip_coverage,560.0,2.833551515851702,1.9695663043430873,-0.8639852115086148,0.5660714285714286,0.6553571428571429,0.0892857142857143,0.65,0.7553571428571428,0.10535714285714282,0.1732142857142857,0.11428571428571428,-0.05892857142857143
global:void_summary,404.0,2.4277902168802696,1.7959747503299524,-0.6318154665503173,0.599009900990099,0.6806930693069307,0.08168316831683176,0.6881188118811881,0.7821782178217822,0.09405940594059414,0.1485148514851485,0.10643564356435643,-0.042079207920792075
rich:bidding_risk,447.0,3.4415325531756853,2.349238692247361,-1.0922938609283244,0.4988814317673378,0.5973154362416108,0.09843400447427297,0.5794183445190156,0.7114093959731543,0.1319910514541387,0.21029082774049218,0.1342281879194631,-0.0760626398210291
rich:count_donation,114.0,5.264201749835098,3.092459561532004,-2.171742188303094,0.3684210526315789,0.5526315789473685,0.18421052631578955,0.43859649122807015,0.631578947368421,0.19298245614035087,0.3157894736842105,0.17543859649122806,-0.14035087719298245
rich:eighty_four_preservation,44.0,3.381605722687461,2.7213477221402256,-0.6602580005472354,0.4318181818181818,0.5227272727272727,0.09090909090909088,0.5227272727272727,0.6136363636363636,0.09090909090909094,0.18181818181818182,0.1590909090909091,-0.022727272727272735
rich:no_trump_doubles,162.0,4.780837447554977,3.247005745216652,-1.533831702338325,0.35185185185185186,0.4691358024691358,0.11728395061728392,0.4444444444444444,0.5987654320987654,0.154320987654321,0.30246913580246915,0.19753086419753085,-0.1049382716049383
rich:off_protection,311.0,3.8148448490253215,2.5405032044438305,-1.274341644581491,0.43729903536977494,0.5337620578778135,0.09646302250803857,0.5241157556270096,0.6559485530546624,0.13183279742765275,0.2347266881028939,0.15755627009646303,-0.07717041800643087
rich:pounce_window,70.0,5.890111269269671,3.530406733921596,-2.3597045353480746,0.44285714285714284,0.5428571428571428,0.09999999999999998,0.5,0.6428571428571429,0.1428571428571429,0.3142857142857143,0.2,-0.11428571428571427
rich:scoring_pressure,245.0,3.6639182577327807,2.3440678810586735,-1.3198503766741072,0.4897959183673469,0.6081632653061224,0.11836734693877549,0.5714285714285714,0.710204081632653,0.13877551020408163,0.22040816326530613,0.1306122448979592,-0.08979591836734693
