label,action_n
ch04_partner_safe_count_donation_current_control,73
ch04_partner_unsafe_count_to_defense,68
ch05_reckless_count_to_bidder,238
ch05_setter_pounce_count,52
ch05_setter_pounce_count_before_certainty,41
ch05_setter_pounce_count_sets_now,24
