contrast_id,label,paired_decision_n,mean_delta,mean_delta_ci95_low,mean_delta_ci95_high,regret_delta,threshold_mass_delta,lower_tail_mass_delta
ch04_partner_safe_count_donation_current_control_vs_non_ch04_partner_safe_count_donation_current_control,ch04_partner_safe_count_donation_current_control,33,0.451036147999041,-1.1705621408693718,1.8916134328553171,-0.451036147999041,-0.0003030291109374075,-0.024090909173317028
ch04_partner_unsafe_count_to_defense_vs_non_ch04_partner_unsafe_count_to_defense,ch04_partner_unsafe_count_to_defense,40,-12.167790047079325,-15.293274722993374,-9.588012997061014,12.167790047079325,-0.2268749994924292,0.13675000139046462
ch05_reckless_count_to_bidder_vs_non_ch05_reckless_count_to_bidder,ch05_reckless_count_to_bidder,160,-8.26225248569681,-10.249457928910852,-6.788215827700332,8.26225248569681,-0.12287499933736398,0.123031249869382
ch05_setter_pounce_count_vs_non_ch05_setter_pounce_count,ch05_setter_pounce_count,43,4.22741942000467,1.254107346021852,6.942198568413597,-4.22741942000467,0.05197674261276112,-0.040697674375287325
ch05_setter_pounce_count_before_certainty_vs_non_ch05_setter_pounce_count_before_certainty,ch05_setter_pounce_count_before_certainty,33,3.9397484343640055,1.3875356966375627,6.7677918385403855,-3.9397484343640055,0.05909090805234331,-0.045909090814265335
ch05_setter_pounce_count_sets_now_vs_non_ch05_setter_pounce_count_sets_now,ch05_setter_pounce_count_sets_now,21,6.614049589638377,2.3279499718254164,9.954244704473586,-6.614049589638377,0.08571428237926393,-0.06309523735018004
