label,action_n
ch04_partner_safe_count_donation_current_control,603
ch04_partner_unsafe_count_to_defense,860
ch05_reckless_count_to_bidder,1987
ch05_setter_pounce_count,453
ch05_setter_pounce_count_before_certainty,321
ch05_setter_pounce_count_sets_now,172
